book,cluster_id,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,exact_expression_match_149,field_families,operator_families,source_lane,capacity_proxy,cost_adjusted_score,p90_replay_turnover,representative_candidate_id,representative_expression
J0_fresh,s47_cluster_002,False,signal_collision_ge_0p80,0.815404,False,"[""flow"", ""price""]","[""CSRank"", ""Mul"", ""Sign""]",agnostic_freeform_ast,59230204.139648,2.234978,0.202809,agnostic-freeform-661bf0512b87,"CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))"
J0_fresh,s47_cluster_003,True,,0.736928,False,"[""price""]","[""CSRank"", ""Mean""]",r0_cem_led,32814617.294922,4.30643,0.032797,stockpit-cem_adaptive_grammar-7291def7e7cd,"CSRank(Mean($close,34))"
J0_fresh,s47_cluster_004,False,exact_expression_match,0.602525,True,"[""price""]","[""CSRank"", ""Mean"", ""Sub""]",ast_failure_aware_repair,12613944.82666,-0.062897,0.28165,phase3repair-failure_detail-operator_sanitize-04c5cf6d3f47,"CSRank(Sub(Mean($close,8),Mean($close,5)))"
J0_fresh,s47_cluster_005,False,signal_collision_ge_0p80,0.805202,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",agnostic_freeform_ast,25906560.293555,3.481296,0.189713,agnostic-freeform-22b7d5012645,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))"
J0_fresh,s47_cluster_006,True,,0.385674,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mul"", ""Sign"", ""ZScore""]",formula_gen_v2_repair_expansion,66581701.945312,7.468191,0.151724,fgv2-repair-nonlinearize-214b37a1d2,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))"
J0_fresh,s47_cluster_008,True,,0.271894,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mom"", ""Mul"", ""ZScore""]",agnostic_freeform_ast,22834461.499219,0.356809,0.262866,agnostic-freeform-24a5b281f6ad,"CSRank(Mul(ZScore(Mean($low,8)),Mul(CSRank(Mean($volume,3)),ZScore(Mom($open,13)))))"
J0_fresh,s47_cluster_009,True,,0.731897,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,23554022.061719,1.999706,0.352894,fgv2-repair-add_state_gate-b9357c1f09,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($final_float_market_cap,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s47_cluster_010,True,,0.731141,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",formula_gen_v2_repair_expansion,25474608.0,2.325293,0.163771,fgv2-repair-add_state_gate-3e9f3719af,"CSRank(Mul(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s47_cluster_012,True,,0.686416,False,"[""flow"", ""price"", ""size_capital""]","[""CSRank"", ""Mul"", ""Std"", ""ZScore""]",agnostic_freeform_ast,32417481.550781,2.932785,0.157326,agnostic-freeform-760af8442693,"CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))"
J0_fresh,s47_cluster_013,True,,0.714463,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,115067321.087109,2.493115,0.033048,stockpit-cem_adaptive_grammar-b7038a21e31f,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))"
