selection_index,candidate_id,source_lane,source_generator,status,field_count,fields,missing_fields,expression
0,phase3aa_event_0217_cn_integrated_v2_quality_x_rzrq_flow_00217,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|ctx_rzrq_rqjmg3d,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($ctx_rzrq_rqjmg3d)))"
1,phase3aa_event_0187_cn_integrated_v2_quality_size_residual_00187,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,amount|ctx_fund_ps_research_to_income,,"CSRank(Sub(ZScore($ctx_fund_ps_research_to_income),ZScore($amount)))"
2,phase3aa_event_0145_cn_integrated_v2_quality_x_minute_pressure_00145,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|m1_first30_amount,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($m1_first30_amount)))"
3,phase3aa_event_0203_cn_integrated_v2_quality_x_minute_pressure_00203,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|m1_first15_vol,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($m1_first15_vol)))"
4,phase3aa_event_0211_cn_integrated_v2_quality_x_minute_pressure_00211,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|m1_first30_vol,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($m1_first30_vol)))"
5,phase3aa_event_0158_cn_integrated_v2_quality_x_rzrq_flow_00158,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|ctx_rzrq_rqmcl,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($ctx_rzrq_rqmcl)))"
6,phase3aa_event_0219_cn_integrated_v2_quality_x_rzrq_flow_00219,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|ctx_rzrq_rqmcl,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($ctx_rzrq_rqmcl)))"
7,phase3aa_event_0218_cn_integrated_v2_quality_x_rzrq_flow_00218,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|ctx_rzrq_rqjmg5d,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($ctx_rzrq_rqjmg5d)))"
8,phase3aa_event_0216_cn_integrated_v2_quality_x_rzrq_flow_00216,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_ps_research_to_income|ctx_rzrq_rqjmg10d,,"CSRank(Mul(ZScore($ctx_fund_ps_research_to_income),ZScore($ctx_rzrq_rqjmg10d)))"
9,phase3aa_event_0150_cn_integrated_v2_quality_x_minute_pressure_00150,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,executable,2,ctx_fund_cf_operate_cash_to_netprofit|m1_first30_vol,,"CSRank(Mul(ZScore($ctx_fund_cf_operate_cash_to_netprofit),ZScore($m1_first30_vol)))"
