registry_cluster_id,row_kind,representative_index,candidate_id,has_representative_expression,has_source_candidate,has_aggregate_row,aggregate_global_cluster_id,aggregate_cluster_member_count,collides_with_registry_cluster_ids,match_failure_reason,representative_expression
cluster_001,representative,0,stockpit-cem_adaptive_grammar-bf0c89033a07,True,True,True,cluster_017,3,"cluster_001,cluster_021,cluster_062",recluster_collision_group,"CSRank(CSResidual(CSRank(Mean($close,21)),CSRank(Mean($volume,21))))"
cluster_002,representative,1,phase3repair-failure_detail-operator_sanitize-40cea808a831,True,True,True,cluster_015,1,,ok,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))"
cluster_003,representative,2,stockpit-cem_adaptive_grammar-3293d34baffe,True,True,True,cluster_291,1,,ok,"Neg(CSRank(CSResidual(CSRank(Delta($amount,5)),CSRank(Delta($close,5)))))"
cluster_004,representative,3,agnostic-freeform-25f851077a93,True,True,True,cluster_292,1,,ok,"CSRank(Mul(ZScore(Std($open,3)),ZScore(Mean(Abs(Delta($amount,1)),34))))"
cluster_006,representative,4,phase3repair-failure_detail-operator_sanitize-60c2dfc8a49e,True,True,True,cluster_062,1,,ok,"CSRank(Sub(Mean($close,6),Mean($close,3)))"
cluster_007,representative,5,stockpit-cem_adaptive_grammar-55222477e30e,True,True,True,cluster_132,1,,ok,"CSRank(Mul(ZScore(Mean($close,1)),ZScore(Mean($amount,21))))"
cluster_009,representative,6,stockpit-cem_adaptive_grammar-8413343657eb,True,True,True,cluster_076,1,,ok,"CSRank(CSResidual(CSRank(Mom($final_float_market_cap,21)),CSRank(Mom($close,5))))"
cluster_010,representative,7,fgv2-repair-add_confirmation_state-9339936017,True,True,True,cluster_031,1,,ok,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))"
cluster_011,representative,8,agnostic-freeform-ae75d4bc8223,True,True,True,cluster_007,2,"cluster_011,cluster_030",recluster_collision_group,"CSRank(Mul(CSRank(Mean($amount,2)),Mul(CSRank(Delta($open,3)),ZScore(Std($high,34)))))"
cluster_012,representative,9,phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,True,True,True,cluster_053,1,,ok,"CSRank(Sub(Mean($close,8),Mean($close,5)))"
cluster_013,representative,10,agnostic-freeform-bd66e1ad942d,True,True,True,cluster_293,1,,ok,"CSRank(Mul(CSRank($volume),Mul(ZScore($final_total_market_cap),CSRank($turnover_rate))))"
cluster_014,representative,11,phase3repair-failure_detail-operator_sanitize-d8db426833f8,True,True,True,cluster_050,1,,ok,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))"
cluster_015,representative,12,fgv2-repair-add_state_gate-55cd71a20e,True,True,True,cluster_013,1,,ok,"CSRank(Mul(CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),21)),ZScore(Mean(Abs($amount),2)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_016,representative,13,agnostic-freeform-d19ab9871668,True,True,True,cluster_294,1,,ok,"CSRank(Mul(ZScore(Mean(Abs(Delta($open,1)),21)),Mul(CSRank(Mean(Abs(Delta($high,1)),2)),Sign(Mean($open,21)))))"
cluster_018,representative,14,agnostic-freeform-2a3d2b3f0333,True,True,True,cluster_001,1,,ok,"CSRank(Mul(Sign($turnover_rate),Mul(CSRank(Delta($close,34)),ZScore($low))))"
cluster_019,representative,15,agnostic-freeform-8a790476d420,True,True,True,cluster_041,1,,ok,"CSRank(Mul(CSRank(Mean(Abs(Delta($high,1)),13)),Mul(ZScore(Mean(Abs(Delta($vwap,1)),13)),Sign($final_total_market_cap))))"
cluster_020,representative,16,agnostic-freeform-af217408a657,True,True,True,cluster_295,1,,ok,"CSRank(Sub(ZScore(Mean($open,34)),ZScore(Delta($vwap,8))))"
cluster_021,representative,17,stockpit-cem_adaptive_grammar-ede245c42114,True,True,True,cluster_017,3,"cluster_001,cluster_021,cluster_062",recluster_collision_group,"CSRank(CSResidual(CSRank(Mean(Abs($amount),21)),CSRank(Mean(Abs($volume),5))))"
cluster_022,representative,18,agnostic-freeform-ffd5a0b62454,True,True,True,cluster_296,1,,ok,"CSRank(CSResidual(ZScore(Std($low,13)),ZScore(Mom($low,13))))"
cluster_023,representative,19,agnostic-freeform-7d3e40644ec1,True,True,True,cluster_297,1,,ok,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($low,1)),3)),CSRank(Std($final_float_market_cap,2))))"
cluster_024,representative,20,agnostic-freeform-29d735fb8c0b,True,True,True,cluster_029,1,,ok,"CSRank(Mul(Sign(Mean($turnover_rate,8)),Mul(CSRank($high),ZScore(Mean($high,8)))))"
cluster_025,representative,21,stockpit-cem_adaptive_grammar-3fb747673b2a,True,True,True,cluster_298,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($close,21)))))"
cluster_027,representative,22,stockpit-cem_adaptive_grammar-a830f48ceb25,True,True,True,cluster_137,2,"cluster_027,cluster_097",recluster_collision_group,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,21))))"
cluster_028,representative,23,agnostic-freeform-33a9f64d7a4f,True,True,True,cluster_299,1,,ok,"CSRank(Add(ZScore(Mean($vwap,5)),Sign(Mom($low,34))))"
cluster_030,representative,24,fgv2-repair-add_state_gate-4e1937f9f9,True,True,True,cluster_007,2,"cluster_011,cluster_030",recluster_collision_group,"CSRank(Mul(CSRank(Std($final_float_market_cap,21)),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_031,representative,25,agnostic-freeform-ca14e40fcc83,True,True,True,cluster_300,1,,ok,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))"
cluster_032,representative,26,stockpit-cem_adaptive_grammar-3f0460244fb6,True,True,True,cluster_301,1,,ok,"CSRank(CSResidual(CSRank(Delta($final_float_market_cap,5)),CSRank(Delta($amount,5))))"
cluster_033,representative,27,stockpit-cem_adaptive_grammar-8b93b582ec12,True,True,True,cluster_153,1,,ok,"CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))"
cluster_034,representative,28,agnostic-freeform-65dea0aca41f,True,True,True,cluster_302,1,,ok,"CSRank(Mul(ZScore(Mean($low,2)),Corr(Std($open,21),Delay(Mean($high,21),1),5)))"
cluster_035,representative,29,stockpit-cem_adaptive_grammar-0f900d973b4b,True,True,True,cluster_219,1,,ok,"CSRank(Mul(ZScore(Std($close,5)),ZScore(Std($final_float_market_cap,5))))"
cluster_036,representative,30,stockpit-cem_adaptive_grammar-85d6db4e0c47,True,True,True,cluster_303,1,,ok,"CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($amount,21))))"
cluster_038,representative,31,agnostic-freeform-d8bd7f2e111e,True,True,True,cluster_304,2,"cluster_038,cluster_142",recluster_collision_group,"CSRank(CSResidual(ZScore($vwap),CSRank(Delta($low,5))))"
cluster_039,representative,32,agnostic-freeform-9e503df15f34,True,True,True,cluster_305,1,,ok,"CSRank(Add(ZScore(Mean($high,5)),Sign(Mom($close,2))))"
cluster_040,representative,33,agnostic-freeform-3e10fa20a8b6,True,True,True,cluster_306,1,,ok,"CSRank(Mul(CSRank(Delta($high,3)),Mul(ZScore(Mom($final_float_market_cap,13)),ZScore($vwap))))"
cluster_043,representative,34,agnostic-freeform-dae05e7aac88,True,True,True,cluster_072,2,"cluster_043,cluster_090",recluster_collision_group,"CSRank(CSResidual(CSRank(Std($final_total_market_cap,21)),ZScore(Std($volume,2))))"
cluster_044,representative,35,agnostic-freeform-3d8494bee390,True,True,True,cluster_307,1,,ok,"CSRank(Mul(ZScore(Std($close,2)),CSRank(Std($amount,21))))"
cluster_045,representative,36,fgv2-repair-add_confirmation-235975547a,True,True,True,cluster_308,1,,ok,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),Sign(Delta($amount,1))))"
cluster_046,representative,37,agnostic-freeform-9f37d3134442,True,True,True,cluster_032,1,,ok,"CSRank(Add(ZScore(Mean($close,3)),CSRank(Mom($final_total_market_cap,5))))"
cluster_047,representative,38,stockpit-cem_adaptive_grammar-ff3c8e5ec7d4,True,True,True,cluster_144,1,,ok,"CSRank(Mul(ZScore(Mean($close,21)),ZScore(Mean($close,21))))"
cluster_048,representative,39,agnostic-freeform-907e27620b0f,True,True,True,cluster_309,1,,ok,"CSRank(Mul(CSRank(Std($open,34)),Corr($high,Mean($final_float_market_cap,8),21)))"
cluster_050,representative,40,fgv2-repair-add_state_gate-fabcc2b993,True,True,True,cluster_018,1,,ok,"CSRank(Mul(CSRank(Mean(Abs($close),21)),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_051,representative,41,agnostic-freeform-fc9a5323fa49,True,True,True,cluster_310,1,,ok,"CSRank(Mul(ZScore(Std($low,5)),Mul(CSRank(Std($low,3)),Sign(Std($high,2)))))"
cluster_053,representative,42,agnostic-freeform-3e2a5f436bcc,True,True,True,cluster_311,1,,ok,"CSRank(Mul(ZScore($turnover_rate),Mul(Sign(Std($final_float_market_cap,8)),ZScore(Mean($open,5)))))"
cluster_054,representative,43,stockpit-cem_adaptive_grammar-9f3d1b47cd40,True,True,True,cluster_136,1,,ok,"CSRank(Mul(ZScore(Std($close,21)),ZScore(Std($close,5))))"
cluster_055,representative,44,agnostic-freeform-16120276d90f,True,True,True,cluster_312,1,,ok,"CSRank(Add(CSRank($close),CSRank(Delta($close,13))))"
cluster_056,representative,45,phase3repair-failure_detail-duplicate_escape-6a69c0324828,True,True,True,cluster_096,1,,ok,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))"
cluster_057,representative,46,stockpit-cem_adaptive_grammar-be1b4f1de471,True,True,True,cluster_068,2,"cluster_057,cluster_117",recluster_collision_group,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($final_float_market_cap,21)))))"
cluster_059,representative,47,stockpit-cem_adaptive_grammar-1f40eb616bbd,True,True,True,cluster_313,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($final_float_market_cap,21)))))"
cluster_060,representative,48,agnostic-freeform-a1758f15f7ea,True,True,True,cluster_314,1,,ok,"CSRank(Mul(ZScore(Delta($open,8)),Mul(ZScore(Mean(Abs(Delta($high,1)),3)),ZScore(Mean($vwap,3)))))"
cluster_062,representative,49,agnostic-freeform-bf153db404b9,True,True,True,cluster_017,3,"cluster_001,cluster_021,cluster_062",recluster_collision_group,"CSRank(Mul(Sign(Mean($final_float_market_cap,34)),Mul(CSRank($vwap),CSRank($final_total_market_cap))))"
cluster_063,representative,50,phase3repair-failure_detail-duplicate_escape-d66d7015485e,True,True,True,cluster_121,1,,ok,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))"
cluster_064,representative,51,stockpit-cem_adaptive_grammar-378242fdbe92,True,True,True,cluster_315,1,,ok,"Neg(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,21)))))"
cluster_065,representative,52,agnostic-freeform-f78bdb206872,True,True,True,cluster_316,1,,ok,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))"
