candidate_field,dataset,source_field,candidate_role,transform,pit_rule,priority
evt_zls_amount,uplimit_stocks,amount,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_amount_cross_sectional_rank,uplimit_stocks,amount,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_amount_zscore,uplimit_stocks,amount,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_amount_rolling_3d,uplimit_stocks,amount,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_amount_rolling_5d,uplimit_stocks,amount,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_buy,uplimit_stocks,auction_buy,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_buy_cross_sectional_rank,uplimit_stocks,auction_buy,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_buy_zscore,uplimit_stocks,auction_buy,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_buy_rolling_3d,uplimit_stocks,auction_buy,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_buy_rolling_5d,uplimit_stocks,auction_buy,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_money,uplimit_stocks,auction_money,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_money_cross_sectional_rank,uplimit_stocks,auction_money,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_money_zscore,uplimit_stocks,auction_money,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_money_rolling_3d,uplimit_stocks,auction_money,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_money_rolling_5d,uplimit_stocks,auction_money,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_offer,uplimit_stocks,auction_offer,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_offer_cross_sectional_rank,uplimit_stocks,auction_offer,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_offer_zscore,uplimit_stocks,auction_offer,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_offer_rolling_3d,uplimit_stocks,auction_offer,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_offer_rolling_5d,uplimit_stocks,auction_offer,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_pre1max_ratio,uplimit_stocks,auction_pre1max_ratio,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_pre1max_ratio_cross_sectional_rank,uplimit_stocks,auction_pre1max_ratio,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_pre1max_ratio_zscore,uplimit_stocks,auction_pre1max_ratio,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_pre1max_ratio_rolling_3d,uplimit_stocks,auction_pre1max_ratio,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_pre1max_ratio_rolling_5d,uplimit_stocks,auction_pre1max_ratio,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,medium
evt_zls_auction_turnover,uplimit_stocks,auction_turnover,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_turnover_cross_sectional_rank,uplimit_stocks,auction_turnover,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_turnover_zscore,uplimit_stocks,auction_turnover,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_turnover_rolling_3d,uplimit_stocks,auction_turnover,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_auction_turnover_rolling_5d,uplimit_stocks,auction_turnover,minute_event_or_tplus1,rolling_5d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_close,uplimit_stocks,fd_close,minute_event_or_tplus1,raw_numeric,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_close_cross_sectional_rank,uplimit_stocks,fd_close,minute_event_or_tplus1,cross_sectional_rank,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_close_zscore,uplimit_stocks,fd_close,minute_event_or_tplus1,zscore,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
evt_zls_fd_close_rolling_3d,uplimit_stocks,fd_close,minute_event_or_tplus1,rolling_3d,event_row_available_after_up_limit_time_or_T_plus_1_daily,high
