"shard","ledger","pre","full","eval","smoke_pass","promoted","top_sortino"
"supervisor-shard_00_of_16","28","192","3310","28","0","0","0.654007"
"supervisor-shard_01_of_16","23","192","3310","23","0","0","1.116646"
"supervisor-shard_02_of_16","22","192","3310","22","0","0","1.17128"
"supervisor-shard_03_of_16","24","192","3310","24","0","0","0.553715"
"supervisor-shard_04_of_16","31","192","3310","31","0","0","0.619986"
"supervisor-shard_05_of_16","68","192","3310","64","0","0","4.468315"
"supervisor-shard_06_of_16","67","192","3310","64","0","0","3.959928"
"supervisor-shard_07_of_16","33","192","3310","33","0","0","0.99697"
"supervisor-shard_08_of_16","153","192","3310","64","0","0","4.96975"
"supervisor-shard_09_of_16","149","192","3310","64","0","0","5.55338"
"supervisor-shard_10_of_16","164","192","3310","64","0","0","5.439394"
"supervisor-shard_11_of_16","171","192","3310","64","0","0","4.897013"
"supervisor-shard_12_of_16","160","192","3310","64","0","0","7.593864"
"supervisor-shard_13_of_16","98","192","3310","64","0","0","3.704514"
"supervisor-shard_14_of_16","48","192","3310","48","0","0","3.03013"
"supervisor-shard_15_of_16","139","192","3310","64","0","0","1.983431"
