"shard","candidate_id","expression","family","sortino","ret","rank_ic","amount","turnover","float_mcap_b","passes_smoke","promoted","expr"
"supervisor-shard_12_of_16","stockpit-ff-319bd1146b44","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),6)))))","rx_beam_open_gap_x_vol_curve","7.593864","0.001621","0.024798","986195890.673063","0.066065","21.755603","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),6)))))"
"supervisor-shard_09_of_16","stockpit-ff-a4ae55ebe26a","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),34)))))","rx_beam_open_gap_x_vol_curve","5.55338","0.001114","0.023412","1022399107.91226","0.067646","21.66818","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),34)))))"
"supervisor-shard_09_of_16","stockpit-ff-dcbbe59b8a51","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),31)))))","rx_beam_open_gap_x_vol_curve","5.531155","0.001201","0.023394","1026166551.89389","0.06758","21.567803","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),31)))))"
"supervisor-shard_09_of_16","stockpit-ff-cef8f868d514","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),30)))))","rx_beam_open_gap_x_vol_curve","5.48727","0.001278","0.02343","1028663591.96672","0.067755","21.832234","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),30)))))"
"supervisor-shard_10_of_16","stockpit-ff-d6fe29c29bd9","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),43)))))","rx_beam_open_gap_x_vol_curve","5.439394","0.001044","0.022616","1039379125.76235","0.068271","21.5494","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),43)))))"
"supervisor-shard_09_of_16","stockpit-ff-78e81281c09f","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),29)))))","rx_beam_open_gap_x_vol_curve","5.151202","0.001212","0.023373","1031749148.88219","0.067575","21.753613","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),29)))))"
"supervisor-shard_12_of_16","stockpit-ff-fd04d8276a3d","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),10)))))","rx_beam_open_gap_x_vol_curve","5.14354","0.001075","0.024324","999282626.528656","0.066199","21.759754","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),10)))))"
"supervisor-shard_09_of_16","stockpit-ff-472889da7ce4","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),35)))))","rx_beam_open_gap_x_vol_curve","5.108535","0.001145","0.023438","1023605270.48369","0.067705","21.56375","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),35)))))"
"supervisor-shard_08_of_16","stockpit-ff-6096ea445f1a","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),26)))))","rx_beam_open_gap_x_vol_curve","4.96975","0.001276","0.02332","1026092820.66166","0.067276","21.641692","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),26)))))"
"supervisor-shard_10_of_16","stockpit-ff-0b2ed87f34a9","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),41)))))","rx_beam_open_gap_x_vol_curve","4.932464","0.001138","0.023388","1037112629.77129","0.068206","21.369584","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),41)))))"
