factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_interaction::rx_range_location::rx_opening_amount::spread,1,0.2117119988,0,1
rx_range_location::inverted,3,0.2114489757,0,3
cem_atom::rx_range_location::inverted,2,0.1996020923,0,2
cem_atom::rx_range_location::rank,1,0.1996020923,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::spread,6,0.1915834089,0,4
rx_intraday_return::inverted,4,0.1910791325,0,4
cem_atom::rx_intraday_return::rank,3,0.1910791325,0,3
rx_interaction::rx_intraday_return::rx_opening_amount::spread,6,0.1892427692,0,3
rx_range_location::rank,2,0.1850371692,0,2
cem_interaction::rx_range_location::rx_opening_amount::signed_state,3,0.179775389,0,3
rx_interaction::rx_intraday_return::rx_opening_amount::product,8,0.1792778816,0,6
cem_interaction::rx_range_location::rx_range_location::spread,1,0.1727534775,0,1
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,4,0.1661976769,0,4
cem_interaction::rx_range_location::rx_volatility_state::spread,1,0.1656758909,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,6,0.1089869282,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,6,0.1051843017,0,1
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,1,0.103182331,0,0
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1007535358,0,2
rx_interaction::rx_intraday_return::rx_volatility_state::spread,3,0.0721712166,0,2
rx_interaction::rx_range_location::rx_range_location::product,4,0.07041058381,0,0
cem_interaction::rx_range_location::rx_range_location::signed_state,4,0.05767576429,0,0
cem_interaction::rx_opening_amount::rx_range_location::signed_state,5,0.04744041021,0,2
rx_interaction::rx_opening_range::rx_volatility_state::spread,1,0.04539797569,1,0
rx_interaction::rx_opening_amount::rx_range_location::product,3,0.04526587304,0,3
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_inverted_product,2,0.03761538718,0,0
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,2,0.03459055161,0,0
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.03421910882,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::product,1,0.03352223793,0,0
rx_interaction::rx_opening_range::rx_range_location::product,1,0.03332181592,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::signed_state,2,0.03326783205,0,0
rx_interaction::rx_opening_range::rx_volatility_state::product,2,0.03188340287,0,2
cem_interaction::rx_opening_range::rx_range_location::signed_state,1,0.03146705318,0,1
rx_interaction::rx_range_location::rx_flow_amount_volume::product,1,0.0310568912,0,1
rx_interaction::rx_intraday_return::rx_range_location::product,1,0.03050291582,0,1
cem_resample::rx_intraday_return::rx_range_location::elite_inverted_product,1,0.03050291582,0,1
