capacity_proxy,cluster_id,cost_adjusted_score,deployable_count,effective_signal_count,field_families,limit_hit_rate,liquidity_bucket,liquidity_eval_error,max_corr_to_registry,median_amount_20d,median_cost_adjusted_sortino,median_float_mcap,median_replay_turnover,median_strict_turnover,median_total_mcap,median_volume_20d,new_vs_149,operator_families,p90_replay_turnover,p90_strict_turnover,participation_capacity_proxy,raw_pass_count,representative_candidate_id,representative_expression,selected_date_count,selected_row_count,source_concentration,source_lane,source_lane_counts,suspension_rate,tradable_breadth
61038750.60332,s51_cluster_001,2.207932,1,110.0,"[""flow"", ""price""]",0.016917,high,,0.0,2506280908.8,2.456097,61038750603.32031,0.195914,0.185783,73824460000.0,18208821.05,,"[""CSRank"", ""Mean"", ""Mul""]",0.195914,0.185783,125314045.44,1,agnostic-freeform-49bee246ffba,"CSRank(Mul(CSRank($amount),CSRank(Mean($close,13))))",110,12059,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
41240100.479346,s51_cluster_002,4.157599,1,110.0,"[""price"", ""size_capital""]",0.021467,high,,0.761965,1773087422.4,4.483997,41240100479.3457,0.113772,0.097031,49576500000.0,10197372.65,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",0.113772,0.097031,88654371.12,1,fgv2-repair-add_state_gate-3e256047af,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",102,11180,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
24339801.149414,s51_cluster_003,3.493812,3,110.0,"[""price"", ""size_capital""]",0.012311,medium,,0.991028,792936964.8,3.970537,24339801149.414062,0.052267,0.037872,31991027500.0,4979263.925,,"[""CSRank"", ""CSResidual"", ""Mean"", ""Mom"", ""ZScore""]",0.259911,0.261694,39646848.24,3,agnostic-freeform-38c48943ef92,"CSRank(CSResidual(CSRank(Mean($vwap,2)),ZScore(Mom($final_total_market_cap,5))))",117,12834,0.333333,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1, ""formula_gen_v2_repair_expansion"": 1, ""r0_cem_led"": 1}",0.0,110.0
114899314.978125,s51_cluster_005,2.732301,2,110.0,"[""price"", ""size_capital""]",0.009516,high,,1.0,2361168425.6,2.80877,114899314978.125,0.036741,0.02475,134130410000.0,18051908.475,,"[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",0.036741,0.02475,118058421.28,2,stockpit-cem_adaptive_grammar-025c250db93d,"CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),8)),ZScore(Mean(Abs($close),2))))",115,12610,0.5,r0_cem_led,"{""formula_gen_v2_repair_expansion"": 1, ""r0_cem_led"": 1}",0.0,110.0
66178692.158203,s51_cluster_006,0.803214,1,110.0,"[""price"", ""size_capital""]",0.032268,high,,0.493024,2500253516.8,0.878392,66178692158.20313,0.120017,0.106217,74394375000.0,17393324.15,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",0.120017,0.106217,125012675.84,1,agnostic-freeform-edb3be151ae4,"CSRank(Mul(ZScore(Std($open,34)),Mul(CSRank(Mean(Abs(Delta($low,1)),3)),ZScore(Std($final_float_market_cap,13)))))",90,9855,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
25480245.859375,s51_cluster_007,3.080926,1,110.0,"[""price""]",0.01699,high,,0.626785,1184123244.8,3.284579,25480245859.375,0.098279,0.081835,32430302500.0,6486359.25,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Neg"", ""ZScore""]",0.098279,0.081835,59206162.24,1,fgv2-repair-add_state_gate-7a09229418,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",102,11183,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
15284692.164941,s51_cluster_009,1.79795,1,110.0,"[""price""]",0.019025,medium,,0.754103,568251405.2,2.006315,15284692164.941406,0.198281,0.185845,21747332500.0,5428245.6,,"[""CSRank"", ""Corr"", ""Mean"", ""Mom"", ""Mul""]",0.198281,0.185845,28412570.26,1,agnostic-freeform-225fee8cd870,"CSRank(Mul(CSRank(Mean($high,2)),Corr(Mom($close,13),$vwap,21)))",105,11511,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
67648509.121875,s51_cluster_011,1.065551,1,110.0,"[""price"", ""size_capital""]",0.029061,high,,0.414166,2388961491.2,1.173913,67648509121.875,0.144215,0.104156,79113600000.0,25043284.7,,"[""CSRank"", ""Delta"", ""Mean"", ""Mul""]",0.144215,0.104156,119448074.56,1,agnostic-freeform-e930e660c0c5,"CSRank(Mul(CSRank(Mean($final_total_market_cap,8)),CSRank(Delta($low,34))))",88,9635,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
39057434.386133,s51_cluster_013,-0.246672,1,110.0,"[""price"", ""size_capital""]",0.019154,high,,0.100974,1384877820.8,-0.295645,39057434386.13281,0.381979,0.37241,45220230000.0,19993601.025,,"[""CSRank"", ""Delta"", ""Mul"", ""Neg"", ""ZScore""]",0.381979,0.37241,69243891.04,1,stockpit-cem_adaptive_grammar-08eefe9806ba,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($close,21)))))",101,11068,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
20121176.026807,s51_cluster_016,0.670743,1,110.0,"[""price""]",0.037775,high,,0.734844,1130709492.8,0.757037,20121176026.80664,0.179438,0.163381,26429331250.0,9000157.925,,"[""CSRank"", ""Delta""]",0.179438,0.163381,56535474.64,1,stockpit-cem_adaptive_grammar-75bd5b22d1ce,"CSRank(Delta($close,34))",88,9636,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
