book,capacity_proxy_median,cluster_count,equal_book_ir_proxy,equal_cost_adjusted_return_proxy,equal_max_cluster_weight,equal_top_cluster_contribution,inverse_turnover_book_ir_proxy,inverse_turnover_cost_adjusted_return_proxy,inverse_turnover_max_cluster_weight,inverse_turnover_top_cluster_contribution,limit_suspension_loss_proxy,liquidity_adjusted_book_ir_proxy,liquidity_adjusted_cost_adjusted_return_proxy,liquidity_adjusted_max_cluster_weight,liquidity_adjusted_top_cluster_contribution,max_raw_share,median_turnover,new_vs_149_retained,new_vs_149_status,p90_turnover,retention_vs_j0,seed,source_lane_top_share
J0_fresh,25480245.859375,50,1.988238,1.988238,0.02,0.055373,2.097124,2.097124,0.078299,0.085039,0.01997,2.194615,2.194615,0.106294,0.110316,0.0625,0.157384,,not_available_without_full_149_representative_registry,0.400547,1.0,None,0.44
J2_fresh,25480245.859375,35,2.042773,2.042773,0.028571,0.058081,2.127345,2.127345,0.086544,0.092797,0.01979,2.231355,2.231355,0.116075,0.11865,0.088889,0.132702,,not_available_without_full_149_representative_registry,0.204045,0.7,None,0.485714
J4_relaxed_fresh,25480245.859375,34,2.092282,2.092282,0.029412,0.058374,2.292994,2.292994,0.094653,0.094159,0.020221,2.258299,2.258299,0.117746,0.118921,0.090909,0.135936,,not_available_without_full_149_representative_registry,0.204322,0.68,None,0.5
