profile,profile_status,decision,calendar_forward_days,observed_return_days,pending_return_days,active_observed_days,cash_observed_days,process_issue_count,first_date,last_date,book_version,gate_version,full_observed_total_return,full_observed_ann_compound,full_observed_sharpe,full_observed_max_drawdown,active_mean_daily,active_hit_rate,active_total_return,cash_total_return,no_gate_counterfactual_total_return,gate_off_missed_positive_sum,gate_off_missed_positive_days,active_day_10_gate,active_day_20_gate,active_day_40_gate,active_day_60_gate
x0_official6_r3_liquidity_low,formal_candidate_shadow,TRACKING,1,0,1,0,0,0,2026-05-08,2026-05-08,phase3p_x0_official6_r3_v1,phase3o_r3_liquidity_low_2025h2_q33_v1,,,,,,,,,,0.0,0,pending_10,pending_20,pending_40,pending_60
x4_plus003_minus002_r3_liquidity_low,research_diagnostic_shadow,TRACKING,1,0,1,0,0,0,2026-05-08,2026-05-08,phase3p_x4_plus003_minus002_r3_v1,phase3o_r3_liquidity_low_2025h2_q33_v1,,,,,,,,,,0.0,0,pending_10,pending_20,pending_40,pending_60
