field,field_family,coverage_ratio,usable_rows,usable_dates,unique_values,lag_days,train_2025h2_days,train_2025h2_mean_ic,train_2025h2_median_ic,train_2025h2_ic_positive_rate,oos_2026_days,oos_2026_mean_ic,oos_2026_median_ic,oos_2026_ic_positive_rate,oos_2026_r3_on_days,oos_2026_r3_on_mean_ic,oos_2026_r3_on_median_ic,oos_2026_r3_on_ic_positive_rate,oos_2026_r3_off_days,oos_2026_r3_off_mean_ic,oos_2026_r3_off_median_ic,oos_2026_r3_off_ic_positive_rate,preferred_direction,decision,fast_score,scan_stage,train_2025h2_mean_spread,train_2025h2_median_turnover,train_2025h2_p90_turnover,train_2025h2_ls_ann,train_2025h2_ls_sortino,train_2025h2_ls_maxdd,train_2025h2_ls_top3_share,train_2025h2_ls_net10_ann,train_2025h2_ls_net10_sortino,train_2025h2_ls_net10_maxdd,oos_2026_mean_spread,oos_2026_median_turnover,oos_2026_p90_turnover,oos_2026_ls_ann,oos_2026_ls_sortino,oos_2026_ls_maxdd,oos_2026_ls_top3_share,oos_2026_ls_net10_ann,oos_2026_ls_net10_sortino,oos_2026_ls_net10_maxdd,oos_2026_r3_on_mean_spread,oos_2026_r3_on_median_turnover,oos_2026_r3_on_p90_turnover,oos_2026_r3_on_ls_ann,oos_2026_r3_on_ls_sortino,oos_2026_r3_on_ls_maxdd,oos_2026_r3_on_ls_top3_share,oos_2026_r3_on_ls_net10_ann,oos_2026_r3_on_ls_net10_sortino,oos_2026_r3_on_ls_net10_maxdd,oos_2026_r3_off_mean_spread,oos_2026_r3_off_median_turnover,oos_2026_r3_off_p90_turnover,oos_2026_r3_off_ls_ann,oos_2026_r3_off_ls_sortino,oos_2026_r3_off_ls_maxdd,oos_2026_r3_off_ls_top3_share,oos_2026_r3_off_ls_net10_ann,oos_2026_r3_off_ls_net10_sortino,oos_2026_r3_off_ls_net10_maxdd
m1_day_high,minute_range_price_state,0.943598,846618,160,34168,0,100,-0.016104,0.000291,0.5,60,-0.027694,-0.070163,0.416667,21,-0.001758,-0.044573,0.380952,39,-0.041659,-0.07986,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.02300085,deep_top_bottom,0.001125,0.028846,0.043353,0.327639,1.409646,-0.20744797,0.141819,0.313992,1.35498,-0.20818316,0.001016,0.027273,0.036364,0.291585,1.730358,-0.14444243,0.209932,0.282919,1.684953,-0.14527026,0.00481,0.022727,0.027273,2.350678,6.724018,-0.04533784,0.523395,2.329644,6.686752,-0.04539537,-0.001027,0.027273,0.037273,-0.22813,-2.027934,-0.10737843,0.333212,-0.233489,-2.083327,-0.1081073
m1_first30_high,minute_range_price_state,0.943598,846618,160,33957,0,100,-0.015571,0.001461,0.5,60,-0.027314,-0.06945,0.416667,21,-0.001154,-0.043478,0.380952,39,-0.0414,-0.078142,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.02256715,deep_top_bottom,0.001062,0.028846,0.044211,0.306663,1.337497,-0.20625617,0.141108,0.293273,1.282802,-0.20690074,0.001051,0.027273,0.036364,0.302903,1.805422,-0.14553269,0.212721,0.293766,1.757435,-0.14637465,0.0046,0.022727,0.031818,2.178663,6.37747,-0.04747145,0.537124,2.15802,6.340764,-0.04752878,-0.000861,0.027273,0.037273,-0.195031,-1.735094,-0.10674462,0.330533,-0.200902,-1.793778,-0.10748568
m1_first15_high,minute_range_price_state,0.943598,846618,160,33956,0,100,-0.015489,0.001645,0.5,60,-0.027153,-0.069388,0.416667,21,-0.000931,-0.04296,0.380952,39,-0.041272,-0.077478,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.02242155,deep_top_bottom,0.001001,0.029126,0.046296,0.286628,1.257023,-0.20793611,0.141932,0.273367,1.202284,-0.20867888,0.00102,0.027273,0.036364,0.292865,1.76523,-0.14765985,0.212895,0.283554,1.715414,-0.14853106,0.004716,0.022727,0.031818,2.272412,6.70615,-0.04629789,0.536269,2.250103,6.665319,-0.0463643,-0.00097,0.027273,0.037273,-0.216991,-1.956484,-0.11032492,0.331269,-0.222794,-2.016064,-0.11108344
m1_first15_high_minute,minute_range_price_state,0.943598,846618,160,33956,0,100,-0.015489,0.001645,0.5,60,-0.027153,-0.069388,0.416667,21,-0.000931,-0.04296,0.380952,39,-0.041272,-0.077478,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.02242155,deep_top_bottom,0.001001,0.029126,0.046296,0.286628,1.257023,-0.20793611,0.141932,0.273367,1.202284,-0.20867888,0.00102,0.027273,0.036364,0.292865,1.76523,-0.14765985,0.212895,0.283554,1.715414,-0.14853106,0.004716,0.022727,0.031818,2.272412,6.70615,-0.04629789,0.536269,2.250103,6.665319,-0.0463643,-0.00097,0.027273,0.037273,-0.216991,-1.956484,-0.11032492,0.331269,-0.222794,-2.016064,-0.11108344
m1_first5_high,minute_range_price_state,0.943598,846618,160,33653,0,100,-0.015369,0.002068,0.5,60,-0.026978,-0.069437,0.416667,21,-0.00081,-0.042515,0.380952,39,-0.041069,-0.077076,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.0222642,deep_top_bottom,0.000987,0.028846,0.041667,0.282104,1.251434,-0.20656479,0.141196,0.269209,1.197157,-0.20718631,0.000922,0.027273,0.036364,0.261307,1.597227,-0.14774793,0.215163,0.252293,1.547662,-0.14862744,0.004543,0.027273,0.031818,2.134004,6.379584,-0.04685727,0.539567,2.112805,6.340343,-0.04691927,-0.001028,0.027273,0.037273,-0.228412,-2.083577,-0.11087578,0.336876,-0.234085,-2.142569,-0.11165058
m1_first30_vwap,minute_vwap_pressure,0.943598,846618,160,845006,0,100,-0.015069,0.001477,0.5,60,-0.026681,-0.069134,0.416667,21,-0.00048,-0.04267,0.380952,39,-0.04079,-0.078138,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.0219642,deep_top_bottom,0.001137,0.027778,0.038536,0.331479,1.456988,-0.20228144,0.141378,0.318796,1.404824,-0.20285224,0.001092,0.027273,0.036364,0.316597,1.896482,-0.14238937,0.213539,0.307788,1.850172,-0.14316026,0.004551,0.022727,0.031818,2.139893,6.570194,-0.04646772,0.53416,2.119161,6.530972,-0.04652973,-0.00077,0.027273,0.036364,-0.1765,-1.519102,-0.1042643,0.334064,-0.182049,-1.571989,-0.10493404
open,price_state,0.987169,885711,161,21236,0,100,-0.018098,-0.004168,0.48,61,-0.023244,-0.06497,0.42623,22,0.00778,-0.034679,0.409091,39,-0.040745,-0.076004,0.435897,negative,CANDIDATE_FIELD_AXIS_FOR_REPAIR_SEARCH,0.02226305,deep_top_bottom,0.000909,0.027523,0.040351,0.257259,1.168472,-0.20371244,0.140233,0.248229,1.131553,-0.20430093,0.0014,0.027273,0.040909,0.422597,2.464728,-0.14931892,0.204151,0.412152,2.412897,-0.15025824,0.005797,0.022727,0.035909,3.291855,8.035617,-0.06149101,0.470629,3.265056,8.001294,-0.06157368,-0.001081,0.031818,0.041818,-0.238571,-2.188955,-0.11001689,0.336464,-0.244637,-2.252764,-0.11086893
