field,field_family,coverage_ratio,usable_rows,usable_dates,unique_values,lag_days,window,train_2025h2_days,train_2025h2_mean_ic,train_2025h2_median_ic,train_2025h2_ic_positive_rate,scan_stage,oos_2026_days,oos_2026_mean_ic,oos_2026_median_ic,oos_2026_ic_positive_rate,oos_2026_r3_on_days,oos_2026_r3_on_mean_ic,oos_2026_r3_on_median_ic,oos_2026_r3_on_ic_positive_rate,oos_2026_r3_off_days,oos_2026_r3_off_mean_ic,oos_2026_r3_off_median_ic,oos_2026_r3_off_ic_positive_rate,preferred_direction,decision,fast_score,train_2025h2_mean_spread,train_2025h2_median_turnover,train_2025h2_p90_turnover,train_2025h2_ls_ann,train_2025h2_ls_sortino,train_2025h2_ls_maxdd,train_2025h2_ls_top3_share,train_2025h2_ls_net10_ann,train_2025h2_ls_net10_sortino,train_2025h2_ls_net10_maxdd,oos_2026_mean_spread,oos_2026_median_turnover,oos_2026_p90_turnover,oos_2026_ls_ann,oos_2026_ls_sortino,oos_2026_ls_maxdd,oos_2026_ls_top3_share,oos_2026_ls_net10_ann,oos_2026_ls_net10_sortino,oos_2026_ls_net10_maxdd,oos_2026_r3_on_mean_spread,oos_2026_r3_on_median_turnover,oos_2026_r3_on_p90_turnover,oos_2026_r3_on_ls_ann,oos_2026_r3_on_ls_sortino,oos_2026_r3_on_ls_maxdd,oos_2026_r3_on_ls_top3_share,oos_2026_r3_on_ls_net10_ann,oos_2026_r3_on_ls_net10_sortino,oos_2026_r3_on_ls_net10_maxdd,oos_2026_r3_off_mean_spread,oos_2026_r3_off_median_turnover,oos_2026_r3_off_p90_turnover,oos_2026_r3_off_ls_ann,oos_2026_r3_off_ls_sortino,oos_2026_r3_off_ls_maxdd,oos_2026_r3_off_ls_top3_share,oos_2026_r3_off_ls_net10_ann,oos_2026_r3_off_ls_net10_sortino,oos_2026_r3_off_ls_net10_maxdd
open,price_state,0.987169,885711,161,21236,0,train_2025h2,100,-0.018098,-0.004168,0.48,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,price_state,0.987169,885711,161,21236,0,oos_2026,100,-0.018098,-0.004168,0.48,fast_ic,61,-0.023244,-0.06497,0.42623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,price_state,0.987169,885711,161,21236,0,oos_2026_r3_on,100,-0.018098,-0.004168,0.48,fast_ic,61,-0.023244,-0.06497,0.42623,22,0.00778,-0.034679,0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,price_state,0.987169,885711,161,21236,0,oos_2026_r3_off,100,-0.018098,-0.004168,0.48,fast_ic,61,-0.023244,-0.06497,0.42623,22,0.00778,-0.034679,0.409091,39,-0.040745,-0.076004,0.435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,price_state,0.980757,879958,160,21875,1,train_2025h2,99,-0.016233,-0.003505,0.494949,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,price_state,0.980757,879958,160,21875,1,oos_2026,99,-0.016233,-0.003505,0.494949,fast_ic,61,-0.023681,-0.060966,0.42623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,price_state,0.980757,879958,160,21875,1,oos_2026_r3_on,99,-0.016233,-0.003505,0.494949,fast_ic,61,-0.023681,-0.060966,0.42623,22,0.007159,-0.034885,0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,price_state,0.980757,879958,160,21875,1,oos_2026_r3_off,99,-0.016233,-0.003505,0.494949,fast_ic,61,-0.023681,-0.060966,0.42623,22,0.007159,-0.034885,0.409091,39,-0.041078,-0.074901,0.435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low,price_state,0.980757,879958,160,21065,1,train_2025h2,99,-0.014778,-0.001234,0.484848,fast_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low,price_state,0.980757,879958,160,21065,1,oos_2026,99,-0.014778,-0.001234,0.484848,fast_ic,61,-0.022478,-0.062157,0.42623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
