field,field_family,coverage_ratio,usable_rows,usable_dates,unique_values,lag_days,train_2025h2_days,train_2025h2_mean_ic,train_2025h2_median_ic,train_2025h2_ic_positive_rate,oos_2026_days,oos_2026_mean_ic,oos_2026_median_ic,oos_2026_ic_positive_rate,oos_2026_r3_on_days,oos_2026_r3_on_mean_ic,oos_2026_r3_on_median_ic,oos_2026_r3_on_ic_positive_rate,oos_2026_r3_off_days,oos_2026_r3_off_mean_ic,oos_2026_r3_off_median_ic,oos_2026_r3_off_ic_positive_rate,preferred_direction,decision,fast_score,scan_stage,train_2025h2_mean_spread,train_2025h2_median_turnover,train_2025h2_p90_turnover,train_2025h2_ls_ann,train_2025h2_ls_sortino,train_2025h2_ls_maxdd,train_2025h2_ls_top3_share,train_2025h2_ls_net10_ann,train_2025h2_ls_net10_sortino,train_2025h2_ls_net10_maxdd,oos_2026_mean_spread,oos_2026_median_turnover,oos_2026_p90_turnover,oos_2026_ls_ann,oos_2026_ls_sortino,oos_2026_ls_maxdd,oos_2026_ls_top3_share,oos_2026_ls_net10_ann,oos_2026_ls_net10_sortino,oos_2026_ls_net10_maxdd,oos_2026_r3_on_mean_spread,oos_2026_r3_on_median_turnover,oos_2026_r3_on_p90_turnover,oos_2026_r3_on_ls_ann,oos_2026_r3_on_ls_sortino,oos_2026_r3_on_ls_maxdd,oos_2026_r3_on_ls_top3_share,oos_2026_r3_on_ls_net10_ann,oos_2026_r3_on_ls_net10_sortino,oos_2026_r3_on_ls_net10_maxdd,oos_2026_r3_off_mean_spread,oos_2026_r3_off_median_turnover,oos_2026_r3_off_p90_turnover,oos_2026_r3_off_ls_ann,oos_2026_r3_off_ls_sortino,oos_2026_r3_off_ls_maxdd,oos_2026_r3_off_ls_top3_share,oos_2026_r3_off_ls_net10_ann,oos_2026_r3_off_ls_net10_sortino,oos_2026_r3_off_ls_net10_maxdd
amount,daily_flow_liquidity,0.980757,879958,160,863536,1,99,-0.029753,-0.012373,0.464646,61,-0.046901,-0.078646,0.42623,22,-0.050852,-0.084457,0.409091,39,-0.044672,-0.077455,0.435897,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.0428723,deep_top_bottom,0.001524,0.298165,0.346491,0.467635,1.696896,-0.17668655,0.128361,0.362191,1.367786,-0.18456141,0.000205,0.245455,0.290909,0.05303,0.292745,-0.09719481,0.207047,-0.011055,-0.062956,-0.10510196,0.001647,0.243182,0.272273,0.513785,3.263416,-0.04622604,0.441616,0.424528,2.785618,-0.04748951,-0.000608,0.245455,0.290909,-0.142123,-0.79951,-0.09719481,0.304875,-0.19525,-1.13236,-0.09872618
ctx_rzrq_rzche,rzrq_flow_leverage,0.647583,581026,160,566550,0,100,-0.02341,-0.025818,0.47,60,-0.033131,-0.046355,0.45,21,-0.038386,-0.061905,0.428571,39,-0.030302,-0.045515,0.461538,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.03106465,deep_top_bottom,0.001937,0.302817,0.352113,0.628583,2.203236,-0.21601637,0.14197,0.51177,1.863835,-0.2235127,0.000168,0.288462,0.326923,0.04329,0.251853,-0.10154604,0.231416,-0.030949,-0.185159,-0.11181059,0.002491,0.301282,0.326923,0.872088,4.011933,-0.04931779,0.531276,0.730716,3.35813,-0.05103138,-0.001083,0.279221,0.326923,-0.238914,-1.583027,-0.09209853,0.349319,-0.291273,-1.996509,-0.09937441
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,0.647583,581026,160,566550,0,100,-0.02341,-0.025818,0.47,60,-0.033131,-0.046355,0.45,21,-0.038386,-0.061905,0.428571,39,-0.030302,-0.045515,0.461538,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.03106465,deep_top_bottom,0.001937,0.302817,0.352113,0.628583,2.203236,-0.21601637,0.14197,0.51177,1.863835,-0.2235127,0.000168,0.288462,0.326923,0.04329,0.251853,-0.10154604,0.231416,-0.030949,-0.185159,-0.11181059,0.002491,0.301282,0.326923,0.872088,4.011933,-0.04931779,0.531276,0.730716,3.35813,-0.05103138,-0.001083,0.279221,0.326923,-0.238914,-1.583027,-0.09209853,0.349319,-0.291273,-1.996509,-0.09937441
ctx_rzrq_rzche3d,rzrq_flow_leverage,0.647451,580908,160,568145,0,100,-0.02345,-0.014284,0.45,60,-0.032293,-0.043402,0.433333,21,-0.036664,-0.064031,0.428571,39,-0.02994,-0.027741,0.435897,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.03038495,deep_top_bottom,0.002428,0.15493,0.197183,0.84244,2.688395,-0.2093864,0.140273,0.76908,2.507956,-0.21346737,0.000305,0.12987,0.156285,0.079801,0.392132,-0.09303232,0.246208,0.043123,0.215777,-0.09771134,0.002613,0.134615,0.160256,0.930382,4.185863,-0.06238118,0.526567,0.857425,3.955022,-0.06314623,-0.000938,0.12987,0.155844,-0.210688,-1.122837,-0.08526769,0.322926,-0.235861,-1.276706,-0.08883557
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,0.647451,580908,160,568145,0,100,-0.02345,-0.014284,0.45,60,-0.032293,-0.043402,0.433333,21,-0.036664,-0.064031,0.428571,39,-0.02994,-0.027741,0.435897,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.03038495,deep_top_bottom,0.002428,0.15493,0.197183,0.84244,2.688395,-0.2093864,0.140273,0.76908,2.507956,-0.21346737,0.000305,0.12987,0.156285,0.079801,0.392132,-0.09303232,0.246208,0.043123,0.215777,-0.09771134,0.002613,0.134615,0.160256,0.930382,4.185863,-0.06238118,0.526567,0.857425,3.955022,-0.06314623,-0.000938,0.12987,0.155844,-0.210688,-1.122837,-0.08526769,0.322926,-0.235861,-1.276706,-0.08883557
ctx_rzrq_rzche5d,rzrq_flow_leverage,0.647308,580780,160,568357,0,100,-0.022123,-0.010743,0.47,60,-0.031373,-0.027049,0.416667,21,-0.036252,-0.060851,0.428571,39,-0.028745,-0.024025,0.410256,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.02939815,deep_top_bottom,0.002235,0.105634,0.133803,0.755001,2.464617,-0.22232108,0.138842,0.707156,2.342043,-0.22496897,0.000438,0.089744,0.116883,0.116707,0.533257,-0.07594743,0.231206,0.08984,0.415797,-0.07849661,0.002597,0.089744,0.115385,0.92229,4.112767,-0.05986199,0.50145,0.86847,3.944919,-0.06034996,-0.000724,0.084416,0.116883,-0.166864,-0.810587,-0.07594743,0.334559,-0.185129,-0.909028,-0.07849661
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,0.647308,580780,160,568357,0,100,-0.022123,-0.010743,0.47,60,-0.031373,-0.027049,0.416667,21,-0.036252,-0.060851,0.428571,39,-0.028745,-0.024025,0.410256,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.02939815,deep_top_bottom,0.002235,0.105634,0.133803,0.755001,2.464617,-0.22232108,0.138842,0.707156,2.342043,-0.22496897,0.000438,0.089744,0.116883,0.116707,0.533257,-0.07594743,0.231206,0.08984,0.415797,-0.07849661,0.002597,0.089744,0.115385,0.92229,4.112767,-0.05986199,0.50145,0.86847,3.944919,-0.06034996,-0.000724,0.084416,0.116883,-0.166864,-0.810587,-0.07594743,0.334559,-0.185129,-0.909028,-0.07849661
ctx_rzrq_rzmre10d,rzrq_flow_leverage,0.646948,580457,160,568228,0,100,-0.019561,-0.016927,0.46,60,-0.030088,-0.021387,0.416667,21,-0.035347,-0.059708,0.428571,39,-0.027257,-0.020642,0.410256,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.02782045,deep_top_bottom,0.001581,0.056338,0.084507,0.488932,1.82268,-0.22847937,0.150835,0.463841,1.74323,-0.22993054,8.4e-05,0.057692,0.076923,0.021389,0.110519,-0.09965224,0.223677,0.004837,0.025209,-0.10066285,0.002515,0.057692,0.070513,0.883374,3.855112,-0.0592222,0.493623,0.84574,3.736908,-0.05957523,-0.001225,0.051948,0.077123,-0.265774,-1.534504,-0.09965224,0.3282,-0.276169,-1.605916,-0.10066285
ctx_rzrq_rzche10d,rzrq_flow_leverage,0.646948,580457,160,568292,0,100,-0.018042,-0.013847,0.46,60,-0.02931,-0.021006,0.416667,21,-0.033847,-0.059132,0.428571,39,-0.026867,-0.019767,0.410256,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.0268071,deep_top_bottom,0.001842,0.06338,0.084507,0.590036,2.071764,-0.20173394,0.146766,0.562805,1.993052,-0.20326486,-3.6e-05,0.051282,0.071978,-0.008957,-0.044935,-0.10078711,0.226198,-0.023829,-0.120525,-0.10170108,0.002201,0.051282,0.076923,0.740283,3.424042,-0.05522831,0.502599,0.707191,3.309508,-0.0555284,-0.00124,0.051282,0.071429,-0.268529,-1.442303,-0.10078711,0.344044,-0.277917,-1.502492,-0.10170108
ctx_rzrq_rzche10d_nonminute,rzrq_flow_leverage,0.646948,580457,160,568292,0,100,-0.018042,-0.013847,0.46,60,-0.02931,-0.021006,0.416667,21,-0.033847,-0.059132,0.428571,39,-0.026867,-0.019767,0.410256,negative,R3_CONDITIONAL_DIAGNOSTIC_AXIS,0.0268071,deep_top_bottom,0.001842,0.06338,0.084507,0.590036,2.071764,-0.20173394,0.146766,0.562805,1.993052,-0.20326486,-3.6e-05,0.051282,0.071978,-0.008957,-0.044935,-0.10078711,0.226198,-0.023829,-0.120525,-0.10170108,0.002201,0.051282,0.076923,0.740283,3.424042,-0.05522831,0.502599,0.707191,3.309508,-0.0555284,-0.00124,0.051282,0.071429,-0.268529,-1.442303,-0.10078711,0.344044,-0.277917,-1.502492,-0.10170108
