field,field_family,group,group_days,group_mean_ic,group_median_ic,group_ic_positive_rate,group_mean_spread,group_median_turnover,group_p90_turnover,group_ls_ann,group_ls_sortino,group_ls_maxdd,group_ls_top3_share,group_ls_net10_ann,group_ls_net10_sortino,group_ls_net10_maxdd
amount,daily_flow_liquidity,size_bucket:size_high,160,-0.02813,-0.012161,0.45,0.001042,0.297297,0.351351,0.300035,1.21097,-0.24272736,0.106097,0.208394,0.863196,-0.25420931
amount,daily_flow_liquidity,size_bucket:size_low,160,-0.04568,-0.033557,0.4,-0.00313,0.445946,0.502703,-0.546104,-4.524914,-0.43507705,0.128678,-0.593546,-5.110667,-0.46921522
amount,daily_flow_liquidity,size_bucket:size_mid,160,-0.064703,-0.049162,0.36875,-0.002677,0.418919,0.486486,-0.491126,-3.527275,-0.4177273,0.124303,-0.541926,-4.05738,-0.45418792
amount,daily_flow_liquidity,liquidity_bucket:liquidity_high,160,-0.008609,-0.009046,0.4875,0.002453,0.635135,0.671977,0.854034,2.951656,-0.19407773,0.105566,0.582438,2.170098,-0.21197485
amount,daily_flow_liquidity,liquidity_bucket:liquidity_low,160,0.001147,0.009787,0.5625,0.001674,0.716216,0.763158,0.524073,2.856242,-0.07618563,0.088604,0.27429,1.658905,-0.11089101
amount,daily_flow_liquidity,liquidity_bucket:liquidity_mid,160,-0.008912,-0.001921,0.4875,0.001355,1.0,1.0,0.406836,3.589295,-0.07118471,0.116343,0.095415,0.937818,-0.08607964
ctx_rzrq_rzche,rzrq_flow_leverage,size_bucket:size_high,160,-0.026662,-0.019433,0.4625,0.001489,0.342857,0.416723,0.454876,1.703658,-0.19540294,0.108232,0.332456,1.303734,-0.20994876
ctx_rzrq_rzche,rzrq_flow_leverage,size_bucket:size_low,160,-0.032454,-0.027458,0.425,-0.002069,0.333333,0.47619,-0.406699,-2.547306,-0.37324043,0.119125,-0.456713,-2.977027,-0.40504704
ctx_rzrq_rzche,rzrq_flow_leverage,size_bucket:size_mid,160,-0.052415,-0.054163,0.41875,-0.001048,0.391304,0.5,-0.232303,-1.418407,-0.33896274,0.11136,-0.3062,-1.959403,-0.35842449
ctx_rzrq_rzche,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.008586,-0.014374,0.44375,0.001327,0.5,0.567126,0.396921,1.583517,-0.20806561,0.119853,0.230763,0.97786,-0.22180895
ctx_rzrq_rzche,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.013181,0.012821,0.53125,0.00034,0.595238,0.714286,0.089312,0.700097,-0.13612879,0.112284,-0.063506,-0.538062,-0.16379228
ctx_rzrq_rzche,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.001197,0.001199,0.50625,0.00114,0.770833,0.854167,0.332573,2.673016,-0.15474496,0.091288,0.098454,0.86343,-0.17288462
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,size_bucket:size_high,160,-0.026662,-0.019433,0.4625,0.001489,0.342857,0.416723,0.454876,1.703658,-0.19540294,0.108232,0.332456,1.303734,-0.20994876
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,size_bucket:size_low,160,-0.032454,-0.027458,0.425,-0.002069,0.333333,0.47619,-0.406699,-2.547306,-0.37324043,0.119125,-0.456713,-2.977027,-0.40504704
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,size_bucket:size_mid,160,-0.052415,-0.054163,0.41875,-0.001048,0.391304,0.5,-0.232303,-1.418407,-0.33896274,0.11136,-0.3062,-1.959403,-0.35842449
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.008586,-0.014374,0.44375,0.001327,0.5,0.567126,0.396921,1.583517,-0.20806561,0.119853,0.230763,0.97786,-0.22180895
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.013181,0.012821,0.53125,0.00034,0.595238,0.714286,0.089312,0.700097,-0.13612879,0.112284,-0.063506,-0.538062,-0.16379228
ctx_rzrq_rzche_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.001197,0.001199,0.50625,0.00114,0.770833,0.854167,0.332573,2.673016,-0.15474496,0.091288,0.098454,0.86343,-0.17288462
ctx_rzrq_rzche3d,rzrq_flow_leverage,size_bucket:size_high,160,-0.025996,-0.022638,0.4625,0.001062,0.171429,0.214286,0.306713,1.189885,-0.26453477,0.113581,0.251613,0.994013,-0.27084748
ctx_rzrq_rzche3d,rzrq_flow_leverage,size_bucket:size_low,160,-0.032878,-0.030852,0.425,-0.001094,0.233333,0.310119,-0.241073,-1.404722,-0.31265848,0.115958,-0.28519,-1.703153,-0.33054096
ctx_rzrq_rzche3d,rzrq_flow_leverage,size_bucket:size_mid,160,-0.053252,-0.06048,0.39375,-0.001875,0.23913,0.295455,-0.376808,-2.222718,-0.41990358,0.113301,-0.414051,-2.509888,-0.43024952
ctx_rzrq_rzche3d,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.005992,-0.00877,0.4625,0.001636,0.419355,0.4875,0.50956,1.833796,-0.22760871,0.10508,0.356882,1.350227,-0.23938373
ctx_rzrq_rzche3d,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.01021,0.00071,0.50625,1e-05,0.452381,0.555556,0.002441,0.019705,-0.17450134,0.096991,-0.107095,-0.914133,-0.19566328
ctx_rzrq_rzche3d,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.002392,0.004489,0.51875,0.001147,0.68,0.76,0.334878,2.429012,-0.13632288,0.131402,0.129082,1.017155,-0.15266008
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,size_bucket:size_high,160,-0.025996,-0.022638,0.4625,0.001062,0.171429,0.214286,0.306713,1.189885,-0.26453477,0.113581,0.251613,0.994013,-0.27084748
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,size_bucket:size_low,160,-0.032878,-0.030852,0.425,-0.001094,0.233333,0.310119,-0.241073,-1.404722,-0.31265848,0.115958,-0.28519,-1.703153,-0.33054096
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,size_bucket:size_mid,160,-0.053252,-0.06048,0.39375,-0.001875,0.23913,0.295455,-0.376808,-2.222718,-0.41990358,0.113301,-0.414051,-2.509888,-0.43024952
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.005992,-0.00877,0.4625,0.001636,0.419355,0.4875,0.50956,1.833796,-0.22760871,0.10508,0.356882,1.350227,-0.23938373
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.01021,0.00071,0.50625,1e-05,0.452381,0.555556,0.002441,0.019705,-0.17450134,0.096991,-0.107095,-0.914133,-0.19566328
ctx_rzrq_rzche3d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.002392,0.004489,0.51875,0.001147,0.68,0.76,0.334878,2.429012,-0.13632288,0.131402,0.129082,1.017155,-0.15266008
ctx_rzrq_rzche5d,rzrq_flow_leverage,size_bucket:size_high,160,-0.02444,-0.020114,0.4625,0.001409,0.117647,0.157143,0.425937,1.600212,-0.24943038,0.116037,0.384132,1.465061,-0.25369831
ctx_rzrq_rzche5d,rzrq_flow_leverage,size_bucket:size_low,160,-0.031917,-0.02763,0.425,-0.001089,0.166667,0.234286,-0.240162,-1.344821,-0.2816872,0.110048,-0.274826,-1.55761,-0.29420381
ctx_rzrq_rzche5d,rzrq_flow_leverage,size_bucket:size_mid,160,-0.052134,-0.054459,0.39375,-0.001503,0.181818,0.25,-0.315552,-1.824986,-0.36795649,0.105408,-0.347251,-2.05146,-0.3769235
ctx_rzrq_rzche5d,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.001745,-0.012417,0.48125,0.002023,0.387097,0.451613,0.664137,2.42594,-0.22228911,0.110911,0.51095,1.954048,-0.23289695
ctx_rzrq_rzche5d,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.008155,0.001261,0.50625,-0.000244,0.404762,0.5,-0.059721,-0.499719,-0.17438471,0.091042,-0.151347,-1.328454,-0.20848763
ctx_rzrq_rzche5d,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.002649,0.00687,0.53125,0.001418,0.62,0.72,0.429193,2.883845,-0.13661806,0.118108,0.223773,1.621483,-0.15943246
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,size_bucket:size_high,160,-0.02444,-0.020114,0.4625,0.001409,0.117647,0.157143,0.425937,1.600212,-0.24943038,0.116037,0.384132,1.465061,-0.25369831
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,size_bucket:size_low,160,-0.031917,-0.02763,0.425,-0.001089,0.166667,0.234286,-0.240162,-1.344821,-0.2816872,0.110048,-0.274826,-1.55761,-0.29420381
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,size_bucket:size_mid,160,-0.052134,-0.054459,0.39375,-0.001503,0.181818,0.25,-0.315552,-1.824986,-0.36795649,0.105408,-0.347251,-2.05146,-0.3769235
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_high,160,-0.001745,-0.012417,0.48125,0.002023,0.387097,0.451613,0.664137,2.42594,-0.22228911,0.110911,0.51095,1.954048,-0.23289695
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_low,160,0.008155,0.001261,0.50625,-0.000244,0.404762,0.5,-0.059721,-0.499719,-0.17438471,0.091042,-0.151347,-1.328454,-0.20848763
ctx_rzrq_rzche5d_nonminute,rzrq_flow_leverage,liquidity_bucket:liquidity_mid,160,-0.002649,0.00687,0.53125,0.001418,0.62,0.72,0.429193,2.883845,-0.13661806,0.118108,0.223773,1.621483,-0.15943246
ctx_rzrq_rzmre10d,rzrq_flow_leverage,size_bucket:size_high,160,-0.022903,-0.012205,0.475,0.001444,0.071429,0.10521,0.438464,1.667404,-0.21493776,0.116366,0.410836,1.577799,-0.21770415
ctx_rzrq_rzmre10d,rzrq_flow_leverage,size_bucket:size_low,160,-0.029357,-0.030204,0.4375,-0.000778,0.1,0.166667,-0.178014,-0.936045,-0.30588647,0.098733,-0.202268,-1.077503,-0.31044095
ctx_rzrq_rzmre10d,rzrq_flow_leverage,size_bucket:size_mid,160,-0.0484,-0.04004,0.40625,-0.001007,0.130435,0.175494,-0.224315,-1.251668,-0.28850349,0.098655,-0.249885,-1.415553,-0.29647636
