declared_cluster_id,representative_candidate_id,representative_expression,vector_cluster_id,status,merge_group_id,vector_cluster_representative_declared_cluster_id,collides_with_declared_cluster_ids,reason,source_row_kind
cluster_001,stockpit-cem_adaptive_grammar-bf0c89033a07,"CSRank(CSResidual(CSRank(Mean($close,21)),CSRank(Mean($volume,21))))",cluster_017,vector_matchable,cluster_017,cluster_001,"cluster_001,cluster_021,cluster_062",recluster_collision_group,representative
cluster_002,phase3repair-failure_detail-operator_sanitize-40cea808a831,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",cluster_015,vector_matchable,,cluster_002,,ok,representative
cluster_003,stockpit-cem_adaptive_grammar-3293d34baffe,"Neg(CSRank(CSResidual(CSRank(Delta($amount,5)),CSRank(Delta($close,5)))))",cluster_291,vector_matchable,,cluster_003,,ok,representative
cluster_004,agnostic-freeform-25f851077a93,"CSRank(Mul(ZScore(Std($open,3)),ZScore(Mean(Abs(Delta($amount,1)),34))))",cluster_292,vector_matchable,,cluster_004,,ok,representative
cluster_006,phase3repair-failure_detail-operator_sanitize-60c2dfc8a49e,"CSRank(Sub(Mean($close,6),Mean($close,3)))",cluster_062,vector_matchable,,cluster_006,,ok,representative
cluster_007,stockpit-cem_adaptive_grammar-55222477e30e,"CSRank(Mul(ZScore(Mean($close,1)),ZScore(Mean($amount,21))))",cluster_132,vector_matchable,,cluster_007,,ok,representative
cluster_009,stockpit-cem_adaptive_grammar-8413343657eb,"CSRank(CSResidual(CSRank(Mom($final_float_market_cap,21)),CSRank(Mom($close,5))))",cluster_076,vector_matchable,,cluster_009,,ok,representative
cluster_010,fgv2-repair-add_confirmation_state-9339936017,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))",cluster_031,vector_matchable,,cluster_010,,ok,representative
cluster_011,agnostic-freeform-ae75d4bc8223,"CSRank(Mul(CSRank(Mean($amount,2)),Mul(CSRank(Delta($open,3)),ZScore(Std($high,34)))))",cluster_007,vector_matchable,cluster_007,cluster_011,"cluster_011,cluster_030",recluster_collision_group,representative
cluster_012,phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,"CSRank(Sub(Mean($close,8),Mean($close,5)))",cluster_053,vector_matchable,,cluster_012,,ok,representative
cluster_013,agnostic-freeform-bd66e1ad942d,"CSRank(Mul(CSRank($volume),Mul(ZScore($final_total_market_cap),CSRank($turnover_rate))))",cluster_293,vector_matchable,,cluster_013,,ok,representative
cluster_014,phase3repair-failure_detail-operator_sanitize-d8db426833f8,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))",cluster_050,vector_matchable,,cluster_014,,ok,representative
cluster_015,fgv2-repair-add_state_gate-55cd71a20e,"CSRank(Mul(CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),21)),ZScore(Mean(Abs($amount),2)))),ZScore(Mean(Abs(Delta($close,1)),20))))",cluster_013,vector_matchable,,cluster_015,,ok,representative
cluster_016,agnostic-freeform-d19ab9871668,"CSRank(Mul(ZScore(Mean(Abs(Delta($open,1)),21)),Mul(CSRank(Mean(Abs(Delta($high,1)),2)),Sign(Mean($open,21)))))",cluster_294,vector_matchable,,cluster_016,,ok,representative
cluster_018,agnostic-freeform-2a3d2b3f0333,"CSRank(Mul(Sign($turnover_rate),Mul(CSRank(Delta($close,34)),ZScore($low))))",cluster_001,vector_matchable,,cluster_018,,ok,representative
