declared_cluster_id,representative_candidate_id,representative_expression,vector_cluster_id,status,merge_group_id,vector_cluster_representative_declared_cluster_id,collides_with_declared_cluster_ids,reason,source_row_kind
declared_missing_001,,,,missing_representative,,declared_missing_001,,declared_count_exceeds_representative_rows,declared_missing_placeholder
declared_missing_002,,,,missing_representative,,declared_missing_002,,declared_count_exceeds_representative_rows,declared_missing_placeholder
declared_missing_003,,,,missing_representative,,declared_missing_003,,declared_count_exceeds_representative_rows,declared_missing_placeholder
declared_missing_004,,,,missing_representative,,declared_missing_004,,declared_count_exceeds_representative_rows,declared_missing_placeholder
declared_missing_005,,,,missing_representative,,declared_missing_005,,declared_count_exceeds_representative_rows,declared_missing_placeholder
