window,cluster_id,active_loss_days,cluster_available_days,cluster_negative_days,cluster_mean_return_on_loss_days,cluster_sum_book_contribution_on_loss_days,cluster_negative_book_contribution,share_of_total_loss_abs
historical_2020_2024,cluster_001,334,334,285,-0.01207535,-0.67219438,0.70463808,0.228289
historical_2020_2024,cluster_005,334,334,291,-0.01102875,-0.61393399,0.64249505,0.208156
historical_2020_2024,cluster_006,334,334,254,-0.00582602,-0.32431517,0.37896962,0.122779
historical_2020_2024,cluster_009,334,334,296,-0.01111762,-0.61888066,0.64181514,0.207936
historical_2020_2024,cluster_002,334,334,284,-0.01204009,-0.67023176,0.7180016,0.232619
historical_2020_2024,cluster_004,334,334,239,-0.00336013,-0.18704747,0.25840615,0.083719
train_2025h2,cluster_001,19,19,17,-0.01233588,-0.03906363,0.03972658,0.194772
train_2025h2,cluster_005,19,19,17,-0.01254578,-0.0397283,0.04090453,0.200547
train_2025h2,cluster_006,19,19,17,-0.00917535,-0.02905528,0.02987131,0.146453
train_2025h2,cluster_009,19,19,18,-0.01146356,-0.03630128,0.03673861,0.180122
train_2025h2,cluster_002,19,19,17,-0.01285613,-0.04071108,0.04085856,0.200322
train_2025h2,cluster_004,19,19,17,-0.00603318,-0.01910509,0.01970848,0.096627
recent_oos_2026,cluster_001,13,13,10,-0.01194915,-0.02588983,0.02717984,0.208682
recent_oos_2026,cluster_005,13,13,12,-0.01153045,-0.02498264,0.02552594,0.195984
recent_oos_2026,cluster_006,13,13,10,-0.00803872,-0.01741723,0.01877457,0.144148
recent_oos_2026,cluster_009,13,13,10,-0.01190767,-0.02579996,0.02828785,0.217189
recent_oos_2026,cluster_002,13,13,11,-0.01181847,-0.02560669,0.02640101,0.202702
recent_oos_2026,cluster_004,13,13,11,-0.00486871,-0.01054887,0.01173604,0.090107
recent_2025h2_2026,cluster_001,32,32,27,-0.01217877,-0.06495345,0.06690641,0.200193
recent_2025h2_2026,cluster_005,32,32,29,-0.0121333,-0.06471094,0.06643047,0.198769
recent_2025h2_2026,cluster_006,32,32,27,-0.0087136,-0.04647252,0.04864588,0.145555
recent_2025h2_2026,cluster_009,32,32,28,-0.01164398,-0.06210124,0.06502646,0.194568
recent_2025h2_2026,cluster_002,32,32,28,-0.01243458,-0.06631777,0.06725957,0.201249
recent_2025h2_2026,cluster_004,32,32,28,-0.00556012,-0.02965395,0.03144452,0.094086
