window,group_col,group,gate_off_days,missed_positive_days,missed_positive_sum,gate_off_total_return_sum,gate_off_mean_return,share_of_all_missed_positive_sum
historical_2020_2024,pit_regime_label,limit_density_high,578,273,2.77834801,-0.9633155,-0.00166664,0.993535
historical_2020_2024,pit_regime_label,unknown_warmup,1,1,0.01808009,0.01808009,0.01808009,0.006465
historical_2020_2024,trend_bucket,trend_low,245,132,1.24709968,-0.03650961,-0.00014902,0.445962
historical_2020_2024,trend_bucket,trend_high,192,78,0.82256538,-0.63479355,-0.00330622,0.294149
historical_2020_2024,trend_bucket,trend_mid,141,63,0.70868295,-0.29201234,-0.00207101,0.253424
historical_2020_2024,trend_bucket,trend_unknown,1,1,0.01808009,0.01808009,0.01808009,0.006465
historical_2020_2024,volatility_bucket,volatility_high,307,136,1.32231198,-0.77237028,-0.00251586,0.472857
historical_2020_2024,volatility_bucket,volatility_low,179,89,0.9331674,-0.05177632,-0.00028925,0.3337
historical_2020_2024,volatility_bucket,volatility_mid,92,48,0.52286863,-0.1391689,-0.00151271,0.186977
historical_2020_2024,volatility_bucket,volatility_unknown,1,1,0.01808009,0.01808009,0.01808009,0.006465
historical_2020_2024,liquidity_bucket,liquidity_mid,472,222,2.18757617,-0.80858307,-0.0017131,0.782275
historical_2020_2024,liquidity_bucket,liquidity_high,95,45,0.4519962,-0.21662101,-0.00228022,0.161633
historical_2020_2024,liquidity_bucket,liquidity_unknown,12,7,0.15685573,0.07996867,0.00666406,0.056091
historical_2020_2024,limit_density_bucket,limit_density_high,399,183,2.06493734,-0.95200796,-0.00238598,0.73842
historical_2020_2024,limit_density_bucket,limit_density_low,149,79,0.5906439,0.02929982,0.00019664,0.211214
historical_2020_2024,limit_density_bucket,limit_density_mid,31,12,0.14084686,-0.02252727,-0.00072669,0.050367
historical_2020_2024,breadth_bucket,breadth_low,219,108,1.06155203,-0.21181224,-0.00096718,0.37961
historical_2020_2024,breadth_bucket,breadth_high,202,89,0.86933191,-0.59204224,-0.0029309,0.310872
historical_2020_2024,breadth_bucket,breadth_mid,158,77,0.86554416,-0.14138093,-0.00089482,0.309518
train_2025h2,pit_regime_label,limit_density_high,84,47,0.55833958,0.0652641,0.00077695,1.0
train_2025h2,trend_bucket,trend_high,39,25,0.28611694,0.09706365,0.00248881,0.512443
train_2025h2,trend_bucket,trend_mid,27,12,0.16375269,-0.0065501,-0.0002426,0.293285
train_2025h2,trend_bucket,trend_low,18,10,0.10846995,-0.02524945,-0.00140275,0.194272
train_2025h2,volatility_bucket,volatility_low,31,19,0.21632371,0.11209785,0.00361606,0.387441
train_2025h2,volatility_bucket,volatility_high,23,15,0.2067352,0.09385166,0.00408051,0.370268
train_2025h2,volatility_bucket,volatility_mid,30,13,0.13528067,-0.14068541,-0.00468951,0.242291
train_2025h2,liquidity_bucket,liquidity_high,42,28,0.357138,0.16203921,0.00385808,0.639643
train_2025h2,liquidity_bucket,liquidity_mid,42,19,0.20120158,-0.09677511,-0.00230417,0.360357
train_2025h2,limit_density_bucket,limit_density_high,28,19,0.25471018,0.11111179,0.00396828,0.456192
train_2025h2,limit_density_bucket,limit_density_low,28,13,0.17422321,0.01003781,0.00035849,0.312038
train_2025h2,limit_density_bucket,limit_density_mid,28,15,0.12940619,-0.0558855,-0.00199591,0.23177
train_2025h2,breadth_bucket,breadth_low,24,21,0.22910122,0.14992233,0.00624676,0.410326
train_2025h2,breadth_bucket,breadth_mid,31,14,0.18542407,-0.05340211,-0.00172265,0.332099
train_2025h2,breadth_bucket,breadth_high,29,12,0.14381429,-0.03125612,-0.0010778,0.257575
recent_oos_2026,pit_regime_label,limit_density_high,40,17,0.22413831,-0.07127053,-0.00178176,1.0
recent_oos_2026,trend_bucket,trend_high,18,9,0.12537093,-0.01763137,-0.00097952,0.559346
recent_oos_2026,trend_bucket,trend_low,10,4,0.06243703,0.0005334,5.334e-05,0.278565
recent_oos_2026,trend_bucket,trend_mid,12,4,0.03633035,-0.05417256,-0.00451438,0.162089
recent_oos_2026,volatility_bucket,volatility_mid,17,7,0.10800645,-0.042798,-0.00251753,0.481874
recent_oos_2026,volatility_bucket,volatility_low,12,7,0.06882981,0.00489071,0.00040756,0.307086
recent_oos_2026,volatility_bucket,volatility_high,11,3,0.04730205,-0.03336324,-0.00303302,0.21104
recent_oos_2026,liquidity_bucket,liquidity_high,16,6,0.11224019,-0.01933999,-0.00120875,0.500763
recent_oos_2026,liquidity_bucket,liquidity_mid,24,11,0.11189812,-0.05193054,-0.00216377,0.499237
recent_oos_2026,limit_density_bucket,limit_density_high,34,15,0.20519302,-0.06200533,-0.00182369,0.915475
recent_oos_2026,limit_density_bucket,limit_density_low,2,1,0.01121654,-0.00036224,-0.00018112,0.050043
