window,date,book_return,worst_cluster,worst_cluster_contribution,liquidity_ratio_lag1,limit_density_lag1,trend_bucket,volatility_bucket,liquidity_bucket,limit_density_bucket,pit_regime_label
historical_2020_2024,2022-01-28,-0.0411352,cluster_001,-0.00826131,0.959806,0.025288,trend_low,volatility_high,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2020-09-03,-0.03762811,cluster_005,-0.01203732,0.913122,0.01774,trend_low,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2021-04-30,-0.03738196,cluster_005,-0.00831612,0.823109,0.020889,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2022-09-19,-0.03462139,cluster_009,-0.009296,0.877601,0.012261,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2021-04-29,-0.03274643,cluster_006,-0.0082318,0.810847,0.019695,trend_mid,volatility_low,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2023-01-20,-0.03093541,cluster_009,-0.00837826,0.86612,0.009223,trend_high,volatility_low,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2022-09-13,-0.029616,cluster_001,-0.0078251,0.888169,0.011986,trend_low,volatility_mid,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2021-04-07,-0.02878644,cluster_002,-0.00896605,0.741791,0.019806,trend_mid,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2023-06-19,-0.02875149,cluster_005,-0.00732092,0.856576,0.014967,trend_low,volatility_low,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2024-06-05,-0.02830571,cluster_005,-0.00770331,0.893756,0.012897,trend_low,volatility_mid,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2020-10-21,-0.02811221,cluster_002,-0.00869833,0.752851,0.012832,trend_mid,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2022-01-17,-0.02808084,cluster_005,-0.00633379,0.954088,0.018541,trend_low,volatility_mid,liquidity_low,limit_density_high,limit_density_high
historical_2020_2024,2022-09-29,-0.0275241,cluster_001,-0.0071513,0.831065,0.012045,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2024-01-24,-0.02636679,cluster_001,-0.00635967,0.955997,0.016367,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
historical_2020_2024,2024-07-15,-0.02632333,cluster_009,-0.01229264,0.876106,0.013776,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2021-10-28,-0.02411238,cluster_002,-0.00688379,0.830306,0.01583,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
historical_2020_2024,2022-09-28,-0.02397605,cluster_001,-0.0064552,0.829297,0.01216,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2024-01-22,-0.02381871,cluster_001,-0.005814,0.927524,0.014939,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2024-07-19,-0.02313228,cluster_002,-0.00569792,0.882523,0.016804,trend_low,volatility_high,liquidity_low,limit_density_mid,limit_density_high
historical_2020_2024,2020-11-09,-0.0228182,cluster_001,-0.0064215,0.920921,0.015298,trend_low,volatility_high,liquidity_low,limit_density_low,limit_density_high
historical_2020_2024,2021-11-29,-0.02279849,cluster_009,-0.00539404,0.911246,0.019258,trend_high,volatility_low,liquidity_low,limit_density_high,limit_density_high
