factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,3,0.2205327809,0,3
cem_interaction::rx_range_location::rx_opening_amount::spread,5,0.2184429213,0,5
rx_range_location::rank,3,0.2178656872,0,3
rx_range_location::inverted,3,0.2178656872,0,3
cem_atom::rx_range_location::rank,3,0.215048724,0,3
rx_interaction::rx_range_location::rx_opening_amount::product,4,0.2140891183,0,4
cem_atom::rx_range_location::inverted,2,0.2129089761,0,2
cem_interaction::rx_range_location::rx_opening_amount::product,1,0.2117057359,0,1
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,10,0.1970152621,0,10
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,2,0.194068437,0,2
cem_interaction::rx_range_location::rx_opening_amount::signed_state,3,0.1806470249,0,3
cem_interaction::rx_range_location::rx_volatility_state::spread,5,0.1753233905,0,5
cem_interaction::rx_range_location::rx_range_location::spread,5,0.1749935355,0,5
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1701796525,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1684131209,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::spread,2,0.1425862867,0,1
rx_intraday_return::rank,2,0.1404750905,0,1
rx_intraday_return::inverted,2,0.1404750905,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,2,0.1312842453,0,1
cem_atom::rx_intraday_return::inverted,3,0.1290603591,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::product,5,0.1221603081,0,0
cem_atom::rx_intraday_return::rank,2,0.1204469732,0,0
cem_interaction::rx_intraday_return::rx_range_location::spread,10,0.1108368508,0,9
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1024806903,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::spread,1,0.09916625729,0,0
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,2,0.09524373265,0,0
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,2,0.08294849091,0,0
rx_interaction::rx_range_location::rx_range_location::product,3,0.07235596055,1,0
cem_interaction::rx_opening_amount::rx_range_location::spread,1,0.05036107598,0,1
rx_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.04817052364,0,0
rx_interaction::rx_opening_range::rx_range_location::spread,1,0.04594210574,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,1,0.04132824717,0,1
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.04032578369,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::product,1,0.03362864882,0,0
