candidate_id,factor_lane,polarity,window,days,median_turnover,p90_turnover,mean_daily,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return,top1_day_share,top3_day_share,expression
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,train_2025h2_all,99,0.651308,0.681345,-6.004e-05,-0.015017,-0.098016,-0.139973,0.515152,-0.10873424,-0.01058488,0.055932,0.151899,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,train_2025h2_r3_on,42,0.646831,0.674175,0.0001581,0.040643,0.283745,0.370829,0.5,-0.06929596,0.00500136,0.148486,0.31015,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,train_2025h2_r3_off,57,0.654024,0.685714,-0.00022078,-0.054122,-0.33958,-0.531209,0.526316,-0.08076657,-0.01550867,0.086291,0.22086,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,oos_2026_all,60,0.620325,0.654904,-0.0007524,-0.172772,-0.761056,-1.017551,0.5,-0.1674217,-0.05124289,0.116606,0.293533,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,oos_2026_r3_on,21,0.620879,0.65293,-0.00195074,-0.388638,-1.43569,-2.272341,0.52381,-0.11485085,-0.04489245,0.239494,0.60288,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,original,oos_2026_r3_off,39,0.619771,0.654904,-0.00010714,-0.026639,-0.150787,-0.203104,0.487179,-0.09155126,-0.00664892,0.119544,0.294684,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,reversed,train_2025h2_all,99,0.658149,0.692978,7.787e-05,0.019817,0.127665,0.173092,0.515152,-0.10433169,0.0030536,0.052939,0.141363,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,reversed,train_2025h2_r3_on,42,0.651408,0.67994,-0.00106646,-0.235774,-1.612498,-2.120617,0.452381,-0.10433169,-0.04605283,0.114386,0.33715,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,reversed,train_2025h2_r3_off,57,0.65835,0.693602,0.00092107,0.261122,1.635236,2.350207,0.561404,-0.05317112,0.05147709,0.085912,0.2288,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,rzrq_size_normalized,reversed,oos_2026_all,60,0.623277,0.66345,-0.00161844,-0.335139,-1.837776,-2.690204,0.45,-0.16397248,-0.0979569,0.112139,0.275464,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))"
