factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,3,0.2205327809,0,3
rx_range_location::inverted,5,0.2178656872,0,5
rx_interaction::rx_range_location::rx_opening_amount::product,9,0.2140891183,0,9
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1701796525,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1684131209,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,12,0.150647409,0,5
rx_interaction::rx_intraday_return::rx_opening_amount::spread,4,0.1450018377,0,1
rx_intraday_return::inverted,2,0.1404750905,0,1
rx_intraday_return::rank,2,0.1404750905,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,8,0.119884452,0,1
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1024806903,1,1
rx_interaction::rx_range_location::rx_range_location::product,3,0.07235596055,1,0
rx_interaction::rx_opening_amount::rx_volatility_state::spread,3,0.0636481392,0,3
rx_interaction::rx_opening_amount::rx_volatility_state::product,4,0.05680465034,0,3
rx_interaction::rx_opening_range::rx_volatility_state::spread,1,0.04897069107,0,1
rx_range_location::rank,3,0.04775385045,0,3
rx_interaction::rx_opening_range::rx_range_location::spread,2,0.04594210574,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,4,0.04132824717,0,3
rx_interaction::rx_range_location::rx_volatility_state::product,2,0.04032578369,0,0
rx_interaction::rx_opening_range::rx_volatility_state::product,5,0.03255315226,0,3
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.03245949012,0,2
rx_interaction::rx_opening_range::rx_range_location::product,2,0.02909210724,0,1
rx_interaction::rx_opening_divergence::rx_range_location::spread,5,0.02859873496,0,2
rx_interaction::rx_opening_range::rx_flow_amount_volume::spread,2,0.02461882939,0,2
rx_interaction::rx_intraday_return::rx_volatility_state::product,3,0.02171170752,0,2
rx_interaction::rx_range_location::rx_flow_amount_volume::product,4,0.02067565801,0,4
rx_interaction::rx_opening_divergence::rx_range_location::product,2,0.01989011693,0,2
