candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,source_family,source_id,parent_expression_hash,parent_expression,field_list,note,fresh_search_intent,x0_r3_role
phase3ay_x0_minute_transfer_00001,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",ay_old_family_minute_base,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:c081e4864cfdb0298f14d532,c081e4864cfdb0298f14d532,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",$vwap,original expression on true minute clock,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00002,"Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))",ay_old_family_minute_neg,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:1b708247b8ee4b9f6623aa57,1b708247b8ee4b9f6623aa57,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",$vwap,direction check on true minute clock,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00003,"CSRank(Add(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,15),Add(Abs(Mean($final_float_market_cap,15)),0.000001)))))))",ay_old_family_capacity_add,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:7d0a2a80806607bf8855cc2d,7d0a2a80806607bf8855cc2d,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family plus AW capacity signal capflow15,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00004,"CSRank(Mul(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,15),Add(Abs(Mean($final_float_market_cap,15)),0.000001)))))))",ay_old_family_capacity_mul,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:c1ee8ee619be1349153db21f,c1ee8ee619be1349153db21f,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family interaction with AW capacity signal capflow15,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00005,"CSRank(CSResidual(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,15),Add(Abs(Mean($final_float_market_cap,15)),0.000001)))))))",ay_old_family_capacity_residual,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:1bc8812a125a473bf05ed600,1bc8812a125a473bf05ed600,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family residualized against AW capacity signal capflow15,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00006,"CSRank(Add(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,30),Add(Abs(Mean($final_float_market_cap,30)),0.000001)))))))",ay_old_family_capacity_add,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:bbea3cbbc7955f98560d0742,bbea3cbbc7955f98560d0742,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family plus AW capacity signal capflow30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00007,"CSRank(Mul(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,30),Add(Abs(Mean($final_float_market_cap,30)),0.000001)))))))",ay_old_family_capacity_mul,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:066f4821e025c25c5fc54338,066f4821e025c25c5fc54338,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family interaction with AW capacity signal capflow30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00008,"CSRank(CSResidual(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,30),Add(Abs(Mean($final_float_market_cap,30)),0.000001)))))))",ay_old_family_capacity_residual,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:61cc39c1bce9ded41a31feb0,61cc39c1bce9ded41a31feb0,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family residualized against AW capacity signal capflow30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00009,"CSRank(Add(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,60),Add(Abs(Mean($final_float_market_cap,60)),0.000001)))))))",ay_old_family_capacity_add,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:a65a387ae4f9204f027f8c3c,a65a387ae4f9204f027f8c3c,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family plus AW capacity signal capflow60,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00010,"CSRank(Mul(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,60),Add(Abs(Mean($final_float_market_cap,60)),0.000001)))))))",ay_old_family_capacity_mul,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:bd68672bfb10ba4e7d95f3e0,bd68672bfb10ba4e7d95f3e0,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family interaction with AW capacity signal capflow60,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00011,"CSRank(CSResidual(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount_yuan,60),Add(Abs(Mean($final_float_market_cap,60)),0.000001)))))))",ay_old_family_capacity_residual,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:26c7a02e36156ecb4abc9060,26c7a02e36156ecb4abc9060,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount_yuan,$final_float_market_cap,$vwap",old family residualized against AW capacity signal capflow60,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00012,"CSRank(Add(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount,30),Add(Abs(Mean($float_share,30)),0.000001)))))))",ay_old_family_capacity_add,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:fab217826883e3b784889d08,fab217826883e3b784889d08,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount,$float_share,$vwap",old family plus AW capacity signal flowshare30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00013,"CSRank(Mul(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount,30),Add(Abs(Mean($float_share,30)),0.000001)))))))",ay_old_family_capacity_mul,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:7be2c5338d5882ba8a1ee6c6,7be2c5338d5882ba8a1ee6c6,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount,$float_share,$vwap",old family interaction with AW capacity signal flowshare30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00014,"CSRank(CSResidual(ZScore(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))),ZScore(Neg(CSRank(Div(Mean($amount,30),Add(Abs(Mean($float_share,30)),0.000001)))))))",ay_old_family_capacity_residual,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:acba814bccef7cc0d09c8180,acba814bccef7cc0d09c8180,x0_official_cluster_formula,x0_cluster_001,c081e4864cfdb0298f14d532,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))","$amount,$float_share,$vwap",old family residualized against AW capacity signal flowshare30,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00015,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",ay_old_family_minute_base,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:4fd33c241a6ed3c7b6e07767,4fd33c241a6ed3c7b6e07767,x0_official_cluster_formula,x0_cluster_002,4fd33c241a6ed3c7b6e07767,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))","$amount,$open",original expression on true minute clock,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00016,"Neg(CSRank(Mul(CSRank($open),CSRank(Mean($amount,8)))))",ay_old_family_minute_neg,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:20379680b0dc610603bedac1,20379680b0dc610603bedac1,x0_official_cluster_formula,x0_cluster_002,4fd33c241a6ed3c7b6e07767,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))","$amount,$open",direction check on true minute clock,False,read_only_transfer_diagnostic
phase3ay_x0_minute_transfer_00017,"CSRank(Mul(CSRank($open),CSRank(Mean($amount_yuan,8))))",ay_old_family_amount_yuan_alias,phase3ay_x0_minute_transfer,phase3ay_x0_minute_transfer_pack_v1,phase3ay:c5965aa58b2ba1522292c590,c5965aa58b2ba1522292c590,x0_official_cluster_formula,x0_cluster_002,4fd33c241a6ed3c7b6e07767,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))","$amount_yuan,$open",amount field replaced by amount_yuan where available,False,read_only_transfer_diagnostic
