factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,3,0.2472259816,0,3
rx_range_location::inverted,5,0.2468934542,0,5
rx_interaction::rx_range_location::rx_opening_amount::product,9,0.2364114464,0,9
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,2,0.2261179673,0,2
rx_interaction::rx_range_location::rx_range_location::spread,1,0.186191055,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1849174315,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::spread,5,0.1550586573,0,2
rx_interaction::rx_intraday_return::rx_opening_amount::product,14,0.1505272187,0,11
rx_intraday_return::rank,2,0.1451235489,0,0
rx_intraday_return::inverted,2,0.1451235489,0,0
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,9,0.1427385228,0,3
rx_interaction::rx_intraday_return::rx_range_location::spread,2,0.1068942145,1,1
rx_interaction::rx_range_location::rx_range_location::product,3,0.07541193358,0,0
rx_interaction::rx_opening_amount::rx_range_location::spread,2,0.06013542501,0,2
rx_interaction::rx_opening_amount::rx_volatility_state::spread,3,0.05999608624,0,3
rx_interaction::rx_opening_amount::rx_range_location::product,3,0.05322702465,0,2
rx_interaction::rx_opening_amount::rx_volatility_state::product,9,0.05228829933,0,2
rx_range_location::rank,3,0.04990411405,0,1
rx_interaction::rx_opening_divergence::rx_range_location::spread,3,0.03518879247,0,2
rx_interaction::rx_range_location::rx_volatility_state::product,3,0.03498804373,0,1
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.03395519325,0,2
rx_interaction::rx_opening_range::rx_volatility_state::spread,3,0.03199948284,0,1
rx_interaction::rx_opening_range::rx_range_location::spread,3,0.03169702615,0,2
rx_interaction::rx_intraday_return::rx_range_location::product,4,0.02806044557,0,3
rx_interaction::rx_opening_range::rx_range_location::product,5,0.02465616891,0,3
rx_interaction::rx_opening_range::rx_volatility_state::product,5,0.02388788972,0,4
rx_interaction::rx_intraday_return::rx_volatility_state::product,2,0.02362651824,0,0
rx_interaction::rx_opening_range::rx_flow_amount_volume::spread,2,0.02229206518,0,2
rx_interaction::rx_range_location::rx_flow_amount_volume::product,2,0.01693959607,0,2
