candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note
phase3bt_00125,aaff48c7a0a91831d4d4017f,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Delta($volume,30))))",rx_interaction::rx_opening_amount::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first15_amount|volume,"['amount', 'm1_first15_amount', 'volume']",30,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:aaff48c7a0a91831d4d4017f,0.24133468,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_amount x volume_delta_30 product
phase3bt_00126,70d2a2391b7d089eaa3036a0,"CSRank(Mul(ZScore(Div($m1_first30_range,Add(Abs($open),0.000001))),ZScore(Delta($amount,10))))",rx_interaction::rx_opening_range::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first30_range|open,"['amount', 'm1_first30_range', 'open']",10,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,10,maxwin_le_15,12,complexity_le_14,phase3bp:70d2a2391b7d089eaa3036a0,0.24057311,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_range x amount_delta_10 product
phase3bt_00127,998df4fd0950ac3a7aea3f3f,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std($ret_1m,8))))",rx_interaction::rx_opening_amount::rx_volatility_state::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first15_amount|ret_1m,"['amount', 'm1_first15_amount', 'ret_1m']",8,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std,Abs:1|Add:1|CSRank:1|Div:1|Mul:1|Std:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,8,maxwin_le_15,12,complexity_le_14,phase3bp:998df4fd0950ac3a7aea3f3f,0.24011999,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_amount x ret_vol_8 product
phase3bt_00128,ba83d6b3fef13ce886b85f5f,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Delta($volume,30))))",rx_interaction::rx_opening_amount::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first30_amount|volume,"['amount', 'm1_first30_amount', 'volume']",30,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:ba83d6b3fef13ce886b85f5f,0.23952651,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_amount x volume_delta_30 product
phase3bt_00129,41532e2e56b9ab47db21e666,"CSRank(Mul(ZScore(Div($m1_first15_range,Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_opening_range::rx_range_location::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,high|low|m1_first15_range|open,"['high', 'low', 'm1_first15_range', 'open']",0,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std>Div>Sub,Abs:2|Add:2|CSRank:1|Div:2|Mul:1|Std:1|Sub:1|ZScore:2,CSRank,7,depth_le_8,12,opcount_le_12,4,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,17,complexity_le_18,phase3bp:41532e2e56b9ab47db21e666,0.23949389,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_range x range_vol_30 product
phase3bt_00130,13eef7a6c48940b0cf26177d,"CSRank(Mul(ZScore(Div($m1_first5_range,Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_opening_range::rx_range_location::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,high|low|m1_first5_range|open,"['high', 'low', 'm1_first5_range', 'open']",0,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std>Div>Sub,Abs:2|Add:2|CSRank:1|Div:2|Mul:1|Std:1|Sub:1|ZScore:2,CSRank,7,depth_le_8,12,opcount_le_12,4,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,17,complexity_le_18,phase3bp:13eef7a6c48940b0cf26177d,0.23945914,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first5_range x range_vol_30 product
phase3bt_00131,dd58bdc6d740a547334d8161,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Delta($amount,8))))",rx_interaction::rx_opening_amount::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first30_amount,"['amount', 'm1_first30_amount']",8,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,2,fieldcount_le_2,1,wincount_le_1,8,maxwin_le_15,11,complexity_le_14,phase3bp:dd58bdc6d740a547334d8161,0.23910413,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_amount x amount_delta_8 product
phase3bt_00132,98b26d78f82f0530764bbf43,"CSRank(Mul(ZScore($m1_first30_vwap_return_vs_open),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",rx_interaction::rx_opening_divergence::rx_range_location::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,high|low|m1_first30_vwap_return_vs_open|open,"['high', 'low', 'm1_first30_vwap_return_vs_open', 'open']",0,"CSRank(Mul(ZScore($F),ZScore(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>Mul>ZScore>ZScore>Std>Div>Sub>Add>Abs,Abs:1|Add:1|CSRank:1|Div:1|Mul:1|Std:1|Sub:1|ZScore:2,CSRank,7,depth_le_8,9,opcount_le_9,4,fieldcount_le_4,1,wincount_le_1,10,maxwin_le_15,14,complexity_le_14,phase3bp:98b26d78f82f0530764bbf43,0.23899016,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_vwap_open x range_vol_10 product
phase3bt_00133,c78230c8cefede99d9576611,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Delta($amount,10))))",rx_interaction::rx_opening_amount::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",10,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,2,fieldcount_le_2,1,wincount_le_1,10,maxwin_le_15,11,complexity_le_14,phase3bp:c78230c8cefede99d9576611,0.23882446,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_amount x amount_delta_10 product
phase3bt_00134,b1880759e3ba6ce1b9811841,"CSRank(Mul(ZScore(Div($m1_first30_range,Add(Abs($open),0.000001))),ZScore(Delta($volume,10))))",rx_interaction::rx_opening_range::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,m1_first30_range|open|volume,"['m1_first30_range', 'open', 'volume']",10,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,10,maxwin_le_15,12,complexity_le_14,phase3bp:b1880759e3ba6ce1b9811841,0.23843853,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_range x volume_delta_10 product
phase3bt_00135,5a734fb5ea2de7164aceacdc,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std($ret_1m,8))))",rx_interaction::rx_opening_amount::rx_volatility_state::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first30_amount|ret_1m,"['amount', 'm1_first30_amount', 'ret_1m']",8,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std,Abs:1|Add:1|CSRank:1|Div:1|Mul:1|Std:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,8,maxwin_le_15,12,complexity_le_14,phase3bp:5a734fb5ea2de7164aceacdc,0.23831182,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first30_amount x ret_vol_8 product
phase3bt_00136,2b354b6f41f1831f0209b261,"CSRank(Sub(ZScore(Div($m1_first15_range,Add(Abs($open),0.000001))),ZScore(Std($ret_1m,30))))",rx_interaction::rx_opening_range::rx_volatility_state::spread,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,m1_first15_range|open|ret_1m,"['m1_first15_range', 'open', 'ret_1m']",30,"CSRank(Sub(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std($F,N))))",CSRank>Sub>ZScore>Div>Add>Abs>ZScore>Std,Abs:1|Add:1|CSRank:1|Div:1|Std:1|Sub:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:2b354b6f41f1831f0209b261,0.23803091,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_range x ret_vol_30 spread
phase3bt_00137,36ce2707d1872bf9b6b5587d,"CSRank(Sub(ZScore(Div($m1_first5_range,Add(Abs($open),0.000001))),ZScore(Std($ret_1m,30))))",rx_interaction::rx_opening_range::rx_volatility_state::spread,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,m1_first5_range|open|ret_1m,"['m1_first5_range', 'open', 'ret_1m']",30,"CSRank(Sub(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std($F,N))))",CSRank>Sub>ZScore>Div>Add>Abs>ZScore>Std,Abs:1|Add:1|CSRank:1|Div:1|Std:1|Sub:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:36ce2707d1872bf9b6b5587d,0.23798457,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first5_range x ret_vol_30 spread
phase3bt_00138,97d813a6ec70101b27c499bc,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_opening_amount::rx_range_location::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|high|low|m1_first15_amount|open,"['amount', 'high', 'low', 'm1_first15_amount', 'open']",0,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std>Div>Sub,Abs:2|Add:2|CSRank:1|Div:2|Mul:1|Std:1|Sub:1|ZScore:2,CSRank,7,depth_le_8,12,opcount_le_12,5,fieldcount_le_6,1,wincount_le_1,30,maxwin_le_30,18,complexity_le_18,phase3bp:97d813a6ec70101b27c499bc,0.23770254,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_amount x range_vol_30 product
phase3bt_00139,03d5e917930982e88a1dda22,"CSRank(Mul(ZScore(Delta($ret_1m,30)),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",rx_interaction::rx_intraday_return::rx_opening_amount::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,m1_first5_vol|ret_1m|volume,"['m1_first5_vol', 'ret_1m', 'volume']",30,"CSRank(Mul(ZScore(Delta($F,N)),ZScore(Div($F,Add(Abs($F),N)))))",CSRank>Mul>ZScore>Delta>ZScore>Div>Add>Abs,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:03d5e917930982e88a1dda22,0.23718872,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction ret_delta_30 x m1_first5_vol product
phase3bt_00140,04b5d5252a19a6cccac08f50,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std($ret_1m,10))))",rx_interaction::rx_opening_amount::rx_volatility_state::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first15_amount|ret_1m,"['amount', 'm1_first15_amount', 'ret_1m']",10,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Std,Abs:1|Add:1|CSRank:1|Div:1|Mul:1|Std:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,10,maxwin_le_15,12,complexity_le_14,phase3bp:04b5d5252a19a6cccac08f50,0.23712807,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first15_amount x ret_vol_10 product
phase3bt_00141,f2bdf577d533ed78da2648ff,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Delta($volume,30))))",rx_interaction::rx_opening_amount::rx_flow_amount_volume::product,phase3bt_seed_ast_rx_ucb_fresh,phase3bt_seed_ast_rx_ucb_fresh,amount|m1_first5_amount|volume,"['amount', 'm1_first5_amount', 'volume']",30,"CSRank(Mul(ZScore(Div($F,Add(Abs($F),N))),ZScore(Delta($F,N))))",CSRank>Mul>ZScore>Div>Add>Abs>ZScore>Delta,Abs:1|Add:1|CSRank:1|Delta:1|Div:1|Mul:1|ZScore:2,CSRank,6,depth_le_6,8,opcount_le_9,3,fieldcount_le_4,1,wincount_le_1,30,maxwin_le_30,12,complexity_le_14,phase3bp:f2bdf577d533ed78da2648ff,0.23664216,1,read_only_research_candidate,phase3bt_seed_ast_rx_ucb_fresh: rx interaction m1_first5_amount x volume_delta_30 product
