candidate_id,z46_lane,actor_motif,event_family,event_fields,expression,passes_real_market_smoke,promoted_to_full_history_review,mean_window_rank_ic,recent_mean_rank_ic,mean_window_long_return,mean_window_long_sortino,recent_mean_sortino,mean_window_long_selected_turnover_rate,tradability_ic_excluded_row_count,pool_priority_score,source_quota_group,source_credit_cap_basis,smoke_flags
z46_event_module_051,event_module,limit_streak_event_module_rank,limit_streak,limit_up_streak_ge_8,"CSRank(Mean(Delay($limit_up_streak_ge_8,1),5))",False,False,-0.009606,-0.009606,-0.014173,2.668087,-1.324737,0.050654,8002,0.85,event_derived_feature_layer:event_module:limit_streak,event_adapter:30c22f2a3d92bb19,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_event_module_049,event_module,limit_streak_event_module_rank,limit_streak,limit_up_streak_ge_8,"CSRank(Mean(Delay($limit_up_streak_ge_8,1),3))",False,False,-0.008427,-0.008427,0.002142,2.001696,-2.347282,0.059405,8005,0.85,event_derived_feature_layer:event_module:limit_streak,event_adapter:30c22f2a3d92bb19,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_event_module_085,event_module,open_touch_break_event_module_rank,limit_break,limit_up_touch_not_close,"CSRank(Mean(Delay($limit_up_touch_not_close,1),3))",False,False,-0.022277,-0.022277,0.001011,0.605159,0.339456,0.101574,8005,0.85,event_derived_feature_layer:event_module:limit_break,event_adapter:2a2776d689825429,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_event_module_047,event_module,limit_streak_event_module_rank,limit_streak,limit_up_streak_ge_8,"CSRank(Mean(Delay($limit_up_streak_ge_8,1),2))",False,False,-0.002906,-0.002906,0.000715,0.567481,-1.151524,0.063458,8006,0.85,event_derived_feature_layer:event_module:limit_streak,event_adapter:30c22f2a3d92bb19,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_veto_intensifier_088,veto_intensifier,open_touch_break_state_decay,limit_break,limit_up_touch_not_close,"CSRank(Sub(Mean(Delay($limit_up_touch_not_close,1),2),Mean(Delay($limit_up_touch_not_close,1),8)))",False,False,-0.000179,-0.000179,0.000751,0.494501,-1.616132,0.108491,7998,0.85,event_derived_feature_layer:veto_intensifier:limit_break,event_adapter:2a2776d689825429,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|insufficient_quarterly_windows
z46_event_module_042,event_module,limit_streak_event_module_rank,limit_streak,limit_up_streak_ge_6,"CSRank(Mean(Delay($limit_up_streak_ge_6,1),5))",False,False,-0.001952,-0.001952,8.8e-05,0.347282,-1.425467,0.051885,8002,0.85,event_derived_feature_layer:event_module:limit_streak,event_adapter:0f4e1819e80f7f78,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_event_module_083,event_module,open_touch_break_event_module_rank,limit_break,limit_up_touch_not_close,"CSRank(Mean(Delay($limit_up_touch_not_close,1),2))",False,False,-0.018481,-0.018481,0.00047,0.270194,-0.148601,0.109376,8006,0.85,event_derived_feature_layer:event_module:limit_break,event_adapter:2a2776d689825429,weak_mean_rank_ic_below_0_01|non_positive_recent_mean_rank_ic|recent_positive_quarter_ratio_below_0_5|insufficient_quarterly_windows
z46_challenger_091,challenger,open_touch_break_standalone_reversal,limit_open_break,limit_down_open_not_close,"Neg(ZScore(Mean(Delay($limit_down_open_not_close,1),2)))",False,False,0.007128,0.007128,0.00121,0.243355,1.197133,0.048737,7793,0.85,event_derived_feature_layer:challenger:limit_open_break,event_adapter:d5c70062102074c7,weak_mean_rank_ic_below_0_01|insufficient_quarterly_windows
z46_challenger_082,challenger,open_touch_break_standalone_reversal,limit_break,limit_up_touch_not_close,"Neg(ZScore(Mean(Delay($limit_up_touch_not_close,1),2)))",False,False,0.018481,0.018481,0.000753,0.229044,-1.211989,0.042457,8006,0.85,event_derived_feature_layer:challenger:limit_break,event_adapter:2a2776d689825429,insufficient_quarterly_windows
z46_challenger_086,challenger,open_touch_break_standalone_reversal,limit_break,limit_up_touch_not_close,"Neg(ZScore(Mean(Delay($limit_up_touch_not_close,1),5)))",False,False,0.021367,0.021367,0.000797,0.227271,-0.13929,0.036502,8002,0.85,event_derived_feature_layer:challenger:limit_break,event_adapter:2a2776d689825429,insufficient_quarterly_windows
