trigger_id,actor_motif,event_family,field,expected_direction,role,expected_horizon,matched_control_key,present,event_count,event_date_count,active_ratio,event_mean_return,event_median_return,event_hit_rate,signed_mean_return,signed_median_return,signed_sortino,matched_control_mean,matched_control_coverage,matched_excess_mean,signed_matched_excess_mean,top1_positive_signed_share,top3_positive_signed_share,top5_positive_signed_share,tradability_entry_failure_rate,tradability_exit_failure_rate,tradability_failure_rate,median_amount,median_float_mcap,random_draws,random_mean_p50,random_mean_p95,random_mean_p99,beats_same_count_random_p95,decision
up_streak_ge2,high_board_chaser_continuation,limit_streak,limit_up_streak_ge_2,long,challenger,1d,same_date_size_liquidity,True,3157,177,0.983333,0.00619315,0.00512295,0.520431,0.00619315,0.00512295,8.398325,0.00080005,1.0,0.0053931,0.0053931,0.002927,0.007808,0.011712,0.488122,0.413367,0.611973,444634592.0,6298011251.5625,300,0.00112291,0.00199101,0.00226869,True,HOLD_TRADABILITY_FAILURE
up_streak_ge3,high_board_chaser_continuation,limit_streak,limit_up_streak_ge_3,long,challenger,1d,same_date_size_liquidity,True,1283,176,0.977778,0.00524556,0.01628664,0.542479,0.00524556,0.01628664,3.877478,0.00032266,1.0,0.0049229,0.0049229,0.004433,0.012731,0.019904,0.628215,0.535464,0.764614,341219104.0,6193766090.625,300,0.00106523,0.00248926,0.00301126,True,HOLD_TRADABILITY_FAILURE
up_streak_ge4,high_board_chaser_continuation,limit_streak,limit_up_streak_ge_4,long,event_module,1d,same_date_size_liquidity,True,641,171,0.95,0.00785957,0.03235483,0.567863,0.00785957,0.03235483,3.905257,-0.0002476,1.0,0.00810717,0.00810717,0.00822,0.016528,0.024814,0.681747,0.630265,0.823713,270710208.0,5882466865.625,300,0.0008411,0.00277759,0.00336896,True,HOLD_TRADABILITY_FAILURE
up_streak_ge5,high_board_chaser_continuation,limit_streak,limit_up_streak_ge_5,long,event_module,1d,same_date_size_liquidity,True,343,143,0.794444,0.01393321,0.04929577,0.606414,0.01393321,0.04929577,8.065315,-0.00030447,1.0,0.01423769,0.01423769,0.007346,0.022011,0.03666,0.760933,0.682216,0.883382,154882576.0,5695171353.125,300,0.00107439,0.00389322,0.00488354,True,HOLD_TRADABILITY_FAILURE
is_market_high_board,high_board_chaser_continuation,high_board,is_market_high_board,long,event_module,1d,same_date_size_liquidity,True,324,178,0.988889,0.01010227,0.02102966,0.567901,0.01010227,0.02102966,4.866584,0.0006751,1.0,0.00942716,0.00942716,0.015408,0.033218,0.05094,0.574074,0.472222,0.66358,272535952.0,5730065783.59375,300,0.00084913,0.00388827,0.00554131,True,HOLD_TRADABILITY_FAILURE
post_high_board_t1,high_board_chaser_continuation,high_board,post_market_high_board_tplus_1,long,event_module,1d,same_date_size_liquidity,True,322,167,0.927778,0.01357025,0.01887743,0.590062,0.01357025,0.01887743,7.459553,0.00338028,1.0,0.01018996,0.01018996,0.01956,0.052051,0.071409,0.47205,0.437888,0.618012,608850688.0,5771891425.78125,300,0.0008538,0.00380506,0.00468851,True,HOLD_TRADABILITY_FAILURE
post_high_board_t2,high_board_chaser_continuation,high_board,post_market_high_board_tplus_2,long,event_module,1d,same_date_size_liquidity,True,320,156,0.866667,0.00462181,0.00046083,0.5,0.00462181,0.00046083,2.657459,-0.00045302,1.0,0.00507483,0.00507483,0.015394,0.037956,0.060462,0.4375,0.378125,0.55625,609851488.0,5872935708.984375,300,0.00036912,0.00351402,0.00513775,True,HOLD_TRADABILITY_FAILURE
touch_not_close_up,intraday_touch_exhaustion,limit_break,limit_up_touch_not_close,negative_veto,veto,1d,same_date_size_liquidity,True,17938,178,0.988889,-0.0011269,-0.00637255,0.431988,0.0011269,0.00637255,3.499236,0.00019002,1.0,-0.00131691,0.00131691,0.002058,0.004835,0.006457,0.05742,0.050842,0.092708,761875648.0,6056998769.53125,300,-0.00115457,-0.00079016,-0.00065963,True,EVENT_STUDY_RESEARCH_CANDIDATE
open_not_close_up,open_board_liquidity_failure,limit_open_break,limit_up_open_not_close,negative_veto,veto,1d,same_date_size_liquidity,True,686,160,0.888889,-0.0042181,-0.00863476,0.430029,0.0042181,0.00863476,2.209119,-0.00025638,1.0,-0.00396172,0.00396172,0.011238,0.03371,0.055597,0.132653,0.100583,0.198251,1207983936.0,6056264306.25,300,-0.00191306,8.25e-06,0.00058066,True,EVENT_STUDY_RESEARCH_CANDIDATE
break_after_streak_ge2,high_board_chaser_unwind,limit_break,break_board_after_streak_ge_2,negative_veto,veto,1d,same_date_size_liquidity,True,1841,176,0.977778,-0.00701982,-0.01283547,0.411733,0.00701982,0.01283547,8.474939,0.00052066,1.0,-0.00754048,0.00754048,0.004423,0.012549,0.019034,0.265617,0.198262,0.370994,1304451200.0,6797112733.911133,300,-0.00092376,8.627e-05,0.00047682,True,EVENT_STUDY_RESEARCH_CANDIDATE
