factor_lane,audited,raw_non_gap_replay_pass,cost_survive,deployable,median_replay_sortino,median_turnover,median_strict_cost_adjusted_sortino
zls_sentiment_direct_zrank,10,0,0,0,,,
zls_event_direct,6,0,2,0,-1.9458055,1.0,-1.65102
zls_event_direct_zrank,4,0,1,0,-2.792055,1.0,-1.65102
zls_auction_money_to_offer,1,0,0,0,-1.988868,1.0,-2.437524
zls_auction_turnover_to_amount,1,0,0,0,-3.218561,1.0,-2.128122
zls_hot_rank_direct,1,0,0,0,-1.138078,0.891667,-1.571144
zls_hot_rank_inverse,1,0,0,0,-3.231769,0.9,-2.110279
zls_max_seal_to_amount,1,0,0,0,-2.689932,1.0,-4.874204
zls_open_board_rate,1,0,0,0,-1.549811,0.025577,
zls_seal_to_amount,1,0,0,0,-2.490666,1.0,-1.699677
