candidate_id,source_lane,source_generator,factor_lane,expression,portfolio_replay_pass,cost_survives,cost_turnover_deployable,strict_cost_adjusted_sortino,strict_mean_rank_ic,portfolio_replay_long_short_sortino,portfolio_replay_avg_one_way_turnover
phase3aa_event_0039_cn_zls_v1_zls_open_board_rate_00039,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_open_board_rate,"CSRank(Div($ctx_zls_zb_num_lag1,Add(Abs($ctx_zls_uplimit_num_lag1),0.000001)))",False,False,False,,,-1.549811,0.025577
phase3aa_event_0027_cn_zls_v1_zls_sentiment_direct_zrank_00027,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_lb_h_num_lag1)),False,False,False,,,,
phase3aa_event_0048_cn_zls_v1_zls_hot_rank_inverse_00048,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_hot_rank_inverse,CSRank(Neg($ctx_zls_rank_lag1)),False,False,False,-2.110279,-0.14749,-3.231769,0.9
phase3aa_event_0011_cn_zls_v1_zls_event_direct_00011,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_up_limit_keep_times_lag1),False,False,False,,,-1.513333,1.0
phase3aa_event_0009_cn_zls_v1_zls_event_direct_00009,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_fd_max_lag1),False,False,False,-8.713389,-0.425,-2.378278,1.0
phase3aa_event_0029_cn_zls_v1_zls_sentiment_direct_zrank_00029,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_uplimit_num_lag1)),False,False,False,,,,
phase3aa_event_0014_cn_zls_v1_zls_max_seal_to_amount_00014,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_max_seal_to_amount,"CSRank(Div($ctx_zls_evt_fd_max_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",False,False,False,-4.874204,-0.298214,-2.689932,1.0
phase3aa_event_0033_cn_zls_v1_zls_sentiment_direct_zrank_00033,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_lbgd_lag1)),False,False,False,,,,
phase3aa_event_0025_cn_zls_v1_zls_sentiment_direct_zrank_00025,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_lb_3_num_lag1)),False,False,False,,,,
phase3aa_event_0035_cn_zls_v1_zls_sentiment_direct_zrank_00035,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_strong_lag1)),False,False,False,,,,
phase3aa_event_0031_cn_zls_v1_zls_sentiment_direct_zrank_00031,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_zb_num_lag1)),False,False,False,,,,
phase3aa_event_0023_cn_zls_v1_zls_sentiment_direct_zrank_00023,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_downlimit_num_lag1)),False,False,False,,,,
phase3aa_event_0037_cn_zls_v1_zls_sentiment_direct_zrank_00037,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_ztjs_lag1)),False,False,False,,,,
phase3aa_event_0012_cn_zls_v1_zls_event_direct_zrank_00012,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct_zrank,CSRank(ZScore($ctx_zls_evt_up_limit_keep_times_lag1)),False,False,False,,,,
phase3aa_event_0010_cn_zls_v1_zls_event_direct_zrank_00010,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct_zrank,CSRank(ZScore($ctx_zls_evt_fd_max_lag1)),False,False,False,-8.713389,-0.425,-2.792055,1.0
phase3aa_event_0019_cn_zls_v1_zls_sentiment_direct_zrank_00019,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_lb_2_num_lag1)),False,False,False,,,,
phase3aa_event_0021_cn_zls_v1_zls_sentiment_direct_zrank_00021,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_sentiment_direct_zrank,CSRank(ZScore($ctx_zls_max_lb_num_lag1)),False,False,False,,,,
phase3aa_event_0015_cn_zls_v1_zls_auction_money_to_offer_00015,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_auction_money_to_offer,"CSRank(Div($ctx_zls_evt_auction_money_lag1,Add(Abs($ctx_zls_evt_auction_offer_lag1),0.000001)))",False,False,False,-2.437524,-0.442857,-1.988868,1.0
phase3aa_event_0047_cn_zls_v1_zls_hot_rank_direct_00047,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_hot_rank_direct,CSRank($ctx_zls_last_pct_lag1),False,False,False,-1.571144,-0.20009,-1.138078,0.891667
phase3aa_event_0005_cn_zls_v1_zls_event_direct_00005,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_auction_turnover_lag1),False,False,False,-3.796591,-0.153571,-2.638861,1.0
phase3aa_event_0013_cn_zls_v1_zls_seal_to_amount_00013,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_seal_to_amount,"CSRank(Div($ctx_zls_evt_fd_close_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",False,False,False,-1.699677,-0.133929,-2.490666,1.0
phase3aa_event_0016_cn_zls_v1_zls_auction_turnover_to_amount_00016,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_auction_turnover_to_amount,"CSRank(Div($ctx_zls_evt_auction_turnover_lag1,Add(Abs($ctx_zls_evt_amount_lag1),0.000001)))",False,False,False,-2.128122,-0.217857,-3.218561,1.0
phase3aa_event_0004_cn_zls_v1_zls_event_direct_zrank_00004,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct_zrank,CSRank(ZScore($ctx_zls_evt_auction_money_lag1)),False,False,False,-1.65102,-0.237663,-3.479158,1.0
phase3aa_event_0008_cn_zls_v1_zls_event_direct_zrank_00008,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct_zrank,CSRank(ZScore($ctx_zls_evt_fd_close_lag1)),False,True,False,0.0,0.016071,-0.741886,1.0
phase3aa_event_0001_cn_zls_v1_zls_event_direct_00001,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_amount_lag1),False,True,False,0.0,0.183929,-0.686853,1.0
phase3aa_event_0003_cn_zls_v1_zls_event_direct_00003,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_auction_money_lag1),False,False,False,-1.65102,-0.237663,-3.035893,1.0
phase3aa_event_0007_cn_zls_v1_zls_event_direct_00007,cn_zzshare_limit_sentiment_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,zls_event_direct,CSRank($ctx_zls_evt_fd_close_lag1),False,True,False,0.0,0.016071,-0.733306,1.0
