cluster_id,representative_candidate_id,representative_expression,raw_pass_count,deployable_count,source_lane,source_concentration,field_families,operator_families,median_replay_turnover,p90_replay_turnover,median_strict_turnover,p90_strict_turnover,median_cost_adjusted_sortino,max_corr_to_prior_in_phase3i,new_vs_149,new_vs_149_status
cluster_001,fgv2-repair-nonlinearize-bd95d707df,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))",1,1,formula_gen_v2_repair_expansion,1.0,flow|size_capital,CSRank|Mul|Sign|Std|ZScore,0.100297,0.100297,0.088938,0.088938,4.03849,1.0,,not_available_without_full_149_registry_mapping
cluster_003,stockpit-cem_adaptive_grammar-f09950e9b57c,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))",1,1,r0_cem_led,1.0,flow,CSRank|CSResidual|Neg|Std,0.302583,0.302583,0.294085,0.294085,4.034756,0.690804,,not_available_without_full_149_registry_mapping
cluster_004,fgv2-repair-nonlinearize-0723c50412,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",2,2,formula_gen_v2_repair_expansion,1.0,flow|price,CSRank|Mul|Sign|Std|ZScore,0.212161,0.219893,0.198656,0.209137,3.200165,1.0,,not_available_without_full_149_registry_mapping
cluster_005,stockpit-cem_adaptive_grammar-676b542e60d5,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",1,1,r0_cem_led,1.0,price|size_capital,CSRank|Mul|Std|ZScore,0.186745,0.186745,0.167845,0.167845,2.458553,0.834703,,not_available_without_full_149_registry_mapping
cluster_008,fgv2-repair-add_state_gate-424025168b,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",1,1,formula_gen_v2_repair_expansion,1.0,flow|price|size_capital,Abs|CSRank|Delta|Mean|Mul|ZScore,0.148589,0.148589,0.126863,0.126863,3.815874,0.738794,,not_available_without_full_149_registry_mapping
cluster_013,agnostic-freeform-d65a41303a90,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))",1,1,agnostic_freeform_ast,1.0,flow|price,CSRank|Mean|Mul|Std|ZScore,0.148873,0.148873,0.137139,0.137139,2.979155,0.306938,,not_available_without_full_149_registry_mapping
cluster_014,stockpit-cem_adaptive_grammar-b7428c35f0d0,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",2,2,formula_gen_v2_repair_expansion,0.5,price|size_capital,CSRank|Mean|Mul|ZScore,0.03501,0.041078,0.023327,0.030001,2.762823,0.992426,,not_available_without_full_149_registry_mapping
cluster_015,agnostic-freeform-eb136e0ae315,"CSRank(Mul(ZScore($open),Corr(Mean($vwap,5),Delay(Mean(Abs(Delta($amount,1)),5),1),8)))",1,1,agnostic_freeform_ast,1.0,flow|price,Abs|CSRank|Corr|Delay|Delta|Mean|Mul|ZScore,0.251822,0.251822,0.236793,0.236793,1.163493,0.308681,,not_available_without_full_149_registry_mapping
cluster_016,agnostic-freeform-1d4ce7648018,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",1,1,agnostic_freeform_ast,1.0,price|size_capital,CSRank|Sub|ZScore,0.061503,0.061503,0.05349,0.05349,2.737866,0.775967,,not_available_without_full_149_registry_mapping
cluster_017,agnostic-freeform-cd2b2335578f,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",2,2,agnostic_freeform_ast,0.5,flow|price,CSRank|Mean|Mul|Sign,0.104046,0.125839,0.087296,0.107519,2.267408,0.917154,,not_available_without_full_149_registry_mapping
cluster_018,fgv2-repair-add_state_gate-83cdcc1ba7,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",4,4,formula_gen_v2_repair_expansion,1.0,flow|price,Abs|CSRank|CSResidual|Delta|Mean|Mul|ZScore,0.090804,0.128412,0.076249,0.113487,3.468522,0.967167,,not_available_without_full_149_registry_mapping
cluster_027,agnostic-freeform-b7072be998d8,"CSRank(CSResidual(ZScore(Mean($vwap,3)),CSRank(Std($high,21))))",1,1,agnostic_freeform_ast,1.0,price,CSRank|CSResidual|Mean|Std|ZScore,0.08501,0.08501,0.071185,0.071185,1.119182,0.400139,,not_available_without_full_149_registry_mapping
cluster_031,fgv2-repair-add_state_gate-dbae91cd75,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1,1,formula_gen_v2_repair_expansion,1.0,price|size_capital,Abs|CSRank|CSResidual|Delta|Log|Mean|Mul|ZScore,0.103397,0.103397,0.087369,0.087369,3.286319,0.775921,,not_available_without_full_149_registry_mapping
cluster_034,agnostic-freeform-4bb97f423d04,"CSRank(Mul(Sign($final_float_market_cap),Corr(Mom($high,21),Delta($low,21),21)))",1,1,agnostic_freeform_ast,1.0,price|size_capital,CSRank|Corr|Delta|Mom|Mul|Sign,0.256782,0.256782,0.243235,0.243235,1.252367,0.175805,,not_available_without_full_149_registry_mapping
cluster_035,stockpit-cem_adaptive_grammar-41ecb6ef65e0,"CSRank(Mean($amount,34))",1,1,r0_cem_led,1.0,flow,CSRank|Mean,0.057486,0.057486,0.035276,0.035276,1.2677,0.954153,,not_available_without_full_149_registry_mapping
cluster_050,agnostic-freeform-03162998d03c,"CSRank(ZScore(Delta($open,34)))",1,1,agnostic_freeform_ast,1.0,price,CSRank|Delta|ZScore,0.17779,0.17779,0.163921,0.163921,1.13166,0.867101,,not_available_without_full_149_registry_mapping
