candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,note,fresh_search_intent,x0_r3_role
phase3az_light_broad_minute_00001,"CSRank(Sub(Mom($open,1),Mom($open,5)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:429d721bf56d214a0c22fbb6,429d721bf56d214a0c22fbb6,open momentum acceleration 1-5,True,read_only_research_candidate
phase3az_light_broad_minute_00002,"Neg(CSRank(Sub(Mom($open,1),Mom($open,5))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:0834685982823ec637db6c2b,0834685982823ec637db6c2b,open acceleration reversal 1-5,True,read_only_research_candidate
phase3az_light_broad_minute_00003,"CSRank(Sub(Mom($open,2),Mom($open,8)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:f72551b102bb84711d913845,f72551b102bb84711d913845,open momentum acceleration 2-8,True,read_only_research_candidate
phase3az_light_broad_minute_00004,"Neg(CSRank(Sub(Mom($open,2),Mom($open,8))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:758c72b5780870cc024af295,758c72b5780870cc024af295,open acceleration reversal 2-8,True,read_only_research_candidate
phase3az_light_broad_minute_00005,"CSRank(Sub(Mom($open,3),Mom($open,10)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:79ccf45ca91ab6c8df1537a9,79ccf45ca91ab6c8df1537a9,open momentum acceleration 3-10,True,read_only_research_candidate
phase3az_light_broad_minute_00006,"Neg(CSRank(Sub(Mom($open,3),Mom($open,10))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:1462040c40ed078fbc57b78f,1462040c40ed078fbc57b78f,open acceleration reversal 3-10,True,read_only_research_candidate
phase3az_light_broad_minute_00007,"CSRank(Sub(Mom($open,5),Mom($open,20)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:5090db2d221cc9ea2137ecd0,5090db2d221cc9ea2137ecd0,open momentum acceleration 5-20,True,read_only_research_candidate
phase3az_light_broad_minute_00008,"Neg(CSRank(Sub(Mom($open,5),Mom($open,20))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:1d969596a8c73956155a1318,1d969596a8c73956155a1318,open acceleration reversal 5-20,True,read_only_research_candidate
phase3az_light_broad_minute_00009,"CSRank(Sub(Mom($open,8),Mom($open,30)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:bfa29b7e3e8cd3560d2277a4,bfa29b7e3e8cd3560d2277a4,open momentum acceleration 8-30,True,read_only_research_candidate
phase3az_light_broad_minute_00010,"Neg(CSRank(Sub(Mom($open,8),Mom($open,30))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:dc22b362956f74ef38824d58,dc22b362956f74ef38824d58,open acceleration reversal 8-30,True,read_only_research_candidate
phase3az_light_broad_minute_00011,"CSRank(Sub(Mom($open,10),Mom($open,45)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:37185c354eac42d1fce276a0,37185c354eac42d1fce276a0,open momentum acceleration 10-45,True,read_only_research_candidate
phase3az_light_broad_minute_00012,"Neg(CSRank(Sub(Mom($open,10),Mom($open,45))))",az_price_acceleration_reversal,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:8b319cf7a1f4d7ebfad52600,8b319cf7a1f4d7ebfad52600,open acceleration reversal 10-45,True,read_only_research_candidate
phase3az_light_broad_minute_00013,"CSRank(Sub(Mom($open,15),Mom($open,60)))",az_price_acceleration,phase3az_light_broad_minute,phase3az_light_broad_minute_pack_v1,phase3az:f0ce67ecaae775c14d2898bb,f0ce67ecaae775c14d2898bb,open momentum acceleration 15-60,True,read_only_research_candidate
