candidate_id,horizon_min,source_lane,factor_lane,fields,expression_hash,expression,shard_coverage,row_count,mean_spread_t,std_spread_t,min_spread_t,positive_spread_t_ratio,mean_spread_mean,mean_hit_rate,mean_ic_abs,mean_ic_mean,positive_ic_ratio,mean_ic_count,stability_score,shards
phase3bf_ba_exploit_fresh_00628,30,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_high|m1_first30_low|open|vwap,cf31d1bea5776efea411040c,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))),ZScore(Neg(CSRank(Div(Std($amount,45),Add(Abs(Mean($float_share,45)),0.000001)))))))",16,16,1.9390495537474843,0.48925058728447335,0.937785143727878,1.0,0.00020460536797722252,0.5168667218543046,0.16423651643457446,0.05909750204656586,1.0,1812.0,1.4662669271011788,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_01116,30,phase3bf_pure_fresh,bf_fresh_capacity_price_resid,amount|final_total_market_cap|vwap,125c2c80fc303bb06fff90f9,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($final_total_market_cap,12)),0.000001))))),ZScore(CSRank(Mom($vwap,5)))))",16,16,2.372991319413995,0.7666124133159191,1.1421659769797632,1.0,0.00016080404936860639,0.514323467230444,0.11279554671488948,0.04694210823021553,1.0,2365.0,1.4560394306180413,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00996,30,phase3bf_pure_fresh,bf_fresh_capacity_price_resid,amount|final_float_market_cap|vwap,77cde90f73512e1ba683cdd1,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($final_float_market_cap,12)),0.000001))))),ZScore(CSRank(Mom($vwap,5)))))",16,16,2.428586118726776,0.8129869818973454,1.0318952293420174,1.0,0.0001683181517058269,0.5132663847780127,0.11630512354155643,0.047294245624674935,1.0,2365.0,1.4558547965266253,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00520,30,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_range|vwap,b7791a56f71cb7baf50511d8,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))),ZScore(Neg(CSRank($m1_first30_range)))))),ZScore(Neg(CSRank(Div(Std($amount,21),Add(Abs(Mean($float_share,21)),0.000001)))))))",16,16,2.0080103296661282,0.5561691785486986,0.84404407991708,1.0,0.00021179004469154908,0.5193156732891833,0.16353049229565253,0.05986733966100149,1.0,1812.0,1.4538852669216493,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00724,30,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_range|vwap,ad1fd3280c2c29c1eedc3b2f,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank($m1_first30_range)))))),ZScore(Neg(CSRank(Div(Std($amount,45),Add(Abs(Mean($float_share,45)),0.000001)))))))",16,16,1.9374393864594797,0.5067189810801992,0.8634548252020091,1.0,0.00020432246895351006,0.517798013245033,0.16418796154078957,0.059256030958738805,1.0,1812.0,1.4500544109502793,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_01128,30,phase3bf_pure_fresh,bf_fresh_capacity_price_resid,amount|final_total_market_cap|open|vwap,77a07d7379eb49e9219dc67f,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($final_total_market_cap,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,12),Add(Abs($open),0.000001))))))",16,16,2.361255605222946,0.7799146516784233,0.8608917062706726,1.0,0.00017077101672694262,0.5130543237250554,0.11760504151853468,0.04659280293041802,1.0,2255.0,1.444216743375323,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00992,30,phase3bf_pure_fresh,bf_fresh_capacity_price_resid,amount|final_float_market_cap|open|vwap,f93496f1fa95776f0b0576a5,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($final_float_market_cap,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,3),Add(Abs($open),0.000001))))))",16,16,2.4308353038441397,0.8346593523319387,1.0680389089777795,1.0,0.00017032745917792817,0.5168861512319456,0.11767468951846144,0.049479320825499995,1.0,2354.0,1.442626539982927,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00828,15,phase3bf_pure_fresh,bf_fresh_capacity_price_add,amount|float_share|open|vwap,9b6e9eec7a9291cd85bccac6,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,12),Add(Abs($open),0.000001))))))",16,16,1.9442743843590393,0.467912218894846,1.190434895141188,1.0,0.0001064791682284077,0.5163175975177305,0.11536541972230503,0.05129760565146529,1.0,2256.0,1.4398822125744244,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00879,1,phase3bf_pure_fresh,bf_fresh_capacity_price_add,amount|float_share|open|vwap,a24af1efc631a34876e19807,"CSRank(Add(ZScore(Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,5),Add(Abs($open),0.000001))))))",16,16,2.2925678042626463,0.6970622369377949,0.9440561963939317,1.0,3.141068334452725e-05,0.5171988855550793,0.07650565686996803,0.025387441527323543,1.0,2328.3125,1.4274094448178931,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00602,30,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_high|m1_first30_low|open|vwap,f28f7321683bca0ba5fb8c6e,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001)))))))",16,16,1.958772142735134,0.5586479588316942,0.8401753972083339,1.0,0.00021075495027564128,0.5182119205298014,0.16616009751375024,0.059971154150296926,1.0,1812.0,1.422872449803589,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00436,30,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_high|m1_first30_low|open|vwap,d351dbf53bc9842b0a263ca1,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))),ZScore(Neg(CSRank(Div(Std($amount,45),Add(Abs(Mean($float_share,45)),0.000001)))))))",16,16,1.903768857724149,0.51324030329145,0.8773704702728402,1.0,0.00020133124158326816,0.5174185982339956,0.16461898284472065,0.05898991728792861,1.0,1812.0,1.4226933637498949,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00820,1,phase3bf_pure_fresh,bf_fresh_capacity_price_add,amount|float_share|open|vwap,d837098da92afc74f709bd61,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,5),Add(Abs($open),0.000001))))))",16,16,2.318331406584538,0.7268525239193588,1.3091261420593396,1.0,3.238589548756354e-05,0.5167166738105443,0.0789725230782666,0.025343817489035587,1.0,2328.3125,1.4214909920687318,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00624,15,phase3bf_exploit,bf_exploit_ba_triple_add_capacity_add,amount|final_total_market_cap|float_share|m1_first30_high|m1_first30_low|open|vwap,e28809f326da8ad5b5c40fcf,"CSRank(Add(ZScore(CSRank(Add(Add(ZScore(CSRank(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_total_market_cap,120)),0.000001)))))))),ZScore(Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))),ZScore(Neg(CSRank(Div(Std($amount,21),Add(Abs(Mean($final_total_market_cap,21)),0.000001)))))))",16,16,1.7656871775330745,0.38434152175900427,1.0066326667449523,1.0,0.00012480980276672782,0.5066533370104799,0.1451520766934625,0.051653930999358125,1.0,1813.0,1.4206228689655283,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
phase3bf_ba_exploit_fresh_00947,30,phase3bf_pure_fresh,bf_fresh_capacity_price_add,amount|final_float_market_cap|open|vwap,88de31d70705c1aece1b8808,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($final_float_market_cap,12)),0.000001))))),ZScore(CSRank(Div(Mean($vwap,12),Add(Abs($open),0.000001))))))",16,16,2.6248568294605903,1.0097706708916188,0.8442704346363779,1.0,0.00018476545188452504,0.5193458980044346,0.11360555141223644,0.06054229769991195,1.0,2255.0,1.4196534838841008,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15
