panel_field,source_group,dataset,route,field_family,nonnull_count,nonnull_rate,unique_nonnull_count,coverage_status,coverage_reason
ctx_fulla_bs_accept_deposit_interbank,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,20572,0.02394518,110,blocked_low_core_coverage,nonnull_below_core_threshold_0.05
ctx_fulla_bs_accounts_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808787,0.94140344,16029,selector_core,core_coverage_pass
ctx_fulla_bs_accounts_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,807296,0.93966797,16004,selector_core,core_coverage_pass
ctx_fulla_bs_accrued_expense,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_advance_receivables,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,290089,0.33765476,5177,selector_core,core_coverage_pass
ctx_fulla_bs_agent_trade_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,17646,0.02053941,37,blocked_low_core_coverage,nonnull_below_core_threshold_0.05
ctx_fulla_bs_agent_underwrite_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,15964,0.01858161,3,blocked_low_core_coverage,nonnull_below_core_threshold_0.05
ctx_fulla_bs_amortize_cost_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_amortize_cost_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_amortize_cost_ncfinasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_amortize_cost_ncfinliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_appoint_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_appoint_fvtpl_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0,blocked_zero_coverage,zero_nonnull
ctx_fulla_bs_asset_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,5,selector_core,core_coverage_pass
