arm,report_path,ablation_arm,audited,deployable_clusters,deployable_per_audited,raw_non_gap_pass,raw_non_gap_pass_per_audited,unique_return_corr_clusters,top_cluster_share,top_cluster_id,dataset_path
full64_true,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\true_field\aa\phase3_repair_report.json,Phase3AA_G2_event_source_priority,64,14,0.21875,22,0.34375,20,0.090909,cluster_004,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_joined_panel_v1.parquet
paired_true_ae2,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\paired_true_ae2\aa\phase3_repair_report.json,Phase3AE_true_ae2,31,3,0.096774,5,0.16129,5,0.2,cluster_019,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\phase3ae_bounded_repair_joined_panel_with_placebo_v1.parquet
coverage_mask_placebo,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\paired_coverage_mask\aa\phase3_repair_report.json,Phase3AE_coverage_mask_placebo,31,6,0.193548,24,0.774194,14,0.125,cluster_007,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\phase3ae_bounded_repair_joined_panel_with_placebo_v1.parquet
shuffled_value_placebo,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\paired_shuffled_value\aa\phase3_repair_report.json,Phase3AE_shuffled_value_placebo,31,1,0.032258,17,0.548387,17,0.058824,cluster_008,runtime\phase3ae_bounded_repair_replay_canary_v1_20260604\phase3ae_bounded_repair_joined_panel_with_placebo_v1.parquet
