book,capacity_proxy,cluster_id,cost_adjusted_score,deployable_count,effective_signal_count,field_families,limit_hit_rate,liquidity_bucket,liquidity_eval_error,max_corr_to_registry,median_amount_20d,median_cost_adjusted_sortino,median_float_mcap,median_replay_turnover,median_strict_turnover,median_total_mcap,median_volume_20d,new_vs_149,operator_families,p90_replay_turnover,p90_strict_turnover,participation_capacity_proxy,raw_pass_count,representative_candidate_id,representative_expression,selected_date_count,selected_row_count,source_concentration,source_lane,source_lane_counts,suspension_rate,tradable_breadth
J0_fresh,59230204.139648,s47_cluster_002,2.234978,2,110.0,"[""flow"", ""price""]",0.01868,high,,0.815404,2504710809.6,2.497819,59230204139.64844,0.200469,0.179693,72176565000.0,18407918.75,,"[""CSRank"", ""Mul"", ""Sign""]",0.202809,0.192476,125235540.48,2,agnostic-freeform-661bf0512b87,"CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))",122,13383,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 2}",0.0,110.0
J0_fresh,32814617.294922,s47_cluster_003,4.30643,1,110.0,"[""price""]",0.009133,high,,0.736928,1004955465.6,4.416818,32814617294.921875,0.032797,0.01914,40040822500.0,5102095.3,,"[""CSRank"", ""Mean""]",0.032797,0.01914,50247773.28,1,stockpit-cem_adaptive_grammar-7291def7e7cd,"CSRank(Mean($close,34))",89,9745,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
J0_fresh,12613944.82666,s47_cluster_004,-0.062897,1,110.0,"[""price""]",0.014985,medium,,0.602525,602759337.6,-0.072289,12613944826.660156,0.28165,0.270339,17270400000.0,6165227.65,,"[""CSRank"", ""Mean"", ""Sub""]",0.28165,0.270339,30137966.88,1,phase3repair-failure_detail-operator_sanitize-04c5cf6d3f47,"CSRank(Sub(Mean($close,8),Mean($close,5)))",115,12613,1.0,ast_failure_aware_repair,"{""ast_failure_aware_repair"": 1}",0.0,110.0
J0_fresh,25906560.293555,s47_cluster_005,3.481296,2,110.0,"[""price""]",0.019149,high,,0.805202,1203994803.2,3.871319,25906560293.554684,0.149075,0.13444,32914137500.0,6677688.95,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",0.189713,0.176524,60199740.16,2,agnostic-freeform-22b7d5012645,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",101,11071,0.5,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1, ""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
J0_fresh,66581701.945312,s47_cluster_006,7.468191,1,110.0,"[""flow"", ""price""]",0.018473,high,,0.385674,2771479948.8,8.165586,66581701945.3125,0.151724,0.139418,79779045000.0,20522612.45,,"[""CSRank"", ""Mean"", ""Mul"", ""Sign"", ""ZScore""]",0.151724,0.139418,138573997.44,1,fgv2-repair-nonlinearize-214b37a1d2,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",115,12613,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
J0_fresh,22834461.499219,s47_cluster_008,0.356809,1,110.0,"[""flow"", ""price""]",0.051911,high,,0.271894,1172810254.4,0.422927,22834461499.21875,0.262866,0.242972,28658122500.0,14321406.538462,,"[""CSRank"", ""Mean"", ""Mom"", ""Mul"", ""ZScore""]",0.262866,0.242972,58640512.72,1,agnostic-freeform-24a5b281f6ad,"CSRank(Mul(ZScore(Mean($low,8)),Mul(CSRank(Mean($volume,3)),ZScore(Mom($open,13)))))",110,12059,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
J0_fresh,23554022.061719,s47_cluster_009,1.999706,1,110.0,"[""price"", ""size_capital""]",0.023352,medium,,0.731897,975800510.4,2.381552,23554022061.71875,0.352894,0.341962,30705632500.0,6710639.15,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",0.352894,0.341962,48790025.52,1,fgv2-repair-add_state_gate-b9357c1f09,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,34)),ZScore(Delta($final_float_market_cap,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))",88,9635,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
J0_fresh,25474608.0,s47_cluster_010,2.325293,1,110.0,"[""price"", ""size_capital""]",0.021588,high,,0.731141,1259808272.0,2.563833,25474608000.0,0.163771,0.154658,32167912500.0,7762946.0,,"[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",0.163771,0.154658,62990413.6,1,fgv2-repair-add_state_gate-3e9f3719af,"CSRank(Mul(CSRank(CSResidual(CSRank(Delta($final_float_market_cap,34)),CSRank(Delta($close,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",88,9635,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
J0_fresh,32417481.550781,s47_cluster_012,2.932785,1,110.0,"[""flow"", ""price"", ""size_capital""]",0.034479,high,,0.686416,1773272662.4,3.267732,32417481550.781254,0.157326,0.140608,39707495000.0,13382038.7,,"[""CSRank"", ""Mul"", ""Std"", ""ZScore""]",0.157326,0.140608,88663633.12,1,agnostic-freeform-760af8442693,"CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))",89,9745,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
J0_fresh,115067321.087109,s47_cluster_013,2.493115,1,110.0,"[""price"", ""size_capital""]",0.009437,high,,0.714463,2361664499.2,2.558117,115067321087.10938,0.033048,0.020744,134137515000.0,18055251.55,,"[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",0.033048,0.020744,118083224.96,1,stockpit-cem_adaptive_grammar-b7038a21e31f,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))",115,12610,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
