book,capacity_proxy_median,cluster_count,equal_book_ir_proxy,equal_cost_adjusted_return_proxy,equal_max_cluster_weight,equal_top_cluster_contribution,inverse_turnover_book_ir_proxy,inverse_turnover_cost_adjusted_return_proxy,inverse_turnover_max_cluster_weight,inverse_turnover_top_cluster_contribution,limit_suspension_loss_proxy,liquidity_adjusted_book_ir_proxy,liquidity_adjusted_cost_adjusted_return_proxy,liquidity_adjusted_max_cluster_weight,liquidity_adjusted_top_cluster_contribution,max_raw_share,median_turnover,new_vs_149_retained,new_vs_149_status,p90_turnover,retention_vs_j0,seed,source_lane_top_share
J0_fresh,26112624.53916,48,2.280562,2.280562,0.020833,0.150129,2.398728,2.398728,0.10169,0.14267,0.020174,2.290773,2.290773,0.116163,0.116259,0.067797,0.193607,,not_available_without_full_149_representative_registry,0.397096,1.0,None,0.291667
J2_fresh,32417481.550781,33,2.257039,2.257039,0.030303,0.100268,2.414669,2.414669,0.114023,0.159071,0.020934,2.285613,2.285613,0.124757,0.125214,0.073171,0.157326,,not_available_without_full_149_representative_registry,0.238545,0.6875,None,0.333333
J4_relaxed_fresh,32814617.294922,31,2.359585,2.359585,0.032258,0.102098,2.463981,2.463981,0.117215,0.160251,0.021729,2.294168,2.294168,0.125426,0.125417,0.076923,0.151724,,not_available_without_full_149_representative_registry,0.227858,0.645833,None,0.290323
