fields,expression_horizon_count,fresh_non_memory_count,best_directional_robust_score,mean_directional_robust_score,mean_direction_share,mean_abs_ic
close|volume|vwap,272,272,0.09413735425,0.01317348068,0.9655330882,0.06912535663
close|m1_first30_vwap|vwap,20,20,0.05637560609,0.01926514211,1,0.07813045992
close|m1_first30_vwap,12,12,0.05560990897,0.03437587528,1,0.08266720505
amount|close|m1_first30_vwap,104,104,0.05322367674,0.02609976584,0.9867788462,0.07294275249
close|m1_first15_vwap,12,12,0.05250328791,0.03660780482,1,0.09045597833
amount|close|m1_first15_vwap|vwap,52,52,0.05198305419,0.02456315128,0.9963942308,0.08101094484
amount|close|m1_first15_vwap|m1_first5_amount,4,4,0.05153235478,0.04953213619,1,0.09386151047
amount|close|m1_first30_vwap|m1_first5_vol,8,8,0.0514239634,0.04110308444,1,0.08860975921
close,112,112,0.05034624126,0.01499058355,0.9330357143,0.07807567896
amount|close|vwap,368,368,0.05032903826,0.01050567522,0.9604279891,0.06766878947
amount|close|m1_first15_vwap,112,112,0.05029446589,0.02108646911,0.9866071429,0.07118834607
close|m1_first5_vwap,28,28,0.0499265093,0.02685872299,0.9933035714,0.07963617872
amount|close|m1_first30_vol,76,76,0.0495702615,0.007954156308,0.9268092105,0.08104700273
close|m1_first15_vwap|volume,84,84,0.0492938596,0.01771612161,0.9821428571,0.06650235794
amount|close|m1_first5_vwap,76,76,0.04914965379,0.01932124853,0.9613486842,0.07122099976
amount|close|m1_first30_vwap|m1_first5_amount,4,4,0.04871852571,0.04374615247,1,0.09307269716
close|m1_first30_vwap|volume,124,124,0.04858568532,0.02287078072,0.9899193548,0.07109002085
amount|close,2648,2632,0.04856091291,0.007480519428,0.9451944864,0.06131588829
close|m1_first30_vwap|m1_first5_vwap|vwap,4,4,0.04813408105,0.04463025165,1,0.08837559917
close|volume,2200,2184,0.04745729077,0.00792384692,0.9464488636,0.06068950111
amount|close|m1_first5_amount,100,100,0.04720404007,0.009077376781,0.9375,0.07041372433
amount|close|m1_first15_vol,64,64,0.04640984024,0.01186107077,0.9462890625,0.07425597639
close|m1_first30_vwap|volume|vwap,32,32,0.0457006242,0.01523132542,0.92578125,0.07228973619
close|m1_first5_vwap|volume,96,96,0.04427234625,0.02340121092,0.9908854167,0.07253039935
amount|close|m1_first15_vol|m1_first15_vwap,8,8,0.04331873897,0.03639719584,1,0.09084917647
amount|close|high|low|open,104,104,0.04316956918,0.007631464029,0.9212740385,0.06287147129
amount|close|high|low|m1_first15_vwap|open,4,4,0.04284392032,0.03850748781,1,0.09246273335
amount|m1_first30_vwap|m1_first5_amount|vwap,4,4,0.04282462506,0.0359379305,1,0.08762552789
close|m1_first15_vwap|volume|vwap,48,48,0.04258473114,0.01540872654,0.9583333333,0.0741608331
amount|close|m1_first15_amount|m1_first5_vwap,4,4,0.04143300131,0.03911301951,1,0.08951498835
amount|close|volume,2304,2304,0.04075598431,0.006869500125,0.940999349,0.05882776429
amount|close|m1_first15_amount|m1_first15_vwap,4,4,0.04052709897,0.03371012223,1,0.07410198343
amount|close|m1_first30_vol|volume,32,32,0.03998031591,0.01004783226,0.958984375,0.07728055116
amount|close|m1_first15_amount,108,108,0.03989604677,0.009633857566,0.9496527778,0.06543915053
amount|close|volume|vwap,392,392,0.03970968526,0.01067121729,0.9665178571,0.06560181297
amount|close|m1_first30_vwap|open,24,24,0.03884347202,0.01718788285,0.96875,0.07512251741
amount|close|m1_first30_vwap|vwap,48,48,0.03752881079,0.02061047333,0.9895833333,0.07827066088
close|m1_first5_vwap|volume|vwap,12,12,0.0365144589,0.02165431237,0.9791666667,0.07769302629
amount|close|m1_first5_vol|volume,40,40,0.03594708925,0.01467759554,0.95625,0.07712996817
m1_first30_vwap|vwap,104,100,0.03560566921,0.02273620311,0.6923076923,0.08535824998
m1_first5_vwap|vwap,8,8,0.03522223802,0.02777797586,1,0.09119798875
amount|close|m1_first5_vwap|vwap,28,28,0.03516917413,0.01797116319,0.9754464286,0.07638250249
amount|m1_first5_vwap|vwap,88,88,0.03483203945,0.01638734708,0.9914772727,0.07100935124
amount|m1_first30_amount|m1_first5_vwap|vwap,8,8,0.03450985338,0.02346539588,1,0.0722292956
amount|close|m1_first15_vwap|m1_first30_amount,4,4,0.03431429647,0.03231827456,1,0.0838751845
m1_first15_vwap|vwap,104,100,0.03424123354,0.02104010436,0.9987980769,0.08739846862
amount|m1_first30_vwap|vwap,128,128,0.03415577655,0.01590907112,0.9868164062,0.07080499318
m1_first5_vwap|open|vwap,4,4,0.03351482965,0.02876528415,1,0.09306331749
amount|m1_first30_vwap|m1_first5_vol|vwap,4,4,0.03337577136,0.03016606133,1,0.0915337476
m1_first30_vwap|open|vwap,4,4,0.03264863514,0.02930446415,1,0.08759236905
amount|m1_first15_amount|m1_first5_vwap|vwap,4,4,0.03256652337,0.02790079415,1,0.08539819268
amount|m1_first15_vol|m1_first5_vwap|open,4,4,0.03198791498,0.02585111537,1,0.0855791245
close|m1_first5_vwap|open|volume,16,16,0.0317225477,0.01699401871,0.9765625,0.07885643712
m1_first30_vwap|volume|vwap,84,84,0.03163694939,0.01239839047,0.9680059524,0.06570878958
m1_first5_vwap|open,8,8,0.03162298283,0.02440309792,1,0.08877604234
amount|volume,4552,4552,0.03133034532,0.004410002557,0.9293991652,0.05424665962
amount|m1_first15_vwap|vwap,88,88,0.03126981858,0.01647785104,0.9957386364,0.07345251083
amount|m1_first15_vwap|m1_first30_amount|vwap,4,4,0.03115940904,0.0274723957,1,0.08537999565
amount|m1_first15_vwap|m1_first5_amount|vwap,4,4,0.03114228175,0.02812527981,1,0.08798509831
amount|vwap,1084,1084,0.0310463017,0.006772909858,0.9417089483,0.06047917475
volume|vwap,1092,1092,0.03090799025,0.006383422716,0.9437957875,0.05930177465
close|m1_first30_vwap|m1_first5_vwap|open,8,8,0.03078848441,0.02346666674,1,0.07384100586
amount|close|m1_first30_amount,132,132,0.03070847172,0.007603075979,0.9412878788,0.05977444207
m1_first15_vwap|m1_first5_vwap|open,4,4,0.0301168873,0.02534097825,1,0.08922404505
amount|m1_first5_vwap|open|vwap,28,28,0.02986382223,0.01926639773,1,0.08214303412
m1_first15_vwap|open,8,8,0.02984733023,0.0239130009,1,0.08992969872
m1_first15_vwap|volume|vwap,100,100,0.02957158732,0.01361555148,0.990625,0.06970181912
amount|m1_first15_amount|m1_first5_amount,28,28,0.02939406027,0.01067652315,0.9263392857,0.06821156122
amount|m1_first30_amount|vwap,40,40,0.02908790351,0.009224821751,0.9140625,0.06150558243
m1_first5_vwap|volume|vwap,104,104,0.02897287078,0.0151600085,0.9921875,0.07007749716
amount|m1_first30_vwap|open,64,64,0.02893594446,0.01514494314,0.9990234375,0.06565376994
amount|close|m1_first5_vwap|open,16,16,0.0288587027,0.01830804797,1,0.07786463085
amount|close|m1_first5_vol|m1_first5_vwap,4,4,0.02880419354,0.02547090131,1,0.08810998429
amount|m1_first5_vol|volume|vwap,28,28,0.02858031693,0.01099608127,0.9397321429,0.07906241132
amount|m1_first5_amount|volume|vwap,40,40,0.0284032119,0.01054203634,0.9578125,0.06945612711
amount|high|low|m1_first15_vwap|open|vwap,4,4,0.0281515355,0.02463532321,1,0.08729821312
amount|volume|vwap,1972,1972,0.02808495401,0.006171935971,0.9415251014,0.05915180718
close|m1_first15_vwap|vwap,8,8,0.02806543759,0.02087774754,1,0.08694924841
amount|m1_first30_amount|m1_first30_vol,20,20,0.02804266829,0.01189330601,0.975,0.07922817722
m1_first30_vwap|open,8,8,0.02798250722,0.02326004903,1,0.08893676696
amount|m1_first15_vwap|open,84,84,0.02796950335,0.01511733027,0.9888392857,0.07020675333
amount|m1_first15_vol|m1_first5_vol,24,24,0.02795345936,0.007100465571,0.890625,0.06627484214
m1_first15_vwap|open|volume,100,100,0.02791395524,0.01293185812,0.981875,0.06418749821
amount|m1_first30_vol|m1_first30_vwap|vwap,4,4,0.02781165631,0.02418191079,1,0.09182421697
amount|close|high|low|open|volume,44,44,0.02769269282,0.007782719076,0.9730113636,0.05914942365
m1_first30_vwap|open|volume,92,92,0.02732563279,0.01174495214,0.9769021739,0.06275129899
amount|high|low|m1_first30_vwap|open,16,16,0.02721409245,0.01188031483,0.92578125,0.07116994902
amount|m1_first30_vol,244,244,0.02711638844,0.004552382274,0.9044569672,0.06739838413
amount|m1_first15_amount|m1_first15_vwap|open,4,4,0.0269848944,0.02241157627,1,0.08262690823
close|m1_first15_vwap|open,12,12,0.02654160788,0.01636655833,1,0.07411282535
amount|m1_first30_amount,256,256,0.02636128349,0.006301067657,0.9091796875,0.05606934667
m1_first5_vwap|open|volume,72,72,0.02626739788,0.01153239427,0.9713541667,0.06340965091
amount|close|m1_first30_amount|volume,56,56,0.02624192385,0.006860496299,0.8716517857,0.06148248999
amount|m1_first5_vwap|open,76,76,0.02605375921,0.01224676848,0.9851973684,0.06472647461
m1_first30_vwap|open|volume|vwap,8,8,0.02571038427,0.0139483617,0.9921875,0.07528741015
amount|m1_first30_vwap|open|vwap,16,16,0.02564696178,0.01575953504,1,0.07495219127
amount|close|high|low|m1_first5_vwap|open,8,8,0.02559953187,0.02050457458,1,0.06637125383
amount,3948,3908,0.02551834141,0.004199876011,0.9264975937,0.05576740707
amount|m1_first15_vwap|open|vwap,16,16,0.02551709907,0.006687823216,0.91015625,0.0702223069
amount|m1_first15_amount|vwap,40,40,0.02551318235,0.01111949408,0.9578125,0.0680059086
amount|m1_first5_amount,276,276,0.025476973,0.007091929559,0.9327445652,0.0593886321
amount|close|m1_first30_amount|m1_first5_vwap,4,4,0.02536781508,0.01508961485,1,0.05682008194
amount|m1_first30_vwap|m1_first5_vol|open,4,4,0.02532277885,0.02077134756,1,0.07881139221
amount|m1_first30_amount|m1_first5_amount,12,12,0.02525856144,0.01093510974,0.9947916667,0.0650073491
amount|m1_first5_vol|vwap,48,48,0.02488763086,0.01061385227,0.9557291667,0.0791508913
m1_first5_vwap|open|volume|vwap,8,8,0.02473873252,0.01965670597,1,0.08363559083
amount|m1_first30_amount|volume,252,252,0.02468521602,0.005343142173,0.8998015873,0.05565050563
amount|m1_first15_amount,276,276,0.02464508277,0.005714322792,0.8922101449,0.05726680637
amount|close|m1_first15_vol|volume,28,28,0.02425935172,0.006989735136,0.8995535714,0.07729029642
amount|high|low|m1_first15_amount|open,12,12,0.02394096282,0.007261519908,0.8697916667,0.06159396907
amount|high|low|m1_first15_vwap|open,12,12,0.02390824681,0.01363827627,0.9791666667,0.07256443876
amount|m1_first15_vol,208,208,0.02364434758,0.00430178898,0.8969350962,0.06993783904
amount|m1_first15_amount|volume,208,208,0.02352275146,0.005517887231,0.8771033654,0.05807947643
amount|high|low|m1_first30_amount|open,16,16,0.02343347894,0.008231677553,0.921875,0.0577771107
amount|close|m1_first5_amount|volume,48,48,0.0232576505,0.01065175257,0.9674479167,0.06166647396
amount|m1_first30_vol|vwap,56,56,0.02311572778,0.008240425496,0.953125,0.08006198486
amount|m1_first5_amount|vwap,44,44,0.02290322999,0.00749716352,0.9573863636,0.06688102165
amount|high|low|m1_first5_amount|open,16,16,0.022727063,0.00681157877,0.88671875,0.05490650302
m1_first15_vwap|open|volume|vwap,4,4,0.02257927919,0.02007790223,1,0.07841589844
amount|m1_first30_vol|m1_first5_vwap|open,4,4,0.02254720538,0.018187249,1,0.092140484
amount|m1_first15_vwap|m1_first5_vol|vwap,4,4,0.0225347623,0.01815121458,1,0.09174889832
amount|m1_first30_amount|volume|vwap,36,36,0.02252731783,0.008505691341,0.9305555556,0.06573251145
amount|m1_first15_vol|m1_first15_vwap|vwap,4,4,0.02237245711,0.0196565644,1,0.07631213002
amount|m1_first30_vol|m1_first30_vwap|open,4,4,0.02224721248,0.01885122645,1,0.07776414807
amount|m1_first15_amount|volume|vwap,28,28,0.02203589029,0.006888237179,0.9017857143,0.06080209836
amount|m1_first5_amount|volume,212,212,0.02155195587,0.004493591229,0.8782429245,0.05885980843
amount|close|m1_first15_amount|volume,44,44,0.02118627958,0.005927178536,0.9119318182,0.05968863946
amount|m1_first15_amount|m1_first30_vwap|open,8,8,0.02094188894,0.01142941634,0.9375,0.07552000244
amount|m1_first5_vol,244,244,0.02090559607,0.003847334343,0.8706454918,0.07013963337
amount|m1_first5_vol|volume,176,176,0.02079034916,0.003734818471,0.8686079545,0.06640776195
amount|high|low|m1_first5_vwap|open,8,8,0.02057865983,0.009805938514,0.953125,0.06465292195
amount|close|m1_first5_vol,48,48,0.02053321425,0.006278047387,0.9075520833,0.0799785094
amount|m1_first30_vol|volume|vwap,40,40,0.02041279011,0.008763832753,0.98125,0.08703906895
close|m1_first30_vwap|open|volume,24,24,0.01977226745,0.00817590974,0.9140625,0.0639869004
close|m1_first15_vwap|m1_first30_vwap|open,4,4,0.01972942579,0.01347491839,0.984375,0.0846310327
amount|m1_first15_vol|m1_first30_amount,16,16,0.01934536604,0.007281952442,0.98046875,0.06825069584
amount|m1_first30_vol|volume,236,236,0.01880832157,0.004883399045,0.907309322,0.07017017391
close|m1_first5_vwap|vwap,4,4,0.01862078172,0.01438626264,1,0.0632357608
amount|high|low|m1_first5_vwap|open|vwap,8,8,0.01860433091,0.01191042803,1,0.0681621474
volume,4012,3964,0.01854147867,0.003715924469,0.9190241775,0.05406412128
amount|m1_first5_vol|m1_first5_vwap|open,4,4,0.01845610886,0.01568809287,1,0.0767655485
amount|m1_first15_vol|volume,224,224,0.01842120994,0.004337248661,0.9009486607,0.06625321126
amount|m1_first15_amount|m1_first30_vwap|vwap,4,4,0.01821482256,0.01561012299,1,0.08346142802
amount|m1_first15_amount|m1_first15_vwap|vwap,4,4,0.01816153799,0.01574629867,1,0.07403704961
amount|close|m1_first15_vwap|open,12,12,0.01794377813,0.00881199867,0.9791666667,0.06601300354
amount|close|m1_first15_vol|m1_first5_vwap,8,8,0.01723346157,0.009912004483,0.9453125,0.06648359808
amount|high|low|open|vwap,52,52,0.01701368387,0.006244809262,0.890625,0.05946893674
amount|m1_first15_vol|vwap,28,28,0.01625793249,0.006622126327,0.8928571429,0.08150802934
amount|m1_first15_vol|m1_first5_vwap|vwap,4,4,0.01618791996,0.0128703571,1,0.0644303822
amount|m1_first15_amount|m1_first5_vwap|open,4,4,0.01590278815,0.01212232249,1,0.06001876055
amount|m1_first15_vol|m1_first30_vol,8,8,0.01587412086,0.01078381808,1,0.08625384418
amount|m1_first30_amount|m1_first30_vwap|vwap,4,4,0.01564296927,0.0143555316,1,0.07215829954
amount|m1_first15_vol|volume|vwap,36,36,0.01547914352,0.004079694671,0.8576388889,0.07700240949
amount|high|low|open,344,344,0.0147176943,0.003592966425,0.8960755814,0.05467061337
amount|m1_first15_amount|m1_first30_amount,4,4,0.01410853622,0.009080297732,1,0.05454387618
amount|high|low|open|volume,296,296,0.01373356296,0.003934369178,0.9056165541,0.05379846206
amount|high|low|open|volume|vwap,28,28,0.01289006602,0.005760506316,0.9330357143,0.05913536721
close|m1_first15_vwap|m1_first30_vwap|vwap,4,4,0.01274002195,0.009012182793,0.9375,0.07986279937
amount|m1_first30_amount|m1_first5_vol,4,4,0.01172598972,0.006561192902,1,0.0599511919
amount|m1_first5_amount|m1_first5_vol,12,12,0.01144108583,0.004854990711,0.9114583333,0.07363343318
amount|high|low|m1_first30_vol|open,8,8,0.01131103542,0.00694865831,0.9921875,0.07127320932
amount|m1_first30_vol|m1_first5_vol,8,8,0.01080169301,0.006860644979,0.9921875,0.07341048478
amount|m1_first15_vol|m1_first5_amount,8,8,0.01055146574,0.003940815299,0.875,0.06416452799
amount|m1_first5_amount|m1_first5_vwap|vwap,4,4,0.009247790555,0.006974691307,1,0.0711757677
amount|m1_first15_amount|m1_first15_vol,16,16,0.006907465716,0.00384047018,0.9296875,0.08426429906
close|m1_first15_vwap|open|volume,8,8,0.006595318246,0.00254865779,0.8671875,0.05852357375
amount|m1_first15_amount|m1_first5_vol,4,4,0.005953806748,0.003872908592,0.921875,0.08914820032
