phase3bj_rank_unique_expression,phase3bk_reason,expression_hash,candidate_ids,horizon_min,shard_count,row_count,memory_hit_any,fresh_eligible_any,factor_lane,fields,directional_robust_score,ic_mean_median,ic_direction_share,spread_mean_mean,spread_direction_share,expression
1,fresh_non_memory_directional_consistent_phase3bj_surrogate,579b91fa7699467e04d671e3,phase3bj_large_1min_013168,1,16,16,False,True,pure_fresh_cross,close|volume|vwap,0.09413735425,-0.09413735425,1,-0.0003102126913,1,"CSRank(Sub(ZScore(Sub(ZScore(Delta($volume,15)),ZScore(Delta($vwap,15)))),ZScore(Sub(ZScore(Delta($volume,15)),ZScore(Delta($close,15))))))"
2,fresh_non_memory_directional_consistent_phase3bj_surrogate,3885a1e358e7b5d27ec6ee39,phase3bj_large_1min_006453,1,16,16,False,True,pure_fresh_cross,close|volume|vwap,0.06182046397,0.06182046397,1,0.0002799543106,1,"CSRank(Div(ZScore(Sub(ZScore(Delta($volume,10)),ZScore(Delta($close,10)))),Add(Abs(ZScore(Sub(ZScore(Delta($volume,10)),ZScore(Delta($vwap,10))))),0.000001)))"
3,fresh_non_memory_directional_consistent_phase3bj_surrogate,b68c515d47ec76c97d51f2db,phase3bj_large_1min_009813,30,16,16,False,True,pure_fresh_cross,close|m1_first30_vwap|vwap,0.05637560609,-0.05637560609,1,-0.0001628664264,1,"CSRank(Sub(ZScore(Div(Std($close,20),Add(Abs(Mean($close,20)),0.000001))),ZScore(Div(Sub($m1_first30_vwap,$vwap),Add(Abs($vwap),0.000001)))))"
4,fresh_non_memory_directional_consistent_phase3bj_surrogate,c32780d6a803e8a4944e7918,phase3bj_large_1min_001478,5,16,16,False,True,opening_vwap_residual,close|m1_first30_vwap,0.05560990897,0.05560990897,1,0.0002167517485,1,"CSRank(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))"
5,fresh_non_memory_directional_consistent_phase3bj_surrogate,24d600ec6ff7de63e1dfdb1e,phase3bj_large_1min_009371,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap,0.05322367674,0.05322367674,1,0.0002165799493,1,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Delta($amount,5),Add(Abs(Add(Std($close,5),0.000001)),0.000001)))),0.000001)))"
6,fresh_non_memory_directional_consistent_phase3bj_surrogate,419f7392d16e13d68d9a98b4,phase3bj_large_1min_001473,5,16,16,False,True,opening_vwap_residual,close|m1_first15_vwap,0.05250328791,0.05250328791,1,0.0002100421764,1,"CSRank(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001)))"
7,fresh_non_memory_directional_consistent_phase3bj_surrogate,bee893fb4b4ca06592f59e3d,phase3bj_large_1min_010202,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.05198305419,0.05198305419,1,0.0002096103315,1,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($amount,2)),Neg(ZScore(Delta($vwap,2)))))))"
8,fresh_non_memory_directional_consistent_phase3bj_surrogate,43b1dd73cd3e8139f9fd5418,phase3bj_large_1min_009747,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap|vwap,0.05191256911,0.05191256911,1,0.0002196470589,1,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($amount,10)),Neg(ZScore(Delta($vwap,10)))))))"
9,fresh_non_memory_directional_consistent_phase3bj_surrogate,5f4ce07dfb8fe165948c9846,phase3bj_large_1min_011116,30,16,16,False,True,pure_fresh_cross,amount|close|m1_first15_vwap|m1_first5_amount,0.05153235478,-0.05153235478,1,-0.0002738136828,1,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,30)),0.000001))),ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001)))))"
10,fresh_non_memory_directional_consistent_phase3bj_surrogate,43774a6954f66bee2f7a1dd9,phase3bj_large_1min_010985,5,16,16,False,True,pure_fresh_cross,amount|close|m1_first30_vwap|m1_first5_vol,0.0514239634,0.0514239634,1,0.0001663613501,1,"CSRank(Div(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore($m1_first5_vol),ZScore(Mean($amount,30))))),0.000001)))"
