book,cluster_id,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,exact_expression_match_149,field_families,operator_families,source_lane,capacity_proxy,cost_adjusted_score,p90_replay_turnover,representative_candidate_id,representative_expression
J0_fresh,s51_cluster_001,True,,0.0,False,"[""flow"", ""price""]","[""CSRank"", ""Mean"", ""Mul""]",agnostic_freeform_ast,61038750.60332,2.207932,0.195914,agnostic-freeform-49bee246ffba,"CSRank(Mul(CSRank($amount),CSRank(Mean($close,13))))"
J0_fresh,s51_cluster_002,True,,0.761965,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",formula_gen_v2_repair_expansion,41240100.479346,4.157599,0.113772,fgv2-repair-add_state_gate-3e256047af,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s51_cluster_003,False,signal_collision_ge_0p80,0.991028,False,"[""price"", ""size_capital""]","[""CSRank"", ""CSResidual"", ""Mean"", ""Mom"", ""ZScore""]",agnostic_freeform_ast,24339801.149414,3.493812,0.259911,agnostic-freeform-38c48943ef92,"CSRank(CSResidual(CSRank(Mean($vwap,2)),ZScore(Mom($final_total_market_cap,5))))"
J0_fresh,s51_cluster_005,False,signal_collision_ge_0p80,1.0,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",r0_cem_led,114899314.978125,2.732301,0.036741,stockpit-cem_adaptive_grammar-025c250db93d,"CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),8)),ZScore(Mean(Abs($close),2))))"
J0_fresh,s51_cluster_006,True,,0.493024,False,"[""price"", ""size_capital""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",agnostic_freeform_ast,66178692.158203,0.803214,0.120017,agnostic-freeform-edb3be151ae4,"CSRank(Mul(ZScore(Std($open,34)),Mul(CSRank(Mean(Abs(Delta($low,1)),3)),ZScore(Std($final_float_market_cap,13)))))"
J0_fresh,s51_cluster_007,True,,0.626785,False,"[""price""]","[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""Neg"", ""ZScore""]",formula_gen_v2_repair_expansion,25480245.859375,3.080926,0.098279,fgv2-repair-add_state_gate-7a09229418,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))"
J0_fresh,s51_cluster_009,True,,0.754103,False,"[""price""]","[""CSRank"", ""Corr"", ""Mean"", ""Mom"", ""Mul""]",agnostic_freeform_ast,15284692.164941,1.79795,0.198281,agnostic-freeform-225fee8cd870,"CSRank(Mul(CSRank(Mean($high,2)),Corr(Mom($close,13),$vwap,21)))"
J0_fresh,s51_cluster_011,True,,0.414166,False,"[""price"", ""size_capital""]","[""CSRank"", ""Delta"", ""Mean"", ""Mul""]",agnostic_freeform_ast,67648509.121875,1.065551,0.144215,agnostic-freeform-e930e660c0c5,"CSRank(Mul(CSRank(Mean($final_total_market_cap,8)),CSRank(Delta($low,34))))"
J0_fresh,s51_cluster_013,False,exact_expression_match,0.100974,True,"[""price"", ""size_capital""]","[""CSRank"", ""Delta"", ""Mul"", ""Neg"", ""ZScore""]",r0_cem_led,39057434.386133,-0.246672,0.381979,stockpit-cem_adaptive_grammar-08eefe9806ba,"Neg(CSRank(Mul(ZScore(Delta($final_float_market_cap,5)),ZScore(Delta($close,21)))))"
J0_fresh,s51_cluster_016,False,exact_expression_match,0.734844,True,"[""price""]","[""CSRank"", ""Delta""]",r0_cem_led,20121176.026807,0.670743,0.179438,stockpit-cem_adaptive_grammar-75bd5b22d1ce,"CSRank(Delta($close,34))"
