"shard","ledger","pre","full","eval","smoke_pass","promoted","top_sortino"
"supervisor-shard_00_of_24","0","128","4312","0","0","0",
"supervisor-shard_01_of_24","0","128","4312","0","0","0",
"supervisor-shard_02_of_24","0","128","4312","0","0","0",
"supervisor-shard_03_of_24","0","128","4312","0","0","0",
"supervisor-shard_04_of_24","0","128","4312","0","0","0",
"supervisor-shard_05_of_24","1","128","4312","1","0","0","0.069637"
"supervisor-shard_06_of_24","3","128","4312","3","0","0","-0.039727"
"supervisor-shard_07_of_24","3","128","4312","3","0","0","-0.088542"
"supervisor-shard_08_of_24","19","128","4312","19","0","0","4.202244"
"supervisor-shard_09_of_24","46","128","4312","46","0","0","4.48599"
"supervisor-shard_10_of_24","49","128","4312","48","0","0","4.976787"
"supervisor-shard_11_of_24","3","128","4312","3","0","0","0.418203"
"supervisor-shard_12_of_24","3","128","4312","3","0","0","0.105375"
"supervisor-shard_13_of_24","3","128","4312","3","0","0","0.006555"
"supervisor-shard_14_of_24","3","128","4312","3","0","0","-0.284037"
"supervisor-shard_15_of_24","5","128","4312","5","0","0","0.136004"
"supervisor-shard_16_of_24","4","128","4312","4","0","0","-0.261239"
"supervisor-shard_17_of_24","44","128","4312","44","0","0","4.352675"
"supervisor-shard_18_of_24","54","128","4312","48","0","0","3.847851"
"supervisor-shard_19_of_24","18","128","4312","18","0","0","2.967437"
"supervisor-shard_20_of_24","3","128","4312","3","0","0","0.52197"
"supervisor-shard_21_of_24","36","128","4312","36","0","0","3.905926"
"supervisor-shard_22_of_24","42","128","4312","42","0","0","3.607348"
"supervisor-shard_23_of_24","42","128","4312","42","0","0","3.820594"
