"shard","candidate_id","expression","family","sortino","ret","rank_ic","amount","turnover","float_mcap_b","passes_smoke","promoted","expr"
"supervisor-shard_10_of_24","stockpit-ff-b397a210add8","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),78)))))","rx_beam_open_gap_x_vol_curve","4.976787","0.001179","0.028108","973802559.861933","0.062254","24.154104","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),78)))))"
"supervisor-shard_09_of_24","stockpit-ff-f4d1a214b5f5","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),70)))))","rx_beam_open_gap_x_vol_curve","4.48599","0.001054","0.031147","955111687.555343","0.061846","22.986972","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),70)))))"
"supervisor-shard_10_of_24","stockpit-ff-20b74ad6a419","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),84)))))","rx_beam_open_gap_x_vol_curve","4.443965","0.000547","0.025403","975458474.761865","0.062522","24.176453","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),84)))))"
"supervisor-shard_17_of_24","stockpit-ff-af5e520ef6cc","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),50)))))","rx_beam_open_gap_x_vol_curve","4.352675","0.000986","0.022845","1013739913.732","0.067208","21.516889","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),50)))))"
"supervisor-shard_10_of_24","stockpit-ff-d024bd2b7791","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),74)))))","rx_beam_open_gap_x_vol_curve","4.305927","0.000316","0.031173","976214014.1375","0.062085","23.882768","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),74)))))"
"supervisor-shard_08_of_24","stockpit-ff-93f233310a8b","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),50)))))","rx_beam_open_gap_x_vol_curve","4.202244","0.00116","0.023051","1013325988.87848","0.0651","22.478519","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),50)))))"
"supervisor-shard_21_of_24","stockpit-ff-8cced002d126","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),22)))))","rx_beam_open_gap_x_vol_curve","3.905926","0.000998","0.02362","1029540317.17843","0.068195","21.921896","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),22)))))"
"supervisor-shard_09_of_24","stockpit-ff-59c739c7d09f","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),63)))))","rx_beam_open_gap_x_vol_curve","3.893695","0.001048","0.02591","975255423.923079","0.063431","21.975363","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),63)))))"
"supervisor-shard_18_of_24","stockpit-ff-a75e4acda04e","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),70)))))","rx_beam_open_gap_x_vol_curve","3.847851","0.000733","0.031345","973544831.542059","0.06347","22.984055","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),70)))))"
"supervisor-shard_23_of_24","stockpit-ff-6b279d437d2c","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),33)))))","rx_beam_open_gap_x_vol_curve","3.820594","0.001457","0.023456","1029100129.54884","0.069071","20.654712","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),3),Mean(Abs($ret),33)))))"
