pack,candidate_id,status,field_count,fields,blockers,expression
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0001,direct_1min,1,volume,,"CSRank(Div(Mean($volume,2),Add(Abs(Mean($volume,10)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0002,direct_1min,1,volume,,"CSRank(Sub(ZScore(Mean($volume,2)),ZScore(Mean($volume,10))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0003,direct_1min,1,volume,,"CSRank(Div(Mean($volume,3),Add(Abs(Mean($volume,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0004,direct_1min,1,volume,,"CSRank(Sub(ZScore(Mean($volume,3)),ZScore(Mean($volume,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0005,direct_1min,1,volume,,"CSRank(Div(Mean($volume,5),Add(Abs(Mean($volume,20)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0006,direct_1min,1,volume,,"CSRank(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,20))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0007,direct_1min,1,volume,,"CSRank(Div(Mean($volume,10),Add(Abs(Mean($volume,60)),0.000001)))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_relative_activity_0008,direct_1min,1,volume,,"CSRank(Sub(ZScore(Mean($volume,10)),ZScore(Mean($volume,60))))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0009,direct_1min,1,volume,,"CSRank(Delta($volume,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0010,direct_1min,1,volume,,"CSRank(Std($volume,3))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0011,direct_1min,1,volume,,"CSRank(Delta($volume,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0012,direct_1min,1,volume,,"CSRank(Std($volume,5))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_impulse_0013,direct_1min,1,volume,,"CSRank(Delta($volume,10))"
cn_flow_liquidity_factor_candidate_pack_v1_20260601_phase3am_sanitized_v1_20260609.json,cn_flow_liq_v1_flow_volatility_0014,direct_1min,1,volume,,"CSRank(Std($volume,10))"
