"shard","candidate_id","expression","family","sortino","ret","rank_ic","amount","turnover","float_mcap_b","passes_smoke","promoted","expr"
"supervisor-shard_02_of_08","stockpit-ff-36ac3e53c368","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),27)))))","rx_beam_open_gap_x_vol_curve","4.603697","0.00123","0.023955","1024635875.15297","0.06599","22.409819","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),27)))))"
"supervisor-shard_04_of_08","stockpit-ff-81c498b14985","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),5)))))","rx_beam_open_gap_x_vol_curve","4.495945","0.001441","0.023603","1015129637.61095","0.066532","21.292201","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),5)))))"
"supervisor-shard_04_of_08","stockpit-ff-94214b4dea4d","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),10)))))","rx_beam_open_gap_x_vol_curve","4.26686","0.001185","0.024021","1005093434.16829","0.065877","21.661732","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),10)))))"
"supervisor-shard_04_of_08","stockpit-ff-05312ae2b9ba","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),9)))))","rx_beam_open_gap_x_vol_curve","4.019629","0.001065","0.023775","994322317.314626","0.065797","21.427162","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),9)))))"
"supervisor-shard_04_of_08","stockpit-ff-6d0e3f4426ca","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),15)))))","rx_beam_open_gap_x_vol_curve","3.954051","0.001197","0.023448","1017276776.37779","0.066694","21.578798","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),15)))))"
"supervisor-shard_04_of_08","stockpit-ff-0595ce0d4044","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),12)))))","rx_beam_open_gap_x_vol_curve","3.894363","0.001331","0.023785","1016382161.03416","0.066349","21.696531","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),12)))))"
"supervisor-shard_04_of_08","stockpit-ff-d20ed31f8f03","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),13)))))","rx_beam_open_gap_x_vol_curve","3.869958","0.001254","0.023716","1018453119.04299","0.066506","21.820547","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),13)))))"
"supervisor-shard_04_of_08","stockpit-ff-670cec10f54c","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),14)))))","rx_beam_open_gap_x_vol_curve","3.822152","0.001194","0.023464","1009076485.995","0.066552","21.755142","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),14)))))"
"supervisor-shard_03_of_08","stockpit-ff-6524f8bb8bf6","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),47)))))","rx_beam_open_gap_x_vol_curve","3.803791","0.000898","0.024726","1022077812.86547","0.065468","22.392896","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),1),Mean(Abs($ret),47)))))"
"supervisor-shard_04_of_08","stockpit-ff-40b6c9415878","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),16)))))","rx_beam_open_gap_x_vol_curve","3.717693","0.001003","0.023398","1013178389.065","0.066759","21.404601","False","False","CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Div(Mean(Abs($ret),2),Mean(Abs($ret),16)))))"
