"shard","ledger","pre","full","eval","smoke_pass","promoted","top_sortino"
"supervisor-shard_00_of_08","71","256","1783","64","0","0","1.076005"
"supervisor-shard_01_of_08","80","256","1783","64","0","0","1.548854"
"supervisor-shard_02_of_08","125","256","1783","64","0","0","4.603697"
"supervisor-shard_03_of_08","175","256","1783","64","0","0","3.803791"
"supervisor-shard_04_of_08","217","256","1783","76","0","0","4.495945"
"supervisor-shard_05_of_08","163","256","1783","64","0","0","3.168865"
"supervisor-shard_06_of_08","95","247","1783","64","0","0","2.063463"
"supervisor-shard_07_of_08","0","0","1783","0","0","0",
