date,universe_count,market_mean_daily_ret,market_median_daily_ret,limit_up_rate,limit_down_rate,median_amount,total_amount,mkt_uplimit_count_at_0930,mkt_uplimit_count_at_1000,mkt_uplimit_count_at_1130,mkt_open_board_count_at_0930,mkt_open_board_count_at_1000,mkt_open_board_count_at_1130,mkt_nums_DT_at_0930,mkt_nums_DT_at_1000,mkt_nums_DT_at_1130,coverage_active_symbol_count,coverage_field_activation_count,same_count_active_symbol_count,same_count_field_activation_count,matched_active_symbol_count,matched_field_activation_count
2025-08-06,6209,0.0,0.0,0,0,160382576.0,58610843382982.0,0,0,0,0,0,0,0,0,0,5136,26774.0,6203,26774.0,3944,13285.0
2025-08-07,6208,0.0004984569165154761,-0.002118230518424302,0,0,167145440.0,63688400640611.0,0,0,0,0,0,0,0,0,0,5135,26804.0,6203,26804.0,3953,13297.0
2025-08-08,6210,-0.0009784258991921645,-0.0017949937022380125,0,0,158306352.0,57801334679883.0,0,0,0,0,0,0,0,0,0,5136,26802.0,6209,26802.0,3961,13249.0
2025-08-11,6212,0.013441286105699293,0.009599999999999831,0,0,175638648.0,64238169003166.0,0,0,0,0,0,0,0,0,0,5136,26855.0,6209,26855.0,3986,13293.0
2025-08-12,6215,-3.980372013054608e-05,-0.002256081112033015,0,0,165297984.0,66706429935830.0,0,0,0,0,0,0,0,0,0,5138,26850.0,6205,26850.0,3951,13278.0
2025-08-13,6211,0.006572771963338575,0.001172103926548207,0,0,181476704.0,79293508876372.0,0,0,0,0,0,0,0,0,0,5134,26862.0,6203,26862.0,3955,13261.0
2025-08-14,6212,-0.017262829333266092,-0.01950162513542797,0,0,194664568.0,82921919449281.5,0,0,0,0,0,0,0,0,0,5134,26848.0,6203,26848.0,3942,13308.0
2025-08-15,6211,0.018361704969253812,0.01325757575757569,0,0,177081600.0,85192084653963.0,0,0,0,0,0,0,0,0,0,5134,26904.0,6207,26904.0,3969,13310.0
2025-08-18,6209,0.01795860333355834,0.010526315789473717,0,0,243365264.0,105753586256829.0,0,0,0,0,0,0,0,0,0,5135,26966.0,6197,26966.0,3975,13296.0
2025-08-19,6212,0.005049521036801505,0.0013966480446927498,0,0,228412096.0,95285658240988.5,0,0,0,0,0,0,0,0,0,5136,26955.0,6207,26955.0,3974,13307.0
2025-08-20,6210,0.00792807401331052,0.006402927052366891,0,0,213496400.0,89745578417163.0,0,0,0,0,0,0,0,0,0,5132,26923.0,6203,26923.0,3964,13276.0
