panel_field,source_group,dataset,route,field_family,nonnull_count,nonnull_rate,unique_nonnull_count
ctx_fulla_bs_accept_deposit_interbank,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,21455,0.02171548,110
ctx_fulla_bs_accounts_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,830687,0.84077206,16030
ctx_fulla_bs_accounts_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,829182,0.83924879,16005
ctx_fulla_bs_accrued_expense,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_advance_receivables,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,301078,0.30473328,5175
ctx_fulla_bs_agent_trade_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,18175,0.01839566,37
ctx_fulla_bs_agent_underwrite_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16474,0.016674,3
ctx_fulla_bs_amortize_cost_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_asset_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,830813,0.84089959,5
ctx_fulla_bs_asset_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,326,0.00032996,7
ctx_fulla_bs_assign_cash_dividend,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_available_sale_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,76,7.692e-05,1
ctx_fulla_bs_bond_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,132052,0.13365519,2127
ctx_fulla_bs_borrow_fund,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,19861,0.02010212,57
ctx_fulla_bs_buy_resale_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,20448,0.02069625,86
