book,cluster_count,retention_vs_j0,median_turnover,p90_turnover,capacity_proxy_median,amount_20d_median,limit_suspension_loss_proxy,max_raw_share,source_lane_top_share,mean_pairwise_cluster_corr,max_pairwise_cluster_corr,equal_cost_adjusted_proxy,equal_book_ir_proxy,equal_max_cluster_weight,equal_top_cluster_contribution,inverse_turnover_cost_adjusted_proxy,inverse_turnover_book_ir_proxy,inverse_turnover_max_cluster_weight,inverse_turnover_top_cluster_contribution,liquidity_adjusted_cost_adjusted_proxy,liquidity_adjusted_book_ir_proxy,liquidity_adjusted_max_cluster_weight,liquidity_adjusted_top_cluster_contribution,amount_q,capacity_q,gate_mode,limit_max,susp_max,pass_gate,near_best,local_to_best
J4_relaxed_a0.0_c0.0_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,and,0.2,0.01,True,False,True
J4_relaxed_a0.0_c0.0_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,and,0.25,0.01,True,False,True
J4_relaxed_a0.0_c0.0_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.0_or_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,or,0.2,0.01,True,False,False
J4_relaxed_a0.0_c0.0_or_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,or,0.25,0.01,True,False,False
J4_relaxed_a0.0_c0.0_or_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.0,or,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.05_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.05,and,0.2,0.01,True,False,True
J4_relaxed_a0.0_c0.05_and_l0.25,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.05,and,0.25,0.01,True,False,True
J4_relaxed_a0.0_c0.05_and_l0.3,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.05,and,0.3,0.01,True,False,False
J4_relaxed_a0.0_c0.1_and_l0.2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,,,1.75884,1.75884,0.043478,0.092008,2.003527,2.003527,0.137404,0.183842,2.083104,2.083104,0.165589,0.213203,0.0,0.1,and,0.2,0.01,True,False,True
