book,cluster_count,retention_vs_j0,median_turnover,p90_turnover,capacity_proxy_median,amount_20d_median,limit_suspension_loss_proxy,max_raw_share,source_lane_top_share,mean_pairwise_cluster_corr,max_pairwise_cluster_corr,equal_cost_adjusted_proxy,equal_book_ir_proxy,equal_max_cluster_weight,equal_top_cluster_contribution,inverse_turnover_cost_adjusted_proxy,inverse_turnover_book_ir_proxy,inverse_turnover_max_cluster_weight,inverse_turnover_top_cluster_contribution,liquidity_adjusted_cost_adjusted_proxy,liquidity_adjusted_book_ir_proxy,liquidity_adjusted_max_cluster_weight,liquidity_adjusted_top_cluster_contribution
J2,23,0.676471,0.17779,0.276502,23895134.562695,1066713753.6,0.024846,0.129032,0.521739,0.194898,0.785973,1.75884,1.609018,0.043478,0.092008,2.003527,1.832862,0.137404,0.183842,2.083104,1.905661,0.165589,0.213203
J4_relaxed,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,0.199273,0.785973,1.840207,1.68038,0.045455,0.092079,2.055906,1.877345,0.140941,0.183914,2.100618,1.918174,0.16696,0.21323
