candidate_id,factor_lane,diagnostic_role,input_families,input_sources,pool_priority_score,source_quota_group,expression
phase3aa_event_0421_cn_integrated_v1_minute_early_amount_share_00001,minute_early_amount_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first5_amount,Add(Abs($m1_amount_day),0.000001)))"
phase3aa_event_0422_cn_integrated_v1_minute_early_volume_share_00002,minute_early_volume_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first5_vol,Add(Abs($m1_vol_day),0.000001)))"
phase3aa_event_0423_cn_integrated_v1_minute_vwap_pressure_00003,minute_vwap_pressure,minute_price_pressure,minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,CSRank($m1_first5_vwap_return_vs_open)
phase3aa_event_0424_cn_integrated_v1_minute_last_vs_vwap_pressure_00004,minute_last_vs_vwap_pressure,minute_price_pressure,minute_return_pressure|minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,"CSRank(Sub($m1_first5_last_return_vs_open,$m1_first5_vwap_return_vs_open))"
phase3aa_event_0425_cn_integrated_v1_minute_early_range_00005,minute_early_range,minute_volatility_pressure,minute_range_volatility,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_volatility_pressure:none,CSRank($m1_first5_range)
phase3aa_event_0426_cn_integrated_v1_minute_early_amount_share_00006,minute_early_amount_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first15_amount,Add(Abs($m1_amount_day),0.000001)))"
phase3aa_event_0427_cn_integrated_v1_minute_early_volume_share_00007,minute_early_volume_share,minute_flow_pressure,minute_flow_liquidity,minute_panel_v2,1.01,cn_integrated_feature_layer:minute_flow_pressure:none,"CSRank(Div($m1_first15_vol,Add(Abs($m1_vol_day),0.000001)))"
phase3aa_event_0428_cn_integrated_v1_minute_vwap_pressure_00008,minute_vwap_pressure,minute_price_pressure,minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,CSRank($m1_first15_vwap_return_vs_open)
phase3aa_event_0429_cn_integrated_v1_minute_last_vs_vwap_pressure_00009,minute_last_vs_vwap_pressure,minute_price_pressure,minute_return_pressure|minute_vwap_pressure,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_price_pressure:none,"CSRank(Sub($m1_first15_last_return_vs_open,$m1_first15_vwap_return_vs_open))"
phase3aa_event_0430_cn_integrated_v1_minute_early_range_00010,minute_early_range,minute_volatility_pressure,minute_range_volatility,minute_panel_v2,0.95,cn_integrated_feature_layer:minute_volatility_pressure:none,CSRank($m1_first15_range)
