candidate_id,source_lane,factor_lane,phase3_budget_bucket,input_fields,input_families,pool_priority_score,expression
phase3repair-failure_detail-duplicate_escape-7e210d77983c,unknown,unknown,ast_failure_aware_repair,,,1.0,"CSRank(Mean($close,34))"
stockpit-template-3640ff7d560d,unknown,unknown,r0_cem_led,,,1.0,CSRank($close)
agnostic-freeform-f58db5f7c1ae,unknown,unknown,agnostic_freeform_ast,,,1.0,"CSRank(CSResidual(ZScore(Mean($high,2)),ZScore(Std($amount,3))))"
agnostic-freeform-2853176b2b50,unknown,unknown,agnostic_freeform_ast,,,1.0,"CSRank(Mul(CSRank(Std($final_float_market_cap,34)),Mul(ZScore(Std($high,21)),Sign(Mean($open,5)))))"
phase3aa_event_0205_cn_integrated_v1_rzrq_direct_rank_zrank_00205,cn_integrated_feature_layer,rzrq_direct_rank_zrank,research_factor_feature_layer,ctx_rzrq_rzjme3d,rzrq_flow_leverage,1.01,CSRank(ZScore($ctx_rzrq_rzjme3d))
agnostic-freeform-806d5235bba6,unknown,unknown,agnostic_freeform_ast,,,1.0,"CSRank(Sub(CSRank(Mom($vwap,34)),ZScore(Std($volume,3))))"
phase3aa_event_0206_cn_integrated_v1_rzrq_direct_rank_00206,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzjme5d,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzjme5d)
phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,unknown,unknown,ast_failure_aware_repair,,,1.0,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))"
phase3aa_event_0210_cn_integrated_v1_rzrq_direct_rank_00210,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzmre10d,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzmre10d)
phase3aa_event_0204_cn_integrated_v1_rzrq_direct_rank_00204,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzjme3d,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzjme3d)
phase3aa_event_0163_cn_integrated_v1_minute_direct_rank_zrank_00163,cn_integrated_feature_layer,minute_direct_rank_zrank,event_derived_feature_layer,m1_first5_range,minute_range_volatility,0.95,CSRank(ZScore($m1_first5_range))
phase3aa_event_0149_cn_integrated_v1_minute_direct_rank_zrank_00149,cn_integrated_feature_layer,minute_direct_rank_zrank,event_derived_feature_layer,m1_first30_range,minute_range_volatility,0.95,CSRank(ZScore($m1_first30_range))
phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,unknown,unknown,ast_failure_aware_repair,,,1.0,"CSRank(Sub(Mean($close,8),Mean($close,5)))"
fgv2-repair-nonlinearize-bfcb608426,unknown,unknown,formula_gen_v2_repair_expansion,,,1.0,"CSRank(Mul(Sign(ZScore(CSRank(Mean(Abs($close),8)))),Mul(ZScore(CSRank(Mean(Abs($close),8))),ZScore(CSRank(Mean(Abs($close),8))))))"
agnostic-freeform-e6e81d902494,unknown,unknown,agnostic_freeform_ast,,,1.0,"CSRank(Mean($high,34))"
phase3repair-failure_detail-operator_sanitize-2b72dd1e1855,unknown,unknown,ast_failure_aware_repair,,,1.0,"CSRank(Sub(Mean($close,6),Mean($close,3)))"
stockpit-cem_adaptive_grammar-fc08bbc3ff5f,unknown,unknown,r0_cem_led,,,1.0,"CSRank(Mean(Abs($close),8))"
fgv2-repair-add_confirmation_state-9339936017,unknown,unknown,formula_gen_v2_repair_expansion,,,1.0,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))"
phase3aa_event_0040_cn_integrated_v1_fundamental_risk_inverse_00040,cn_integrated_feature_layer,fundamental_risk_inverse,fundamental_pit_feature_layer,ctx_fund_bs_debt_to_assets,fundamental_balance_risk,1.0,CSRank(Neg($ctx_fund_bs_debt_to_assets))
phase3aa_event_0202_cn_integrated_v1_rzrq_direct_rank_00202,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzjme10d,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzjme10d)
phase3aa_event_0208_cn_integrated_v1_rzrq_direct_rank_00208,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzmre,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzmre)
phase3aa_event_0200_cn_integrated_v1_rzrq_direct_rank_00200,cn_integrated_feature_layer,rzrq_direct_rank,research_factor_feature_layer,ctx_rzrq_rzjme,rzrq_flow_leverage,1.01,CSRank($ctx_rzrq_rzjme)
phase3aa_event_0036_cn_integrated_v1_fundamental_quality_direct_00036,cn_integrated_feature_layer,fundamental_quality_direct,fundamental_pit_feature_layer,ctx_fund_cf_operate_cash_to_netprofit,fundamental_cashflow_quality,1.0,CSRank($ctx_fund_cf_operate_cash_to_netprofit)
phase3aa_event_0038_cn_integrated_v1_fundamental_quality_direct_00038,cn_integrated_feature_layer,fundamental_quality_direct,fundamental_pit_feature_layer,ctx_fund_ps_research_to_income,fundamental_income_quality,1.0,CSRank($ctx_fund_ps_research_to_income)
