table_id,fields,integrated_fields,not_integrated_fields,route,system_destination,selector_allowed,top_status
balance_sheet_report_em,431,14,417,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
billboard_buy,21,3,18,event_disclosure_context,daily_event_factor_pack_diagnostic_first,diagnostic_until_disclosure_timestamp_contract,registered_diagnostic_not_panelized
billboard_details,40,16,24,event_disclosure_context,daily_event_factor_pack_diagnostic_first,diagnostic_until_disclosure_timestamp_contract,registered_diagnostic_not_panelized
billboard_sell,21,3,18,event_disclosure_context,daily_event_factor_pack_diagnostic_first,diagnostic_until_disclosure_timestamp_contract,registered_diagnostic_not_panelized
cash_flow_sheet_report_em,473,8,465,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
circulate_stock_holder_sina,10,0,10,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
dividend_cninfo,14,0,14,announcement_pit_context,pit_feature_panel,true_after_pit_contract,registered_pit_not_panelized
financial_analysis_indicator_sina,89,0,89,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
hfq_daily_2026,40,24,16,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,true_lagged_only,integrated_minute_context_panel
holder_num_detail,24,11,13,announcement_pit_context,pit_feature_panel,true_after_pit_contract,registered_pit_not_panelized
holder_num_latest,24,11,13,announcement_pit_context,pit_feature_panel,true_after_pit_contract,registered_pit_not_panelized
main_stock_holder_sina,13,0,13,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
profit_sheet_report_em,281,14,267,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
review_uplimit_reason,22,22,0,timestamped_stock_intraday_event,minute_event_alignment_and_event_factor_pack,true_after_cutoff_only,integrated_event_alignment_panel
review_uplimit_reason_open,5,0,5,manual_contract_required,blocked_until_registry_review,false_until_contract,blocked_manual_contract
rzrq_margin_xsection,46,31,15,lagged_daily_context,daily_factor_pack_and_minute_ctx,true_lagged_only,integrated_nonminute_pit_context_panel
rzrq_margin_xsection_daily,47,31,16,lagged_daily_context,daily_factor_pack_and_minute_ctx,true_lagged_only,integrated_nonminute_pit_context_panel
rzrq_margin_xsection_monthly,47,31,16,lagged_daily_context,daily_factor_pack_and_minute_ctx,true_lagged_only,integrated_nonminute_pit_context_panel
share_change_cninfo,47,0,47,announcement_pit_context,pit_feature_panel,true_after_pit_contract,registered_pit_not_panelized
stock_calendar,13,2,11,tradability_calendar_context,universe_filter_and_diagnostic,false_universe_control_only,registered_not_panelized
updown_distribution,40,14,26,lagged_market_regime_context,regime_panel_and_daily_factor_pack,true_lagged_only,registered_not_panelized
uplimit_trend,13,13,0,timestamped_market_intraday_event,minute_event_alignment_and_regime_context,true_after_cutoff_only,integrated_event_alignment_panel
year=2024,40,24,16,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,true_lagged_only,integrated_minute_context_panel
year=2025,40,24,16,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,true_lagged_only,integrated_minute_context_panel
zygc_em,14,0,14,announcement_pit_context,fundamental_pit_feature_panel,true_after_notice_date,registered_pit_not_panelized
