expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bo_blocker_flags,phase3bo_decision
c11855ff467d414b389afff4,,,opening_range_location,amount|m1_first5_amount|m1_first5_range|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02569797055,0.06590566252,0.6216216216,0.000101876058,0.0006401951067,0.5945945946,0.01876729078,0.025224385,0.5264362436,1924,49181,51736,1,0,0.02569797055,0.000101876058,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02569797055,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
20fb2f7887c4f4a4eccb691e,,,opening_amount_pressure_orthogonal,amount|m1_first5_amount|m1_first5_vol|volume,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,5)),0.000001)))))",30,4,0.02527569827,0.09570676748,0.6148648649,2.70951356e-05,0.002004631046,0.5878378378,0.03034958975,0.03023585001,0.7891134752,1924,49181,51736,1,0,0.02527569827,2.70951356e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02527569827,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
c5ef5cb176ee131ffe7fbb67,,,opening_amount_pressure_orthogonal,amount|m1_first15_amount|m1_first15_vol|volume,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,3)),0.000001)))))",30,4,0.0246046424,0.09149913557,0.5945945946,9.39446037e-05,0.002042281374,0.5608108108,0.02844011825,0.03521855374,0.7813694972,1924,49181,51736,1,0,0.0246046424,9.39446037e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.0246046424,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
735947ee887a0541f3528a41,,,range_volatility_residual,high|low|open|ret_1m,"CSRank(Sub(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),2)),ZScore(Std($ret_1m,2))))",5,4,0.02259058128,0.05340612634,0.625,0.000161199533,0.0005391636313,0.6319444444,0.002632139124,-0.004443264524,0.7544990301,1919,46541,51736,1,0,0.02259058128,0.000161199533,,bl_signal_materialized_pass,long_top,0.02259058128,1,too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
9171ea34ad2c0e7163f443ec,,,opening_amount_pressure_orthogonal,amount|m1_first30_amount|m1_first30_vol|volume,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,5)),0.000001))),ZScore(Div($m1_first30_vol,Add(Abs(Mean($volume,5)),0.000001)))))",30,4,0.02175213133,0.093382337,0.5882352941,0.0001692168058,0.002001884959,0.5808823529,0.02889523805,0.02606678918,0.7866132592,1924,45322,51736,1,0,0.02175213133,0.0001692168058,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02175213133,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
799b41475264528f179db987,,,opening_amount_pressure_orthogonal,amount|m1_first5_amount|m1_first5_vol|volume,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,3)),0.000001)))))",30,4,0.02079041013,0.09437356779,0.5743243243,-5.885749726e-05,0.002057557557,0.5743243243,0.02737138814,0.03047436471,0.7815296085,1924,49181,51736,1,0,0.02079041013,-5.885749726e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02079041013,1,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
6a99c0d0e28a09111b18ab69,,,opening_amount_pressure_orthogonal,amount|m1_first30_amount|m1_first30_vol|volume,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs(Mean($amount,3)),0.000001))),ZScore(Div($m1_first30_vol,Add(Abs(Mean($volume,3)),0.000001)))))",30,4,0.01867099242,0.08633399435,0.5955882353,7.748009186e-05,0.001952164418,0.5367647059,0.02396880338,0.03545388229,0.7862562388,1924,45322,51736,1,0,0.01867099242,7.748009186e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01867099242,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
5dfa17d58219bf8407976760,,,opening_amount_pressure_orthogonal,amount|m1_first15_amount|m1_first15_vol|volume,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs(Mean($amount,2)),0.000001))),ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,2)),0.000001)))))",30,4,0.01820224032,0.07655708743,0.5810810811,5.512027956e-05,0.001890556276,0.5540540541,0.01624668397,0.0311363979,0.7848575876,1924,49181,51736,1,0,0.01820224032,5.512027956e-05,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.01820224032,0,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong|too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
e61d4b562d65efbdde4b77c2,,,range_volatility_residual,high|low|open|ret_1m,"CSRank(Sub(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),3)),ZScore(Std($ret_1m,3))))",5,4,0.01712265417,0.05582480357,0.6038406828,0.0001584389168,0.0005913227911,0.6114864865,0.006682912757,0.003995142105,0.7450956564,1939,48807,51736,1,0,0.01712265417,0.0001584389168,,bl_signal_materialized_pass,long_top,0.01712265417,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
22e98453a781715850895094,,,range_volatility_residual,high|low|open|ret_1m,"CSRank(Sub(ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5)),ZScore(Std($ret_1m,5))))",30,4,0.01678658264,0.05440668371,0.6052631579,0.0002794522097,0.001281809167,0.5526315789,0.01096360613,0.01347657562,0.7462644599,1940,50464,51736,1,0,0.01678658264,0.0002794522097,,bl_signal_materialized_pass,long_top,0.01678658264,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bo_watch_or_reject
