source_group,dataset,field,data_type,field_family,asset_status,asset_reason,route,selector_role,selector_allowed,pit_rule,allowed_transforms,priority,materialized_path,row_count,coverage_note,next_action
fundamental_pit_silver,fundamental_balance_long,source_dataset,string,metadata,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,source_code6,string,instrument_key,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,source_em,string,metadata,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,source_file,string,metadata,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,ingest_time_utc,string,time_key_or_cutoff,accepted,valid_pit_silver,event_cutoff_key,not_alpha_feature,false,controls availability/cutoff; not standalone alpha,event_age|lagged_availability,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,SECUCODE,string,instrument_key,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,SECURITY_CODE,string,instrument_key,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,SECURITY_NAME_ABBR,string,text_or_description,accepted,valid_pit_silver,join_or_audit_metadata,not_alpha_feature,false,key/text/metadata only,none,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,ORG_CODE,string,other_numeric,accepted,valid_pit_silver,categorical_or_text_context,diagnostic_or_metadata,false_until_encoding_contract,non-numeric/categorical field requires explicit encoding and availability contract before selector use,one_hot_or_event_category_encoding_after_manual_contract,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,ORG_TYPE,string,other_numeric,accepted,valid_pit_silver,categorical_or_text_context,diagnostic_or_metadata,false_until_encoding_contract,non-numeric/categorical field requires explicit encoding and availability contract before selector use,one_hot_or_event_category_encoding_after_manual_contract,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,REPORT_DATE,string,time_key_or_cutoff,accepted,valid_pit_silver,availability_key,not_alpha_feature,false,controls availability/cutoff; not standalone alpha,event_age|lagged_availability,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,REPORT_TYPE,string,other_numeric,accepted,valid_pit_silver,categorical_or_text_context,diagnostic_or_metadata,false_until_encoding_contract,non-numeric/categorical field requires explicit encoding and availability contract before selector use,one_hot_or_event_category_encoding_after_manual_contract,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,REPORT_DATE_NAME,string,time_key_or_cutoff,accepted,valid_pit_silver,availability_key,not_alpha_feature,false,controls availability/cutoff; not standalone alpha,event_age|lagged_availability,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
fundamental_pit_silver,fundamental_balance_long,SECURITY_TYPE_CODE,string,other_numeric,accepted,valid_pit_silver,categorical_or_text_context,diagnostic_or_metadata,false_until_encoding_contract,non-numeric/categorical field requires explicit encoding and availability contract before selector use,one_hot_or_event_category_encoding_after_manual_contract,low,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,294221,,eligible_for_transform_registry
