arm,candidate_id,expr_hash,source_lane,source_generator,source_profile,selector_name,selector_version,base_e3_score,base_quality,turnover_proxy,turnover_structure_risk,cost_adjusted_proxy,liquidity_proxy,liquidity_proxy_source,capacity_proxy,capacity_proxy_source,factor_exposure_proxy,sector_concentration_proxy,complexity_score,operator_pathology_flag,max_corr_to_103_registry,mean_corr_to_103_registry,nearest_103_cluster,max_corr_to_134_registry,mean_corr_to_134_registry,nearest_134_cluster_id,novelty_vs_134,max_corr_to_selected_queue,max_corr_to_selected_queue_before_pick,mean_corr_to_selected_queue,mean_corr_to_selected_queue_before_pick,provisional_cluster_id,known_cluster_id,known_cluster_count_before_pick,provisional_cluster_count_before_pick,source_lane_cluster_count_before_pick,known_cluster_count_penalty,provisional_cluster_count_penalty,source_lane_cluster_count_penalty,anti_concentration_penalty,cluster_001_penalty,signal_vector_id,signal_vector_source,signal_vector_error,signal_vector_ready,nearest_134_signal_cluster_id,max_corr_to_134_signal_vector,mean_topk_corr_to_134_signal_vector,novelty_vs_134_signal_vector,known_signal_cluster_id,provisional_signal_cluster_id,source_lane_signal_cluster_id,signal_vector_cluster_basis,max_corr_to_selected_queue_signal,max_corr_to_selected_queue_signal_before_pick,mean_corr_to_selected_queue_signal,mean_corr_to_selected_queue_signal_before_pick,nearest_selected_signal_cluster_id,nearest_selected_signal_vector_id,known_signal_cluster_count_before_pick,provisional_signal_cluster_count_before_pick,source_lane_signal_cluster_count_before_pick,vector_diversity_penalty,known_signal_cluster_penalty,provisional_signal_cluster_penalty,source_lane_signal_cluster_penalty,cluster_001_signal_penalty,cluster_003_signal_penalty,cap_relaxed_for_backfill,selector_mode,turnover_penalty,turnover_structure_penalty,selector_pool_turnover_p80,selector_pool_turnover_p90,selector_pool_turnover_p95,high_turnover_p80_count_before_pick,high_turnover_p90_count_before_pick,turnover_tail_penalty,liquidity_penalty,capacity_penalty,registry_symbolic_corr_penalty,complexity_penalty,hard_gate_pass,hard_reject_reason,cap_reject_reason,feature_missing,gate_not_applied,selection_score,selection_score_final,rank_before_selection,selection_rank,selected_for_audit,selection_reason,uses_forbidden_replay_labels,book_marginal_mode,residual_ir_proxy,book_marginal_score,projection_topk_clusters,expression
Phase3AA_G2_event_source_priority,phase3aa_event_0080_phase3ae_brepair_v1_00080,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0549997,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.283333,0.269167,cluster_134,0.283333,0.269167,cluster_134,0.716667,1.0,1.0,1.0,1.0,prov_4e1ccda1,,,,,,,,,,5b445e5e3601de7ee78a,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_5b445e5e3601,event_derived_feature_layer|sigprov_5b445e5e3601,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.283333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3635003,0.3635003,,,False,backfill_candidate,False,signal_vector_proxy,,0.3635003,,"CSRank(Delta($evt_limit_fengdan_money_last_by_1130,2))"
Phase3AA_G2_event_source_priority,phase3aa_event_0079_phase3ae_brepair_v1_00079,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0700003,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.366667,0.336667,cluster_002,0.366667,0.336667,cluster_002,0.633333,0.8,0.8,0.601667,0.601667,prov_3fa6bdb7,,,,,,,,,,33e5a98806af7348ccc0,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_33e5a98806af,event_derived_feature_layer|sigprov_33e5a98806af,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.366667,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3484997,0.3484997,,,False,backfill_candidate,False,signal_vector_proxy,,0.3484997,,"CSRank(Mean($evt_limit_fengdan_money_last_by_1130,2))"
Phase3AA_G2_event_source_priority,phase3aa_event_0078_phase3ae_brepair_v1_00078,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0549997,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.283333,0.269167,cluster_134,0.283333,0.269167,cluster_134,0.716667,1.0,1.0,1.0,1.0,prov_2e49350f,,,,,,,,,,b679809c429f60be1bf6,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_b679809c429f,event_derived_feature_layer|sigprov_b679809c429f,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.283333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3635003,0.3635003,,,False,backfill_candidate,False,signal_vector_proxy,,0.3635003,,"CSRank(Delta($evt_limit_fengdan_money_last_by_1130,10))"
Phase3AA_G2_event_source_priority,phase3aa_event_0077_phase3ae_brepair_v1_00077,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0700003,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.366667,0.336667,cluster_002,0.366667,0.336667,cluster_002,0.633333,0.8,0.8,0.601667,0.601667,prov_aae3a900,,,,,,,,,,3b409e0ea7102c7f3fa3,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_3b409e0ea710,event_derived_feature_layer|sigprov_3b409e0ea710,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.366667,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3484997,0.3484997,,,False,backfill_candidate,False,signal_vector_proxy,,0.3484997,,"CSRank(Mean($evt_limit_fengdan_money_last_by_1130,10))"
Phase3AA_G2_event_source_priority,phase3aa_event_0076_phase3ae_brepair_v1_00076,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0549997,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.283333,0.269167,cluster_134,0.283333,0.269167,cluster_134,0.716667,1.0,1.0,1.0,1.0,prov_4e1ccda1,,,,,,,,,,2318366090531657854f,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_231836609053,event_derived_feature_layer|sigprov_231836609053,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.283333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3635003,0.3635003,,,False,backfill_candidate,False,signal_vector_proxy,,0.3635003,,"CSRank(Delta($evt_limit_fengdan_money_last_by_1130,5))"
Phase3AA_G2_event_source_priority,phase3aa_event_0075_phase3ae_brepair_v1_00075,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0700003,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.366667,0.336667,cluster_002,0.366667,0.336667,cluster_002,0.633333,0.8,0.8,0.601667,0.601667,prov_3fa6bdb7,,,,,,,,,,c2950ffd8f11743a7739,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_c2950ffd8f11,event_derived_feature_layer|sigprov_c2950ffd8f11,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.366667,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3484997,0.3484997,,,False,backfill_candidate,False,signal_vector_proxy,,0.3484997,,"CSRank(Mean($evt_limit_fengdan_money_last_by_1130,5))"
Phase3AA_G2_event_source_priority,phase3aa_event_0074_phase3ae_brepair_v1_00074,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0549997,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.283333,0.269167,cluster_134,0.283333,0.269167,cluster_134,0.716667,1.0,1.0,1.0,1.0,prov_4e1ccda1,,,,,,,,,,7a8357738626d6088e9e,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_7a8357738626,event_derived_feature_layer|sigprov_7a8357738626,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.283333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3635003,0.3635003,,,False,backfill_candidate,False,signal_vector_proxy,,0.3635003,,"CSRank(Delta($evt_limit_fengdan_money_last_by_1130,3))"
Phase3AA_G2_event_source_priority,phase3aa_event_0073_phase3ae_brepair_v1_00073,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0700003,0.0,,0.0,,0.0,,0.0,,,,3.3,False,0.366667,0.336667,cluster_002,0.366667,0.336667,cluster_002,0.633333,0.8,0.8,0.601667,0.601667,prov_3fa6bdb7,,,,,,,,,,1adec8aa7eeb7e71e765,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_1adec8aa7eeb,event_derived_feature_layer|sigprov_1adec8aa7eeb,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.366667,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3484997,0.3484997,,,False,backfill_candidate,False,signal_vector_proxy,,0.3484997,,"CSRank(Mean($evt_limit_fengdan_money_last_by_1130,3))"
Phase3AA_G2_event_source_priority,phase3aa_event_0072_phase3ae_brepair_v1_00072,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0925,0.0,,0.0,,0.0,,0.0,,,,3.05,False,0.325,0.298333,cluster_115,0.325,0.298333,cluster_115,0.675,1.0,1.0,0.538333,0.538333,prov_4526876d,,,,,,,,,,601c6bf705c801b960eb,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_601c6bf705c8,event_derived_feature_layer|sigprov_601c6bf705c8,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.325,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.326,0.326,,,False,backfill_candidate,False,signal_vector_proxy,,0.326,,CSRank(ZScore($evt_limit_fengdan_money_last_by_1130))
Phase3AA_G2_event_source_priority,phase3aa_event_0071_phase3ae_brepair_v1_00071,,event_derived_feature_layer,phase3ae_bounded_repair_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.0549997,0.0,,0.0,,0.0,,0.0,,,,5.6,False,0.283333,0.260119,cluster_021,0.283333,0.260119,cluster_021,0.716667,1.0,1.0,0.84,0.84,prov_4cc783c2,,,,,,,,,,2ff30eb86b523081b67f,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_money_last_by_1130,False,,0.0,0.0,1.0,,sigprov_2ff30eb86b52,event_derived_feature_layer|sigprov_2ff30eb86b52,self_vector,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.059639,0.070323,0.074188,4,2,0.0,1.0,1.0,0.283333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.3635003,0.3635003,,,False,backfill_candidate,False,signal_vector_proxy,,0.3635003,,"CSRank(Log(Add(Abs($evt_limit_fengdan_money_last_by_1130),1)))"
