short,arm,root,report_exists,audit_exists,selection_inputs_exists,status,selector_profile,generation_profile,metadata_policy,discovery_baseline_count,selector_vector_baseline_count,selector_vector_baseline_name,strict_vector_cluster_cap,target_median_turnover,audit_rows,selected_count,selector_audit_selected_count,median_turnover_proxy,median_turnover_structure_risk,mean_selected_queue_signal_corr,median_selected_queue_signal_corr,cap_hit_count,selected_cap_relaxed_count,agnostic_selected_count,repair_expansion_selected_count,source_lane_counts,known_signal_cluster_counts,leakage_flag_count
H0,Phase3H_H0_G0_stable,runtime\phase3h_shared_selector_dryrun_s33_20260515\H0,True,True,True,selection_only,standard_D3,E0_D3_primary,DUAL_BASELINE_ACCEPTED,134,122,,,,376,64,63,0.056112,0.0,0.0,0.0,0,0,12,8,"{'agnostic_freeform_ast': 12, 'ast_failure_aware_repair': 9, 'formula_gen_v2_repair_expansion': 8, 'r0_cem_led': 31, 'replay_aware_residual': 4}",{},0
H1,Phase3H_H1_G2_signal_vector_control,runtime\phase3h_shared_selector_dryrun_s33_20260515\H1,True,True,True,selection_only,signal_vector_diversified_proxy,G2_signal_vector_control,DUAL_BASELINE_ACCEPTED,134,122,,,,376,64,64,0.057411,0.0,0.448196,0.44242099999999995,0,0,16,8,"{'agnostic_freeform_ast': 16, 'ast_failure_aware_repair': 9, 'formula_gen_v2_repair_expansion': 8, 'r0_cem_led': 31}",{},0
H2,Phase3H_H2_G2_turnover_calibrated,runtime\phase3h_shared_selector_dryrun_s33_20260515\H2,True,True,True,selection_only,signal_vector_turnover_calibrated_proxy,G2_turnover_calibrated,DUAL_BASELINE_ACCEPTED,134,122,,,0.18-0.20,376,64,64,0.056112,0.0,0.471939,0.4573705,29,0,14,8,"{'agnostic_freeform_ast': 14, 'ast_failure_aware_repair': 11, 'formula_gen_v2_repair_expansion': 8, 'r0_cem_led': 31}",{},0
H3,Phase3H_H3_G2_registry_canonicalized,runtime\phase3h_shared_selector_dryrun_s33_20260515\H3,True,True,True,selection_only,signal_vector_diversified_proxy,G2_registry_canonicalized,DUAL_BASELINE_ACCEPTED,134,122,canonical_122,True,,376,64,64,0.057411,0.0,0.448196,0.44242099999999995,0,0,16,8,"{'agnostic_freeform_ast': 16, 'ast_failure_aware_repair': 9, 'formula_gen_v2_repair_expansion': 8, 'r0_cem_led': 31}",{},0
