rescued_from_cluster_id,source_lane,full_expression,full_score,rescue_candidate_id,rescue_expression,signal_cluster_id,ablation_role,ablation_kind,low_order_score,margin_vs_full,portfolio_replay_avg_one_way_turnover,strict_mean_one_way_turnover,strict_cost_adjusted_sortino,portfolio_replay_long_only_sortino,non_gap_replay_pass,deployable_pass,full_low_order_blocked,rescue_eligible,rescue_decision,rescue_evidence_scope,remaining_blocker
cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.47509,phase3lE-low_order_ablation-cluster_008-028,"CSRank(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))))",cluster_008,component_1,top_level_mul_component,0.475619,-0.999471,0.241568,0.230996,0.698824,0.475619,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.47509,phase3lE-low_order_ablation-cluster_008-029,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,0.019342,0.077411,0.06256,3.34176,1.494432,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,phase3lE-low_order_ablation-cluster_014-008,"CSRank(ZScore(Mean($close,8)))",cluster_002,component_1,top_level_mul_component,1.221211,-0.007853,0.03768,0.023325,4.411423,1.221211,True,True,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,phase3lE-low_order_ablation-cluster_014-009,"CSRank(ZScore(Mean($final_float_market_cap,34)))",cluster_005,component_2,top_level_mul_component,-0.425963,-1.655027,0.0266,0.01067,0.273672,-0.425963,False,False,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-042,CSRank(Sign($vwap)),cluster_001,component_1,top_level_mul_component,-0.24536,-1.707362,0.023032,,,-0.24536,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-043,CSRank(CSRank($open)),cluster_002,component_2,top_level_mul_component,1.392507,-0.069495,0.052914,0.037437,3.138146,1.392507,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-044,"CSRank(CSRank(Mean($amount,8)))",cluster_003,component_3,top_level_mul_component,0.259179,-1.202823,0.102802,0.067479,1.33078,0.259179,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-045,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",cluster_006,drop_component_1,leave_one_out_mul_component,1.462002,0.0,0.076805,0.062017,3.146535,1.462002,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-046,"CSRank(Mul(Sign($vwap),CSRank(Mean($amount,8))))",cluster_003,drop_component_2,leave_one_out_mul_component,0.259179,-1.202823,0.102802,0.067479,1.33078,0.259179,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-047,"CSRank(Mul(Sign($vwap),CSRank($open)))",cluster_002,drop_component_3,leave_one_out_mul_component,1.407277,-0.054725,0.053033,0.037584,3.192423,1.407277,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-058,"CSRank(Sign(Mean($vwap,5)))",cluster_001,component_1,top_level_mul_component,-0.275991,-1.893676,0.022507,,,-0.275991,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-059,"CSRank(CSRank(Std($open,8)))",cluster_002,component_2,top_level_mul_component,1.19158,-0.426105,0.19703,0.18143,3.452723,1.19158,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-060,"CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21)))",cluster_002,component_3,top_level_mul_component,1.671616,0.053931,0.073418,0.059632,3.82282,1.671616,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-061,"CSRank(Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21))))",cluster_010,drop_component_1,leave_one_out_mul_component,1.617685,0.0,0.199872,0.187045,4.458059,1.617685,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-062,"CSRank(Mul(Sign(Mean($vwap,5)),ZScore(Mean(Abs(Delta($vwap,1)),21))))",cluster_002,drop_component_2,leave_one_out_mul_component,1.671616,0.053931,0.073418,0.059632,3.82282,1.671616,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_005,agnostic_freeform_ast,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",1.617685,phase3lE-low_order_ablation-s47_cluster_005-063,"CSRank(Mul(Sign(Mean($vwap,5)),CSRank(Std($open,8))))",cluster_002,drop_component_3,leave_one_out_mul_component,1.19158,-0.426105,0.19703,0.18143,3.452723,1.19158,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",1.486393,phase3lE-low_order_ablation-s47_cluster_006-002,"CSRank(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))))",cluster_007,component_1,top_level_mul_component,0.305747,-1.180646,0.075078,0.029237,0.021579,0.305747,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",1.486393,phase3lE-low_order_ablation-s47_cluster_006-003,"CSRank(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))",cluster_007,component_2,top_level_mul_component,1.486393,0.0,0.151724,0.139418,8.165586,1.486393,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",1.486393,phase3lE-low_order_ablation-s47_cluster_006-004,"CSRank(Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))))",cluster_012,drop_component_1,leave_one_out_mul_component,-0.249015,-1.735408,0.415805,0.399118,0.30557,-0.249015,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
