source_root,dataset,field_name,field_family,route,visibility_class,selector_role,recommended_transforms,priority,pit_rule,system_destination,next_action
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCEPT_DEPOSIT,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCEPT_DEPOSIT_INTERBANK,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCEPT_DEPOSIT_INTERBANK_YOY,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCEPT_DEPOSIT_YOY,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCOUNTS_PAYABLE,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCOUNTS_PAYABLE_YOY,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCOUNTS_RECE,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCOUNTS_RECE_YOY,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCRUED_EXPENSE,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ACCRUED_EXPENSE_YOY,other,announcement_pit_feature,notice_or_disclosure_lagged,candidate_after_pit_contract,lagged_level|rank_xsection|zscore,low,use notice/disclosure date plus conservative next-trading-day lag,nonminute_pit_context_panel_then_integrated_factor_pack,eligible_for_bulk_transform_plan
