profile,profile_status,signal_date,gate_active,cluster_count,signal_row_count,position_count,gross_long_weight,gross_short_weight,net_weight,snapshot
x0_official6_r3_liquidity_low,formal_candidate_shadow,2026-05-08,False,6,0,0,0.0,0.0,0.0,runtime\phase3p_locked_daily_forward\x0_official6_r3_liquidity_low\daily_book_snapshot\20260508.json
x4_plus003_minus002_r3_liquidity_low,research_candidate_shadow_diagnostic,2026-05-08,False,6,0,0,0.0,0.0,0.0,runtime\phase3p_locked_daily_forward\x4_plus003_minus002_r3_liquidity_low\daily_book_snapshot\20260508.json
