candidate_id,expression,field_name,factor_lane,failed_fields,failed_reasons,failed_coverages
phase3ae_brepair_v1_00101,CSRank($ctx_hfq_amount_yuan),amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00102,CSRank(Neg($ctx_hfq_amount_yuan)),amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00103,"CSRank(Log(Add(Abs($ctx_hfq_amount_yuan),1)))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00104,CSRank(ZScore($ctx_hfq_amount_yuan)),amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00105,"CSRank(Mean($ctx_hfq_amount_yuan,3))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00106,"CSRank(Delta($ctx_hfq_amount_yuan,3))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00107,"CSRank(Mean($ctx_hfq_amount_yuan,5))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00108,"CSRank(Delta($ctx_hfq_amount_yuan,5))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00109,"CSRank(Mean($ctx_hfq_amount_yuan,10))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
phase3ae_brepair_v1_00110,"CSRank(Delta($ctx_hfq_amount_yuan,10))",amount_yuan,lagged_daily_formula_lane,ctx_hfq_amount_yuan,ctx_hfq_amount_yuan:zero_nonnull,0.0
