field,locations
ctx_billboard_accum_amount,nonminute
ctx_billboard_billboard_buy_amt,nonminute
ctx_billboard_billboard_deal_amt,nonminute
ctx_billboard_billboard_net_amt,nonminute
ctx_billboard_billboard_sell_amt,nonminute
ctx_billboard_buy_ratio,nonminute
ctx_billboard_change_rate,nonminute
ctx_billboard_deal_amount_ratio,nonminute
ctx_billboard_deal_net_ratio,nonminute
ctx_billboard_free_market_cap,nonminute
ctx_billboard_net_bs_amt,nonminute
ctx_billboard_sell_ratio,nonminute
ctx_billboard_sum_buy_amt,nonminute
ctx_billboard_sum_sell_amt,nonminute
ctx_billboard_turnoverrate,nonminute
ctx_fund_cf_end_cce,nonminute
ctx_fund_cf_netcash_finance,nonminute
ctx_fund_cf_netcash_invest,nonminute
ctx_fund_cf_total_operate_inflow,nonminute
ctx_fund_cf_total_operate_outflow,nonminute
ctx_hfq_amount_yuan,minute
ctx_hfq_amount_yuan_x,minute
ctx_hfq_amount_yuan_y,minute
ctx_hfq_amplitude_pct,minute
ctx_hfq_amplitude_pct_x,minute
ctx_hfq_amplitude_pct_y,minute
ctx_hfq_float_shares,minute
ctx_hfq_float_shares_x,minute
ctx_hfq_float_shares_y,minute
ctx_hfq_ma10,minute
ctx_hfq_ma10_x,minute
ctx_hfq_ma10_y,minute
ctx_hfq_ma120,minute
ctx_hfq_ma120_x,minute
ctx_hfq_ma120_y,minute
ctx_hfq_ma20,minute
ctx_hfq_ma20_x,minute
ctx_hfq_ma20_y,minute
ctx_hfq_ma250,minute
ctx_hfq_ma250_x,minute
ctx_hfq_ma250_y,minute
ctx_hfq_ma5,minute
ctx_hfq_ma5_x,minute
ctx_hfq_ma5_y,minute
ctx_hfq_ma60,minute
ctx_hfq_ma60_x,minute
ctx_hfq_ma60_y,minute
ctx_hfq_pct_chg,minute
ctx_hfq_pct_chg_x,minute
ctx_hfq_pct_chg_y,minute
ctx_hfq_volume_shares,minute
ctx_hfq_volume_shares_x,minute
ctx_hfq_volume_shares_y,minute
ctx_holder_change_shares,nonminute
ctx_holder_close_price,nonminute
ctx_rzrq_rzyezb,nonminute
ctx_rzrq_spj,nonminute
ctx_rzrq_zdf,nonminute
evt_limit_fengdan_money_last_by_0930,minute
evt_limit_fengdan_money_last_by_0935,minute
evt_limit_fengdan_money_last_by_1000,minute
evt_limit_fengdan_money_last_by_1130,minute
evt_limit_fengdan_money_last_by_1430,minute
evt_limit_fengdan_rate_last_by_0930,minute
evt_limit_fengdan_rate_last_by_0935,minute
evt_limit_fengdan_rate_last_by_1000,minute
evt_limit_fengdan_rate_last_by_1130,minute
final_float_market_cap_source,base
final_total_market_cap_source,base
float_share_source,base
m1_pct_chg_first,minute
m1_pre_close,minute
mkt_nums_DT_at_0930,minute
mkt_nums_DT_at_0935,minute
mkt_nums_DT_at_1000,minute
mkt_nums_DT_at_1130,minute
mkt_nums_ZTZB_at_0930,minute
mkt_nums_ZTZB_at_0935,minute
mkt_nums_ZTZB_at_1000,minute
mkt_nums_ZTZB_at_1130,minute
mkt_open_board_count_at_0930,minute
mkt_open_board_count_at_0935,minute
mkt_open_board_count_at_1000,minute
mkt_open_board_count_at_1130,minute
mkt_uplimit_count_at_0930,minute
mkt_uplimit_count_at_0935,minute
mkt_uplimit_count_at_1000,minute
mkt_uplimit_count_at_1130,minute
sector_source,base
tdxgp_total_market_cap_source,base
