field,coverage,nonnull_rows,total_rows,unique_nonnull,mean,std,is_sparse_event_field,coverage_threshold,min_event_nonnull_rows,pass_value_gate,reason
ctx_billboard_accum_amount,0.66130536,653373,988005,13993,2067597150.5874734,4896016230.257544,False,0.001,,True,pass
ctx_billboard_billboard_buy_amt,0.66130536,653373,988005,13992,361604630.48079425,3111764363.483184,False,0.001,,True,pass
ctx_billboard_billboard_deal_amt,0.66130536,653373,988005,13993,709023703.2304105,6217810483.447605,False,0.001,,True,pass
ctx_billboard_billboard_net_amt,0.66130536,653373,988005,13943,14185557.731178012,184090107.12608162,False,0.001,,True,pass
ctx_billboard_billboard_sell_amt,0.66130536,653373,988005,13977,347419072.7496162,3108769971.2211637,False,0.001,,True,pass
ctx_billboard_buy_ratio,0.66130536,653373,988005,13944,14.429369450529403,10.079307307159537,False,0.001,,True,pass
ctx_billboard_change_rate,0.66130536,653373,988005,8851,5.07279801665103,14.58631881687352,False,0.001,,True,pass
ctx_billboard_deal_amount_ratio,0.66130536,653373,988005,13958,29.415410788606927,17.060574736458932,False,0.001,,True,pass
ctx_billboard_deal_net_ratio,0.66130536,653373,988005,13955,0.6620531265169943,9.5979055145073,False,0.001,,True,pass
ctx_billboard_free_market_cap,0.66130536,653373,988005,13934,12675541732.26764,35587186781.76123,False,0.001,,True,pass
ctx_billboard_net_bs_amt,0.66130536,653373,988005,13925,14098933.70925606,184058242.09106225,False,0.001,,True,pass
ctx_billboard_sell_ratio,0.65986205,651947,988005,13932,13.77328700150288,9.569492719617545,False,0.001,,True,pass
ctx_billboard_sum_buy_amt,0.66130536,653373,988005,13992,361604457.13812155,3111764375.889628,False,0.001,,True,pass
ctx_billboard_sum_sell_amt,0.66130536,653373,988005,13977,347419072.7496162,3108769971.2211637,False,0.001,,True,pass
ctx_billboard_turnoverrate,0.66130536,653373,988005,13761,16.411945555856555,12.294453974758573,False,0.001,,True,pass
ctx_fund_cf_end_cce,0.03208587,31701,988005,666,32757326551.39202,205930913029.71194,False,0.001,,True,pass
ctx_fund_cf_netcash_finance,0.03208587,31701,988005,663,2113710131.0288033,25567804514.09085,False,0.001,,True,pass
ctx_fund_cf_netcash_invest,0.03208587,31701,988005,666,-10716635664.5548,82670049954.81735,False,0.001,,True,pass
ctx_fund_cf_total_operate_inflow,0.03208587,31701,988005,666,65870452414.518105,354418936593.31683,False,0.001,,True,pass
ctx_fund_cf_total_operate_outflow,0.03208587,31701,988005,666,52846602216.83628,239278757124.8791,False,0.001,,True,pass
ctx_hfq_amount_yuan,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_amount_yuan_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_amount_yuan_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_amplitude_pct,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_amplitude_pct_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_amplitude_pct_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_float_shares,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_float_shares_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_float_shares_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma10,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma10_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma10_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma120,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma120_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma120_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma20,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma20_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma20_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma250,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma250_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma250_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma5,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma5_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma5_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma60,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma60_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_ma60_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_pct_chg,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_pct_chg_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_pct_chg_y,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_volume_shares,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
ctx_hfq_volume_shares_x,0.0,0,988005,0,,,False,0.001,,False,zero_nonnull
