rescued_from_cluster_id,source_lane,full_expression,full_score,rescue_candidate_id,rescue_expression,signal_cluster_id,ablation_role,ablation_kind,low_order_score,margin_vs_full,portfolio_replay_avg_one_way_turnover,strict_mean_one_way_turnover,strict_cost_adjusted_sortino,portfolio_replay_long_only_sortino,non_gap_replay_pass,deployable_pass,full_low_order_blocked,rescue_eligible,rescue_decision,rescue_evidence_scope,remaining_blocker
cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.47509,phase3lE-low_order_ablation-cluster_008-010,"CSRank(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))))",cluster_006,component_1,top_level_mul_component,0.475619,-0.999471,0.241568,0.230996,0.698824,0.475619,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.47509,phase3lE-low_order_ablation-cluster_008-011,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,0.019342,0.077411,0.06256,3.34176,1.494432,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,phase3lE-low_order_ablation-cluster_014-006,"CSRank(ZScore(Mean($close,8)))",cluster_002,component_1,top_level_mul_component,1.221211,-0.007853,0.03768,0.023325,4.411423,1.221211,True,True,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",1.229064,phase3lE-low_order_ablation-cluster_014-007,"CSRank(ZScore(Mean($final_float_market_cap,34)))",cluster_004,component_2,top_level_mul_component,-0.425963,-1.655027,0.0266,0.01067,0.273672,-0.425963,False,False,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-032,CSRank(Sign($vwap)),cluster_001,component_1,top_level_mul_component,-0.24536,-1.707362,0.023032,,,-0.24536,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-033,CSRank(CSRank($open)),cluster_002,component_2,top_level_mul_component,1.392507,-0.069495,0.052914,0.037437,3.138146,1.392507,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-034,"CSRank(CSRank(Mean($amount,8)))",cluster_003,component_3,top_level_mul_component,0.259179,-1.202823,0.102802,0.067479,1.33078,0.259179,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-035,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",cluster_005,drop_component_1,leave_one_out_mul_component,1.462002,0.0,0.076805,0.062017,3.146535,1.462002,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-036,"CSRank(Mul(Sign($vwap),CSRank(Mean($amount,8))))",cluster_003,drop_component_2,leave_one_out_mul_component,0.259179,-1.202823,0.102802,0.067479,1.33078,0.259179,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",1.462002,phase3lE-low_order_ablation-cluster_017-037,"CSRank(Mul(Sign($vwap),CSRank($open)))",cluster_002,drop_component_3,leave_one_out_mul_component,1.407277,-0.054725,0.053033,0.037584,3.192423,1.407277,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_031,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.541851,phase3lE-low_order_ablation-cluster_031-044,"CSRank(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))))",cluster_002,component_1,top_level_mul_component,1.231314,-0.310537,0.040945,0.028189,1.439829,1.231314,True,True,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
cluster_031,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.541851,phase3lE-low_order_ablation-cluster_031-045,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,-0.047419,0.077411,0.06256,3.34176,1.494432,True,True,False,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s51_cluster_002,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.349823,phase3lE-low_order_ablation-s51_cluster_002-002,"CSRank(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))))",cluster_012,component_1,top_level_mul_component,0.365587,-0.984236,0.227304,0.215751,-0.154672,0.365587,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s51_cluster_002,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.349823,phase3lE-low_order_ablation-s51_cluster_002-003,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,0.144609,0.077411,0.06256,3.34176,1.494432,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s52_cluster_011,r0_cem_led,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",1.179842,phase3lE-low_order_ablation-s52_cluster_011-024,"CSRank(ZScore(Mean($close,34)))",cluster_002,component_1,top_level_mul_component,1.252757,0.072915,0.032797,0.01914,4.420325,1.252757,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s52_cluster_011,r0_cem_led,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",1.179842,phase3lE-low_order_ablation-s52_cluster_011-025,"CSRank(ZScore(Mean($final_float_market_cap,5)))",cluster_004,component_2,top_level_mul_component,-0.365184,-1.545026,0.031805,0.017717,0.06985,-0.365184,False,False,True,False,REJECT_RESCUE_CANDIDATE,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s52_cluster_012,r0_cem_led,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",1.279167,phase3lE-low_order_ablation-s52_cluster_012-020,"CSRank(ZScore(Mean(Abs($close),8)))",cluster_002,component_1,top_level_mul_component,1.221211,-0.057956,0.03768,0.023325,4.411423,1.221211,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s52_cluster_012,r0_cem_led,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",1.279167,phase3lE-low_order_ablation-s52_cluster_012-021,"CSRank(ZScore(Mean(Abs($close),2)))",cluster_002,component_2,top_level_mul_component,1.487411,0.208244,0.045392,0.030258,4.057347,1.487411,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s53_cluster_005,formula_gen_v2_repair_expansion,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.446549,phase3lE-low_order_ablation-s53_cluster_005-028,CSRank(Neg(Neg(CSRank($close)))),cluster_002,component_1,top_level_mul_component,1.409699,-0.03685,0.052267,0.037872,3.970537,1.409699,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s53_cluster_005,formula_gen_v2_repair_expansion,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",1.446549,phase3lE-low_order_ablation-s53_cluster_005-029,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,0.047883,0.077411,0.06256,3.34176,1.494432,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s54_cluster_007,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",1.446549,phase3lE-low_order_ablation-s54_cluster_007-016,CSRank(CSRank($close)),cluster_002,component_1,top_level_mul_component,1.409699,-0.03685,0.052267,0.037872,3.970537,1.409699,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
s54_cluster_007,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",1.446549,phase3lE-low_order_ablation-s54_cluster_007-017,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",cluster_002,component_2,top_level_mul_component,1.494432,0.047883,0.077411,0.06256,3.34176,1.494432,True,True,True,True,RESCUE_KEEP_DAILY_PROXY,daily_proxy_low_order_ablation_only,own_sign_flip_and_regime_tests_not_run
