field_name,field_family,field_role,selector_allowed,pit_rule
code,key,key,false_key_only,not a feature
ctx_billboard_accum_amount,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_billboard_buy_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_billboard_deal_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_billboard_net_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_billboard_sell_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_buy_ratio,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_change_rate,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_deal_amount_ratio,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_deal_net_ratio,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_event_count,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_free_market_cap,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_net_bs_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_sell_ratio,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_sum_buy_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_sum_sell_amt,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_billboard_turnoverrate,billboard_disclosure,diagnostic_context,diagnostic_until_disclosure_timestamp_contract,next trading day after trade-date disclosure proxy
ctx_fund_bs_accounts_payable,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_accounts_rece,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_cash_to_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_debt_to_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_fixed_asset,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_goodwill,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_goodwill_to_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_intangible_asset,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_inventory,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_inventory_to_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_monetaryfunds,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_current_assets,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_current_liab,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_equity,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
ctx_fund_bs_total_liabilities,announcement_pit,pit_context,true_after_notice_date,NOTICE/HOLD_NOTICE date plus next trading day
