year,family,columns,mean_nonnull_rate,max_nonnull_rate
2023,rzrq_daily,31,0.0,0.0
2023,fundamental_balance,18,0.03766312402721626,0.03933911434107384
2023,fundamental_profit,17,0.03880592294092809,0.03933911434107384
2023,fundamental_cashflow,8,0.03552104499763596,0.03933911434107384
2023,holder_count,11,0.0,0.0
2023,billboard_diagnostic,16,0.0,0.0
2023,market_updown,15,0.0,0.0
2024,rzrq_daily,31,0.6619487438968494,0.662531945345738
2024,fundamental_balance,18,0.03707369494732762,0.038839321150662555
2024,fundamental_profit,17,0.03830928750741366,0.038839321150662555
2024,fundamental_cashflow,8,0.03250364768180922,0.038839321150662555
2024,holder_count,11,0.7389653952109712,0.7401017504781061
2024,billboard_diagnostic,16,0.40807499167354744,0.4081262903955699
2024,market_updown,15,0.9980634076071998,1.0
2025,rzrq_daily,31,0.6733110627109334,0.6739435266999616
2025,fundamental_balance,18,0.03630839949630768,0.03800182481751825
2025,fundamental_profit,17,0.03748700594336851,0.03800182481751825
2025,fundamental_cashflow,8,0.03180224740683826,0.03800182481751825
2025,holder_count,11,0.9673292907950035,0.9677631578947369
2025,billboard_diagnostic,16,0.6922606827858881,0.6923557753873736
2025,market_updown,15,0.9994510073846417,1.0
2026,rzrq_daily,31,0.7032704219188523,0.7040733485113218
2026,fundamental_balance,18,0.03434787923236768,0.035927122123977105
2026,fundamental_profit,17,0.03543364717094547,0.035927122123977105
2026,fundamental_cashflow,8,0.027556432113799614,0.035927122123977105
2026,holder_count,11,0.9688653357314341,0.97940970567645
2026,billboard_diagnostic,16,0.8002259784802008,0.8003329744739179
2026,market_updown,15,1.0,1.0
